pc,rank,feature,loading,abs_loading
1,1,neryl.propanoate,-0.15927365663827955,0.15927365663827955
1,2,n.dodecanol,-0.15431583351341904,0.15431583351341904
1,3,X4.methyl.1.pentanol,-0.15292476591794016,0.15292476591794016
1,4,n.decanol,-0.15236361298531478,0.15236361298531478
1,5,n.nonanol,-0.1501104441454248,0.1501104441454248
1,6,ethyl..9..decenoate,-0.14803719270769605,0.14803719270769605
1,7,ethyl..E..cinnamate,-0.14471103233097463,0.14471103233097463
1,8,caryophyllene.alcohol,-0.14144151724523887,0.14144151724523887
1,9,delta.terpinyl.acetate,-0.13556881291130232,0.13556881291130232
1,10,alpha.calacorene,-0.13431065675048276,0.13431065675048276
1,11,X2.acetylpyrrole,-0.12932595924764007,0.12932595924764007
1,12,isobutyl.hexanoate,-0.12739692182755466,0.12739692182755466
1,13,n.octanol,-0.12647412336471384,0.12647412336471384
1,14,E.nerolidol,-0.1255409010135585,0.1255409010135585
1,15,alpha.terpinyl.isobutanoate,-0.12474332610297743,0.12474332610297743
2,1,isopentyl_acetate,-0.16704459472255573,0.16704459472255573
2,2,esters_sum,-0.16703248492596495,0.16703248492596495
2,3,X3.furanmethanol,0.1589335996516101,0.1589335996516101
2,4,isobutyl_acetate,-0.15815171973337944,0.15815171973337944
2,5,ethyl_octanoate,-0.1578790204666759,0.1578790204666759
2,6,ethyl_decanoate,-0.1431640500277401,0.1431640500277401
2,7,humulene.epoxide.II,-0.13857832236033843,0.13857832236033843
2,8,caryophyllene.oxide,-0.137510048738665,0.137510048738665
2,9,MeSH,-0.13184779081546522,0.13184779081546522
2,10,DES,-0.12801350900887765,0.12801350900887765
2,11,isopentyl.hexanoate,-0.12642912596065498,0.12642912596065498
2,12,ethyl_acetate,-0.12574960781871575,0.12574960781871575
2,13,ethyl_hexanoate,-0.12502007379532015,0.12502007379532015
2,14,ethanol..v.v.,-0.12360915083174531,0.12360915083174531
2,15,X1.2.dihydro.8.hydroxy..2E..linalool,-0.1231520974555171,0.1231520974555171
3,1,ethyl_isovalerate,-0.170686707289446,0.170686707289446
3,2,acids_sum,-0.16875936587280654,0.16875936587280654
3,3,ethyl_acetate,-0.1680442944289896,0.1680442944289896
3,4,lactic_acid.mg.L.,-0.16763704603473442,0.16763704603473442
3,5,ethyl_2.methyl_butyrate,-0.1572029504663457,0.1572029504663457
3,6,glycerol,-0.15136220498451192,0.15136220498451192
3,7,acetic_acid.g.L.,-0.14962832734432285,0.14962832734432285
3,8,ethanol..v.v.,-0.14506901584916565,0.14506901584916565
3,9,ethyl.benzoate,-0.14181431524370247,0.14181431524370247
3,10,ethyl_hexanoate,-0.1410537333515337,0.1410537333515337
3,11,ethyl.phenylacetate,-0.139670010190594,0.139670010190594
3,12,ethyl_octanoate,-0.13803858471140362,0.13803858471140362
3,13,ethyl.butyrate,-0.12268483355599627,0.12268483355599627
3,14,benzyl.alcohol,-0.12125933116924996,0.12125933116924996
3,15,ethyl.5.methylhexanoate,-0.11999888558129532,0.11999888558129532
4,1,ethyl.butyrate,0.18144000375767438,0.18144000375767438
4,2,Z.nerolidol,0.17665646643248653,0.17665646643248653
4,3,X2.ethyl.3.methylpyrazine,0.1744839900726376,0.1744839900726376
4,4,styrene,0.16843462606579074,0.16843462606579074
4,5,X3Z.hexenol,0.16825983147761042,0.16825983147761042
4,6,X.E..2.nonenal,0.16651918654108872,0.16651918654108872
4,7,gamma.nonalactone,0.16077200145407675,0.16077200145407675
4,8,citronellol,0.15765370768909223,0.15765370768909223
4,9,phenylacetaldehyde,0.15365948907500274,0.15365948907500274
4,10,E.caryophyllene,0.14912945492367916,0.14912945492367916
4,11,hexyl.acetate,0.14554940739724676,0.14554940739724676
4,12,ethyl.pentanoate,0.14376722542856413,0.14376722542856413
4,13,X.E.E..2.4.decadienal,0.14130304018715906,0.14130304018715906
4,14,iron,-0.1305702090939676,0.1305702090939676
4,15,isopentyl.butanoate,0.12276836414227825,0.12276836414227825
5,1,isoborneol,-0.16153398455349954,0.16153398455349954
5,2,beta.phellandrene,-0.15846596233909394,0.15846596233909394
5,3,beta.humulene,0.1551925402681567,0.1551925402681567
5,4,X6.methyl.5.hepten.2.one,-0.14497437716833292,0.14497437716833292
5,5,terpinen.4.ol,-0.14470926469385562,0.14470926469385562
5,6,selin.11.en.4.alpha.ol,-0.14421691245943416,0.14421691245943416
5,7,terpinolene,-0.14282940118339268,0.14282940118339268
5,8,phenethyl_acetate,0.13623352382730203,0.13623352382730203
5,9,Z.nerolidol,0.13612564013555295,0.13612564013555295
5,10,aroma_hops_sum,-0.1356905925778747,0.1356905925778747
5,11,phenylacetaldehyde,0.12971546745044274,0.12971546745044274
5,12,styrene,0.12878214214325834,0.12878214214325834
5,13,geraniol,-0.12754777280445762,0.12754777280445762
5,14,heptyl.acetate,0.12739739656298635,0.12739739656298635
5,15,beta.cyclohomocitral,0.12278943276132559,0.12278943276132559
