,train,test,train_ratio,test_ratio
Blond,22,9,0.12571428571428572,0.12
Tripel,20,8,0.11428571428571428,0.10666666666666667
Strong ale,13,5,0.07428571428571429,0.06666666666666667
Hoppy,12,5,0.06857142857142857,0.06666666666666667
Stout/Porter,9,4,0.05142857142857143,0.05333333333333334
Amber,8,4,0.045714285714285714,0.05333333333333334
Pils/Lager,8,3,0.045714285714285714,0.04
Lambic,8,3,0.045714285714285714,0.04
Wheat,8,4,0.045714285714285714,0.05333333333333334
Brown,8,4,0.045714285714285714,0.05333333333333334
Dubbel,7,3,0.04,0.04
Saison,7,3,0.04,0.04
Kriek,7,3,0.04,0.04
Fruitbeer,6,2,0.03428571428571429,0.02666666666666667
Low/No alcohol,6,2,0.03428571428571429,0.02666666666666667
Christmas,6,3,0.03428571428571429,0.04
West Flanders ale,5,2,0.02857142857142857,0.02666666666666667
Brett/cofermented,4,2,0.022857142857142857,0.02666666666666667
Flanders old brown,3,2,0.017142857142857144,0.02666666666666667
Scotch,3,2,0.017142857142857144,0.02666666666666667
Brut,3,1,0.017142857142857144,0.013333333333333334
Faro,2,1,0.011428571428571429,0.013333333333333334
