target,target_index_1based,pc_index_1based_kept,pc_index_1based_full,eigenvalue,evr,evr_percent,coef,intercept,train_rmse,train_r2,train_accuracy,test_rmse,test_r2,test_accuracy
body,48,2,2,18.993376531507604,0.08175256688886388,8.175256688886389,0.07251437346579219,0.004674590925714338,0.4546105513299121,0.3245470447946712,0.5696903060388787,0.49153550107392885,0.3077990638262045,0.555293491415184
body,48,13,13,3.6372389055710395,0.015655647979452337,1.5655647979452336,0.06144654491598298,0.004674590925714357,0.5406653345454345,0.04462662534126183,0.21125014873666217,0.5697080357799169,0.070119602603536,0.27632539241804954
body,48,1,1,33.276548823089044,0.14323115634427935,14.323115634427936,-0.016688894899129825,0.004674590925714307,0.5447553346725846,0.030117624949530075,0.17354430255565845,0.5767523765295781,0.046981815508410185,0.23227667269254287
body,48,126,126,0.12786343418962204,0.0005503583809275011,0.0550358380927501,0.03431867335939048,0.004674590925714315,0.5530134162807286,0.0004893669440659831,0.022121639723716554,0.5800926219806701,0.03591109321959329,0.20207395204813597
body,48,113,113,0.1983147237529515,0.0008535995530739284,0.08535995530739283,0.016032146744558492,0.004674590925714288,0.5531029654880036,0.00016564014467712607,0.012870126055208696,0.5802719732107469,0.03531485305120874,0.1940427165781126
body,48,127,127,0.124974966355452,0.0005379256436820938,0.05379256436820938,-0.029108745659100797,0.004674590925714295,0.5530535990049265,0.0003441100006705833,0.01855020217330501,0.5813520006655851,0.0317204831890574,0.18635560117309127
body,48,125,125,0.13713763992531633,0.0005902770401238105,0.05902770401238105,-0.022870687683460646,0.004674590925714281,0.5530843059406092,0.00023310006838062058,0.015267615019400427,0.5814958135701932,0.031241364468010402,0.19304889928197103
body,48,167,167,0.01330567343180336,5.727117321295693e-05,0.0057271173212956935,-0.017049332214084976,0.004674590925714266,0.5531453031074958,1.256836804275352e-05,0.0035451894226915595,0.5815959070496678,0.030907828900586187,0.2370496574314354
body,48,6,6,7.286404531681817,0.03136263175046718,3.1362631750467185,0.0024665194662596202,0.004674590925714285,0.5531089375622571,0.00014404880401552855,0.012002033328375156,0.5816347388730654,0.03077841646189383,0.18281578967507325
body,48,30,30,1.7954555031501611,0.007728120161982139,0.7728120161982139,-0.006068358887986836,0.0046745909257142875,0.5530893527640989,0.0002148544951796616,0.014657915785667936,0.5822394901758059,0.02876188377265254,0.18265528872778766
body,48,42,42,1.255720404848894,0.005404956102503587,0.5404956102503587,-0.018235209947194114,0.004674590925714288,0.5527733732765421,0.0013568810279577237,0.03683586605412871,0.5822541797779038,0.028712875480751077,0.17183707374972243
body,48,54,54,0.9190804381071087,0.00395596774843876,0.395596774843876,-0.02218696141208348,0.004674590925714268,0.5527420099358912,0.001470200146791445,0.038343189053486305,0.5822684767176904,0.028665176024039507,0.18762856295424032
body,48,76,76,0.5379049081433639,0.0023152864320827534,0.23152864320827535,-0.007012256550403044,0.00467459092571429,0.5531250069905411,8.595049531268106e-05,0.009270948997412537,0.5826754586136658,0.027306854703668004,0.16882397772785704
body,48,26,26,2.0190904580673434,0.008690704754575576,0.8690704754575576,0.013848598610181603,0.004674590925714278,0.5528006476732235,0.0012583304759706815,0.035472954147782614,0.5828414984517268,0.026752416306179305,0.16477997167446154
body,48,51,51,0.9645910051163866,0.0041518573875139455,0.41518573875139453,0.006221622634066954,0.004674590925714285,0.553115220674767,0.00012133268901448613,0.011015111847565802,0.5830615531122207,0.026017368794289175,0.1734535684512466
body,48,49,49,1.0562361022533222,0.004546322369624689,0.45463223696246885,-0.03211530381908106,0.004674590925714295,0.5521688173026269,0.003540074164259499,0.05949852237038652,0.5832229505204043,0.025478077433029322,0.18139598132001672
body,48,59,59,0.8213598636507362,0.0035353522888120735,0.35353522888120736,0.01337863170662854,0.004674590925714292,0.553016635040069,0.0004777318066391256,0.021857076809104214,0.5832837867279677,0.025274761325570383,0.1632914459625682
body,48,78,78,0.5116066105971625,0.002202091533553649,0.2202091533553649,0.03874734282268539,0.004674590925714263,0.5524580139293099,0.0024960155179126753,0.04996013929036276,0.5834464597136972,0.02473100002383377,0.17248702886554956
body,48,139,139,0.07169666485591748,0.00030860160012194534,0.030860160012194535,-0.01228654446389272,0.004674590925714286,0.5531390517005949,3.5171083716090124e-05,0.005930521369671565,0.5834581869251056,0.024691794024738423,0.17223086481321023
body,48,101,101,0.27425084803589356,0.0011804489191897458,0.11804489191897458,-0.01696770518993396,0.004674590925714286,0.5530778114132554,0.000256579220790365,0.016018090422719122,0.5835005026184278,0.024550319141152133,0.15710281478741486
body,48,115,115,0.1812286286340857,0.0007800564349370663,0.07800564349370663,-0.02620008596421593,0.004674590925714268,0.5530369602645983,0.00040425883469774604,0.020106188965039084,0.5835072855240575,0.02452764076621261,0.18793253180924888
body,48,80,80,0.49253109656412436,0.002119985424914227,0.21199854249142272,-0.008397188710682638,0.004674590925714281,0.5531175649516036,0.00011285706846098087,0.010623420751385082,0.583532984864866,0.024441713651721986,0.18696623232428589
body,48,12,12,3.702816177625989,0.015937910078093306,1.5937910078093305,-0.00842844536805043,0.004674590925714287,0.5529123183896069,0.0008547800704487019,0.029236622076578116,0.5836542467102894,0.024036217158034723,0.16856851803642897
body,48,91,91,0.3719439901607688,0.0016009463027328078,0.16009463027328077,0.005073240444398483,0.0046745909257142875,0.5531401753921861,3.110826006380574e-05,0.005577477930378697,0.5837608501486208,0.023679668406827115,0.19747599154182924
body,48,79,79,0.5067088423753145,0.002181010230632151,0.2181010230632151,0.03694436897256552,0.004674590925714286,0.5525268535838663,0.0022474098096230133,0.04740685403634028,0.5847136713210563,0.02048994483340094,0.15935794709673867
body,48,74,74,0.5732858092185649,0.0024675752827218373,0.24675752827218372,-0.058760057105964054,0.004674590925714315,0.5513669137083896,0.006432249666414647,0.08020130713656998,0.5855261859559248,0.017765810750721034,0.15517198978862715
body,48,50,50,1.0296691782332121,0.004431971230985253,0.4431971230985253,0.007993620471245662,0.004674590925714285,0.553089643850155,0.0002138021386656197,0.014621974513234555,0.5855589710610695,0.017655812074323762,0.22965723142225114
body,48,71,71,0.6014008530550752,0.0025885899426489316,0.25885899426489317,0.025931199160852493,0.004674590925714278,0.5527852065313024,0.0013141245367860321,0.03625085566970985,0.5856493702558268,0.01735247805431639,0.13212347711913172
body,48,9,9,5.4895726777211715,0.023628587406888897,2.36285874068889,-0.0009650028051627006,0.004674590925714284,0.5531441847231734,1.661204021807805e-05,0.004075787067311643,0.5868644505803859,0.0132707378314737,0.16351512502779936
body,48,119,119,0.15928142335834425,0.0006855897999839676,0.06855897999839676,-0.035312065093314415,0.004674590925714296,0.5529702453045593,0.0006454143895872066,0.025405007175499754,0.5872638435486104,0.011927235667866909,0.10969353483537582
