target,target_index_1based,pc_index_1based_kept,pc_index_1based_full,eigenvalue,evr,evr_percent,coef,intercept,train_rmse,train_r2,train_accuracy,test_rmse,test_r2,test_accuracy
A_malt_all,1,1,1,33.276548823089044,0.14323115634427935,14.323115634427936,-0.014256887420304287,0.01485224564571431,0.6662437212036342,0.014924580821906952,0.12216620163493233,0.7892317345905445,0.043233331061544034,0.34051141263688695
A_malt_grain,2,90,90,0.37729773726772353,0.001623990260595767,0.1623990260595767,0.030165213858768653,0.010703403679999982,0.46909981674498435,0.0015488327384928224,0.03935521234211167,0.4160218204508656,0.03524377116953081,0.21620134586617817
A_malt_bread,3,37,37,1.4348816047509763,0.006176113771840935,0.6176113771840935,0.027575011572432112,0.046517305851428575,0.5392761985809849,0.0037163718553676617,0.06096205258493015,0.4726256799828763,0.013637187314871624,0.13765522034064706
A_malt_cara,4,105,105,0.2424908328388066,0.001043745328731041,0.10437453287310411,0.12588988116108132,0.035933133908571335,0.6337125267244791,0.009425206206803649,0.09708350120799837,0.585739072626663,0.053284219966023394,0.25079438879988974
A_malt_burn,5,121,121,0.14879044304209832,0.0006404338179177515,0.06404338179177514,0.10013416715271829,-0.04232204751428576,0.5182801718344611,0.00549199221315777,0.07410797671747113,0.9359578087939302,0.0021508737542983436,0.37812815479128575
A_hops_all,6,2,2,18.993376531507604,0.08175256688886388,8.175256688886389,0.06416552659913748,0.034051851017142906,0.5988083346824026,0.17819988780466767,0.42213728549450297,0.5880950849847455,0.17758942236556163,0.45717644507082966
A_hops_citrus,7,2,2,18.993376531507604,0.08175256688886388,8.175256688886389,0.021705488933297643,-0.01633876004571428,0.48068040289812813,0.037079192043236175,0.19255958050233726,0.4504456468934795,0.10439694187718662,0.3621944418872183
A_hops_tropical,8,149,149,0.047843986858062536,0.00020593330150409103,0.020593330150409102,0.039672986199423894,0.042520606308571435,0.6402739685574137,0.0001826069663475316,0.013513214508303182,0.5292388348889937,-0.023478363357378518,0.2734011249467432
A_hops_noble,9,2,2,18.993376531507604,0.08175256688886388,8.175256688886389,0.05141732605134001,0.03766597833714289,0.4779596663001266,0.1793521848635773,0.4234999230974868,0.4956213169595602,0.16528677638764144,0.4695032853555531
A_hops_woody,10,121,121,0.14879044304209832,0.0006404338179177515,0.06404338179177514,0.09325386901356826,-0.039745393702857165,0.3448946942131362,0.010699784533490742,0.10343976282595915,0.40861073802755543,0.018192235268164825,0.19846510152220845
A_esters_all,11,4,4,11.331805194940767,0.048775116980078984,4.877511698007899,0.027028337575280507,0.07130175953714285,0.5786632861815995,0.02399113921920537,0.1548907331611728,0.6027593524298456,0.0892124476379581,0.3632367725670615
A_esters_ethac,12,112,112,0.2049420656064698,0.0008821254029814654,0.08821254029814654,0.017171861189716954,-0.002849891348571438,0.5130309644157719,0.0002282394732650017,0.01510759654164463,0.4555812963120435,0.018449723388635153,0.15220820805596577
A_esters_isoaa,13,4,4,11.331805194940767,0.048775116980078984,4.877511698007899,0.02005590643215772,0.06129859446857143,0.5325795124321274,0.015726845411750512,0.1254067199624902,0.5232500806594512,0.054978978057591776,0.2775770889558128
A_esters_flower,14,28,28,1.9355425295858428,0.00833109214960882,0.833109214960882,0.027215289689226745,-0.03147275857714284,0.41821714584083447,0.008083718696752729,0.08990950281673694,0.3672995459762465,0.2742014276447491,0.5257192896433728
A_esters_fruity,15,142,142,0.06277937688081028,0.00027021921032185497,0.027021921032185498,0.057700720619861534,0.016836653554285735,0.47266238172106345,0.0009293617456430647,0.030485434975461002,0.495017675981415,0.24182106679124082,0.503988319181996
F_malt_all,16,2,2,18.993376531507604,0.08175256688886388,8.175256688886389,0.06338628323744598,0.008651284485714348,0.60222260396906,0.1730162261753091,0.41595219217514545,0.7074590276380719,0.0726037423235193,0.3020415268945651
F_malt_grain,17,1,1,33.276548823089044,0.14323115634427935,14.323115634427936,-0.01164487720861498,0.0206329984857143,0.45697250603293926,0.02103328412812344,0.14502856314575893,0.4003025723592632,0.07407068775041636,0.3252965379264995
F_malt_bread,18,2,2,18.993376531507604,0.08175256688886388,8.175256688886389,0.04089248879831147,0.033351467017142894,0.450685128752815,0.13455329496241297,0.3668150691593966,0.48268637221595373,0.03530741765839607,0.2318750948936565
F_malt_cara,19,105,105,0.2424908328388066,0.001043745328731041,0.10437453287310411,0.0942184973428568,0.043920094657142784,0.5893195409920869,0.006125040108286961,0.0782626354545185,0.5044159456371247,0.05247740827387093,0.29902816967715506
F_malt_burn,20,2,2,18.993376531507604,0.08175256688886388,8.175256688886389,0.03844911076967071,-0.027291173765714258,0.571603212806026,0.07872053658188627,0.2805718028988057,0.8235426431828213,0.03385847990460733,0.29436718732512335
F_hops_all,21,2,2,18.993376531507604,0.08175256688886388,8.175256688886389,0.08564191872266222,0.04575271478857148,0.6065508036795357,0.27351376137840655,0.5229854313252006,0.5823561186668097,0.17943981389951913,0.46106434060501317
F_hops_citrus,22,2,2,18.993376531507604,0.08175256688886388,8.175256688886389,0.014433489076296704,-0.024851165788571418,0.4417558424475921,0.01976164623370802,0.14057612255894647,0.4425806644878197,0.036941592687017244,0.20850762011948273
F_hops_tropical,23,121,121,0.14879044304209832,0.0006404338179177515,0.06404338179177514,-0.04717996402349557,0.032905300960000015,0.5081743937928674,0.0012735688709458737,0.03568709670098669,0.5063951410428615,-0.004095336022112095,0.15013056047110718
F_hops_noble,24,2,2,18.993376531507604,0.08175256688886388,8.175256688886389,0.07098768285828908,0.038693324148571476,0.5357290348227717,0.24901274517642313,0.49901176857507407,0.5513309276844948,0.12802556490758565,0.4042458633405044
F_hops_woody,25,2,2,18.993376531507604,0.08175256688886388,8.175256688886389,0.026887465360961725,-0.007243182645714274,0.46244864007882924,0.06000814248310715,0.24496559448850566,0.4042356131476119,0.12691790660587177,0.37227921026450767
F_esters_all,26,4,4,11.331805194940767,0.048775116980078984,4.877511698007899,0.021690351394905417,0.08630338718857145,0.5838359933986995,0.015312988395473126,0.12374566010763068,0.5403274798798822,0.08760355544605714,0.3622025148890671
F_esters_ethac,27,120,120,0.1515182600336935,0.0006521750710170109,0.06521750710170109,-0.06391959514530976,0.013662544485714337,0.4999477406732725,0.0024565567612780947,0.049563663719282225,0.4817464533303052,0.009720432114738164,0.10087712698571559
F_esters_isoaa,28,3,3,13.545194736908474,0.05830213690097895,5.830213690097895,-0.011121218367839329,0.08517232282857143,0.5785546365576735,0.004951725750764968,0.07036849970523046,0.4876388544479197,0.1511577310907971,0.42717300808980485
F_esters_flower,29,20,20,2.5174618342412147,0.01083582830322749,1.083582830322749,0.02111384209027559,-0.007167828314285702,0.3926998403138975,0.007183829657439578,0.08475747552540386,0.430638425584194,0.12004087571705035,0.3550888465299902
F_esters_fruity,30,2,2,18.993376531507604,0.08175256688886388,8.175256688886389,-0.026362226118898303,0.019569688302857116,0.4469794084626766,0.06164124698270468,0.2482765534292447,0.5560733668534392,0.11979057711163166,0.4038119484286639
