feature,ks_stat,p_value
acetaldehyde,0.195,7.198340666318494e-05
CS2,0.61,8.471823541862297e-47
DES,0.2475,1.3155963975113665e-07
DMS,0.46,6.520765629420035e-26
ethyl_2.methyl_butyrate,0.235,6.793365147692429e-07
ethyl_acetate,0.315,3.9384822870007065e-12
ethyl_decanoate,0.4025,9.383029053607102e-20
ethyl_hexanoate,0.4625,3.348313960584187e-26
ethyl_isovalerate,0.165,0.0013272765649306566
ethyl_octanoate,0.145,0.007041594267935141
ethyl_propionate,0.1425,0.008542796491970425
H2S,0.2,4.2197706776709616e-05
isoamyl_alcohol,0.2175,5.833305728719634e-06
isobutanol,0.56,5.30931362624084e-39
isobutyl_acetate,0.4675,8.715851441599907e-27
isopentyl_acetate,0.1875,0.00015626795445660205
MeSH,0.57,1.7239809121288995e-40
octyl_acetate,0.4025,9.383029053607102e-20
phenethyl_acetate,0.1875,0.00015626795445660205
phenethyl_alcohol,0.435,4.0569152225584435e-23
X4VG,0.185,0.00020094686161401939
SO2.mg.L.,0.6,3.6276992678929345e-45
acetic_acid.g.L.,0.255,4.708125094512707e-08
ammonia.mg.L.,0.445,3.254503288984146e-24
color.EBC.,0.235,6.793365147692429e-07
betaglucan.mg.L.,0.33,2.7069886059800647e-13
lactic_acid.mg.L.,0.2825,8.255587342932922e-10
glycerol,0.3825,7.872793294159981e-18
iron,0.285,5.593719176379822e-10
pH,0.2375,4.926809132735795e-07
protein.g.L.,0.3975,2.908168594274451e-19
bitterness,0.1425,0.008542796491970425
GFS,0.2125,1.0447705977863681e-05
ethanol..v.v.,0.4275,2.5769036523328697e-22
CO2.PSI.,0.1425,0.008542796491970425
unfermentables,0.14,0.010328876010191355
kcalperc,0.1975,5.520946369863485e-05
X1.propanol,0.38,1.3455433457331859e-17
X2.3.butanedione,,
X3.methylbutanal,,
propylene.glycol,0.255,4.708125094512707e-08
propyl.acetate,0.3925,8.871297583414431e-19
n.pentanol,0.255,4.708125094512707e-08
X2.methyl.1.butanol,0.5475,3.4485737569435756e-37
isopentyl.formate,0.4875,3.365860681861523e-29
ethyl.isobutyrate,,
X3.methyl.2.butenal,0.3975,2.908168594274451e-19
X2.methyltetrahydrofuran.3.one,0.63,3.558145161282821e-50
ethyl.butyrate,0.405,5.297893899383846e-20
butyl.acetate,0.3625,5.139629942141412e-16
methylpyrazine,,
furfural,,
ethyl.lactate,0.6575,4.4747531490913926e-55
X3Z.hexenol,0.38,1.3455433457331859e-17
n.hexanol,0.18,0.00032885998703444477
styrene,0.2625,1.631660725767663e-08
X2.furanmethanol,0.3825,7.872793294159981e-18
X3.methyl.2.hexanol,0.31,9.333163655042091e-12
X3.furanmethanol,0.5325,4.403164753757403e-35
X2.acetylfuran,0.1875,0.00015626795445660205
X2.6.dimethyl.pyrazine,0.2075,1.8452859828819583e-05
amyl.acetate,,
ethyl.tiglate,0.4625,3.348313960584187e-26
benzaldehyde,0.4125,9.30947515015197e-21
X5.methylfurfural,0.33,2.7069886059800647e-13
n.heptanol,0.2825,8.255587342932922e-10
X1.octen.3.ol,0.315,3.9384822870007065e-12
X3.methylthio.propanol,0.5075,9.800781310234099e-32
isomaltol,0.29,2.5402164120077263e-10
X6.methyl.5.hepten.2.one,0.74,9.022364037177608e-72
X2.pentyl.furan,0.3775,2.2906981014017542e-17
ethyl.hex..3E..enoate,0.4175,2.8622852178877623e-21
alpha.phellandrene,0.33,2.7069886059800647e-13
dehydroxy.cis.linalool.oxide,0.2925,1.7024836769028884e-10
hexyl.acetate,0.43,1.3971797968015688e-22
isopentyl.butanoate,0.39,1.5402477576918038e-18
X2.ethyl.1.hexanol,0.2575,3.3188998738590866e-08
beta.phellandrene,0.37,1.104142253234075e-16
limonene,0.27,5.47530122256195e-09
eucalyptol,0.465,1.7119792239056996e-26
benzyl.alcohol,0.35,6.176057267364492e-15
ethyl.hex..2E..enoate,0.255,4.708125094512707e-08
phenylacetaldehyde,,
X.E..beta.ocimene,0.6125,3.267577047349393e-47
prenyl.isobutyrate,0.325,6.707822936321859e-13
ethyl.furoate,0.245,1.839892503683708e-07
ortho.cresol,0.3775,2.2906981014017542e-17
ethyl.5.methylhexanoate,0.32,1.6375240283189414e-12
X2.acetylpyrrole,0.4575,1.2645074638258938e-25
isoamyl.lactate,0.405,5.297893899383846e-20
n.octanol,0.4575,1.2645074638258938e-25
cis.linalool.oxide,0.2225,3.2116698514542253e-06
meta.cymenene,0.205,2.4395828839507186e-05
terpinolene,0.1,0.13591413534720856
linalool,0.4125,9.30947515015197e-21
nonan.2.ol,0.405,5.297893899383846e-20
n.nonanal,0.3725,6.561871032713085e-17
X2.methyl.benzofuran,0.25,9.373679355591923e-08
heptyl.acetate,0.315,3.9384822870007065e-12
X4.methyl.1.pentanol,0.605,5.603386130004486e-46
neo.allo.ocimene,0.41,1.6687787389791512e-20
x.methyl.1.octanol,0.1875,0.00015626795445660205
trans.dihydro.beta.terpineol,0.3075,1.4287974061378973e-11
cis.beta.terpineol,0.53,9.718181314115777e-35
y.methyl.1.octanol,0.4125,9.30947515015197e-21
camphor,0.1725,0.0006709583192474076
isobutyl.hexanoate,0.3325,1.7100063804653984e-13
nerol.oxide,0.2425,2.5640206061354e-07
X.E..2.nonenal,0.5025,4.334086283842866e-31
cis.dihydro.beta.terpineol,0.7,2.802907618875752e-63
X4.ethyl.phenol,0.375,3.8845725475963675e-17
isoborneol,0.285,5.593719176379822e-10
ethyl.benzoate,0.3075,1.4287974061378973e-11
n.nonanol,0.2225,3.2116698514542253e-06
terpinen.4.ol,0.2475,1.3155963975113665e-07
diethyl.succinate,0.135,0.014946353345597222
vinyl.caprylate,0.2225,3.2116698514542253e-06
X1.alpha.terpineol,0.29,2.5402164120077263e-10
ethyl..E..linalool,0.12,0.041750698523622023
ethyl.nicotinate,,
citronellol,0.5225,1.0159216354079957e-33
nerol,0.35,6.176057267364492e-15
hydroxy.methyl.furfural,0.365,3.0901061794394883e-16
E.ocimenone,0.2175,5.833305728719634e-06
cumin.aldehyde,0.3225,1.0500119566085802e-12
ethyl.phenylacetate,0.175,0.0005308357569488482
isopentyl.hexanoate,0.465,1.7119792239056996e-26
geraniol,0.3475,1.0038973940978993e-14
beta.cyclohomocitral,0.31,9.333163655042091e-12
E.cinnamaldehyde,0.4375,2.1725787602820942e-23
n.decanol,0.4825,1.3860159973692675e-28
neryl.formate,0.2975,7.563952332669824e-11
X4.ethyl.guaiacol,0.28,1.214004316129806e-09
X2.undecanone,0.2925,1.7024836769028884e-10
trans.dihydro.alpha.terpinyl.acetate,0.5075,9.800781310234099e-32
terpinen.4.ol.acetate,0.4275,2.5769036523328697e-22
X2.undecanol,0.43,1.3971797968015688e-22
delta.terpinyl.acetate,0.2075,1.8452859828819583e-05
X.E.E..2.4.decadienal,0.31,9.333163655042091e-12
methyl.geranate,0.575,3.0148588943828963e-41
car.3.en.2.one,0.4725,2.230110088045613e-27
dimethoxy..E..citral,0.255,4.708125094512707e-08
X2.butyloctanoate,0.4725,2.230110088045613e-27
X4.methoxysalicylaldehyde,0.33,2.7069886059800647e-13
ethyl.hydrocinnamate,0.1825,0.00025751020160872854
eugenol,0.7,2.802907618875752e-63
gamma.nonalactone,0.7775,1.6679491731619633e-80
methyl.para.anisate,0.3525,3.785111197453443e-15
X.E..beta.damascenone,0.835,1.2497608772883954e-95
ethyl..9..decenoate,0.1825,0.00025751020160872854
vanillin,0.265,1.1379283602422221e-08
geosmin,0.54,3.981156939946004e-36
dodecanal,0.3675,1.8507127818953243e-16
X4.8.alpha.epoxy.caryophyllane,0.195,7.198340666318494e-05
E.caryophyllene,0.795,7.234433878401427e-85
X.E..alpha.ionone,0.3075,1.4287974061378973e-11
perillyl.acetate,0.525,4.667935951317562e-34
beta.humulene,0.5625,2.270603854108765e-39
X2.phenyl.ethyl.butyrate,0.315,3.9384822870007065e-12
X.Z..beta.farnesene,0.2975,7.563952332669824e-11
