feature,ks_stat,p_value
acetaldehyde,0.28,1.214004316129806e-09
CS2,0.4475,1.7140653236337424e-24
DES,0.4625,3.348313960584187e-26
DMS,0.235,6.793365147692429e-07
ethyl_2.methyl_butyrate,0.2275,1.743632014755952e-06
ethyl_acetate,0.2875,3.7763805960602245e-10
ethyl_decanoate,0.225,2.37058383418446e-06
ethyl_hexanoate,0.3125,6.0741090703162054e-12
ethyl_isovalerate,0.285,5.593719176379822e-10
ethyl_octanoate,0.3675,1.8507127818953243e-16
ethyl_propionate,0.24,3.5605076789460665e-07
H2S,0.5475,3.4485737569435756e-37
isoamyl_alcohol,0.35,6.176057267364492e-15
isobutanol,0.365,3.0901061794394883e-16
isobutyl_acetate,0.3275,4.2692017312252843e-13
isopentyl_acetate,0.29,2.5402164120077263e-10
MeSH,0.38,1.3455433457331859e-17
octyl_acetate,0.2825,8.255587342932922e-10
phenethyl_acetate,0.2175,5.833305728719634e-06
phenethyl_alcohol,0.095,0.17647045720826873
X4VG,0.4125,9.30947515015197e-21
SO2.mg.L.,0.1375,0.012446037426761309
acetic_acid.g.L.,0.2025,3.214080470404362e-05
ammonia.mg.L.,0.205,2.4395828839507186e-05
color.EBC.,0.18,0.00032885998703444477
betaglucan.mg.L.,0.3925,8.871297583414431e-19
lactic_acid.mg.L.,0.3525,3.785111197453443e-15
glycerol,0.235,6.793365147692429e-07
iron,0.1325,0.017888195483849026
pH,0.255,4.708125094512707e-08
protein.g.L.,0.2025,3.214080470404362e-05
bitterness,0.285,5.593719176379822e-10
GFS,0.13,0.02133663714307325
ethanol..v.v.,0.38,1.3455433457331859e-17
CO2.PSI.,0.3075,1.4287974061378973e-11
unfermentables,0.2675,7.907546340659783e-09
kcalperc,0.175,0.0005308357569488482
X1.propanol,0.335,1.0761614686706765e-13
X2.3.butanedione,,
X3.methylbutanal,,
propylene.glycol,0.3925,8.871297583414431e-19
propyl.acetate,0.43,1.3971797968015688e-22
n.pentanol,0.23,1.277990301106273e-06
X2.methyl.1.butanol,0.2525,6.65506930385444e-08
isopentyl.formate,0.26,2.3312500046609637e-08
ethyl.isobutyrate,0.3025,3.311707318175834e-11
X3.methyl.2.butenal,0.19,0.00012110415385776797
X2.methyltetrahydrofuran.3.one,0.65,1.0416327773836718e-53
ethyl.butyrate,0.3675,1.8507127818953243e-16
butyl.acetate,0.22,4.3359415940486165e-06
methylpyrazine,,
furfural,0.385,4.588358907046464e-18
ethyl.lactate,0.5675,4.091643386192516e-40
X3Z.hexenol,0.49,1.6477446235204806e-29
n.hexanol,0.2925,1.7024836769028884e-10
styrene,0.4725,2.230110088045613e-27
X2.furanmethanol,0.2625,1.631660725767663e-08
X3.methyl.2.hexanol,0.17,0.0008451620190338401
X3.furanmethanol,0.1825,0.00025751020160872854
X2.acetylfuran,0.345,1.6256089732179386e-14
X2.6.dimethyl.pyrazine,0.2675,7.907546340659783e-09
amyl.acetate,,
ethyl.tiglate,0.355,2.310935718924183e-15
benzaldehyde,0.4725,2.230110088045613e-27
X5.methylfurfural,0.37,1.104142253234075e-16
n.heptanol,0.13,0.02133663714307325
X1.octen.3.ol,0.34,4.214337327417989e-14
X3.methylthio.propanol,0.5325,4.403164753757403e-35
isomaltol,0.42,1.5774841670052679e-21
X6.methyl.5.hepten.2.one,0.4875,3.365860681861523e-29
X2.pentyl.furan,0.475,1.1207782114037702e-27
ethyl.hex..3E..enoate,0.3675,1.8507127818953243e-16
alpha.phellandrene,0.2825,8.255587342932922e-10
dehydroxy.cis.linalool.oxide,0.2925,1.7024836769028884e-10
hexyl.acetate,0.3025,3.311707318175834e-11
isopentyl.butanoate,0.2775,1.7787704842767737e-09
X2.ethyl.1.hexanol,0.3925,8.871297583414431e-19
beta.phellandrene,0.3025,3.311707318175834e-11
limonene,0.5425,1.7699675404395438e-36
eucalyptol,0.2625,1.631660725767663e-08
benzyl.alcohol,0.56,5.30931362624084e-39
ethyl.hex..2E..enoate,0.375,3.8845725475963675e-17
phenylacetaldehyde,0.3325,1.7100063804653984e-13
X.E..beta.ocimene,0.38,1.3455433457331859e-17
prenyl.isobutyrate,0.265,1.1379283602422221e-08
ethyl.furoate,0.305,2.179268493798199e-11
ortho.cresol,0.3275,4.2692017312252843e-13
ethyl.5.methylhexanoate,0.1675,0.0010609497633024907
X2.acetylpyrrole,0.3275,4.2692017312252843e-13
isoamyl.lactate,0.2775,1.7787704842767737e-09
n.octanol,0.2825,8.255587342932922e-10
cis.linalool.oxide,0.3125,6.0741090703162054e-12
meta.cymenene,0.535,1.9856421117503146e-35
terpinolene,0.1925,9.352916216802442e-05
linalool,0.39,1.5402477576918038e-18
nonan.2.ol,0.1375,0.012446037426761309
n.nonanal,0.2825,8.255587342932922e-10
X2.methyl.benzofuran,0.3175,2.5442800223801305e-12
heptyl.acetate,0.515,1.0186351259442479e-32
X4.methyl.1.pentanol,0.4425,6.1535403542660076e-24
neo.allo.ocimene,0.3125,6.0741090703162054e-12
x.methyl.1.octanol,0.4525,4.695052729300754e-25
trans.dihydro.beta.terpineol,0.295,1.1368675236203857e-10
cis.beta.terpineol,0.635,4.817407112692775e-51
y.methyl.1.octanol,0.29,2.5402164120077263e-10
camphor,0.255,4.708125094512707e-08
isobutyl.hexanoate,0.5375,8.91220413231971e-36
nerol.oxide,0.305,2.179268493798199e-11
X.E..2.nonenal,0.5075,9.800781310234099e-32
cis.dihydro.beta.terpineol,0.5225,1.0159216354079957e-33
X4.ethyl.phenol,0.295,1.1368675236203857e-10
isoborneol,0.125,0.030049214777110294
ethyl.benzoate,0.2525,6.65506930385444e-08
n.nonanol,0.3375,6.747181088266523e-14
terpinen.4.ol,0.3,5.0141468449795066e-11
diethyl.succinate,0.2925,1.7024836769028884e-10
vinyl.caprylate,0.275,2.5968656979457667e-09
X1.alpha.terpineol,0.485,6.845210352961305e-29
ethyl..E..linalool,0.2475,1.3155963975113665e-07
ethyl.nicotinate,,
citronellol,0.37,1.104142253234075e-16
nerol,0.3275,4.2692017312252843e-13
hydroxy.methyl.furfural,0.295,1.1368675236203857e-10
E.ocimenone,0.2325,9.334081275070552e-07
cumin.aldehyde,0.35,6.176057267364492e-15
ethyl.phenylacetate,0.3475,1.0038973940978993e-14
isopentyl.hexanoate,0.4275,2.5769036523328697e-22
geraniol,0.305,2.179268493798199e-11
beta.cyclohomocitral,0.3825,7.872793294159981e-18
E.cinnamaldehyde,0.415,5.172471424333824e-21
