repeat,seed,synth,downstream,regime,descriptor,r2,rmse
1,1,Bootstrapping,GBDT,TSTR,A_malt_all,0.3184613585472107,0.7279831727697887
1,1,Bootstrapping,GBDT,TSTR,A_malt_grain,0.04944658279418945,0.5372514016766412
1,1,Bootstrapping,GBDT,TSTR,A_malt_bread,-0.26701807975769043,0.5326954866943164
1,1,Bootstrapping,GBDT,TSTR,A_malt_cara,0.21266496181488037,0.619338163518018
1,1,Bootstrapping,GBDT,TSTR,A_malt_burn,0.42259126901626587,0.7046030827135686
1,1,Bootstrapping,GBDT,TSTR,A_hops_all,0.08494973182678223,0.5618962385515058
1,1,Bootstrapping,GBDT,TSTR,A_hops_citrus,-0.03431284427642822,0.5500510224604616
1,1,Bootstrapping,GBDT,TSTR,A_hops_tropical,-0.9704437255859375,0.5416680543832854
1,1,Bootstrapping,GBDT,TSTR,A_hops_noble,-0.060695648193359375,0.5346714524804457
1,1,Bootstrapping,GBDT,TSTR,A_hops_woody,0.07243716716766357,0.37777132960072535
1,1,Bootstrapping,GBDT,TSTR,A_esters_all,-0.1001821756362915,0.7033155606910972
1,1,Bootstrapping,GBDT,TSTR,A_esters_ethac,-0.03947901725769043,0.5048400152428966
1,1,Bootstrapping,GBDT,TSTR,A_esters_isoaa,-0.3356434106826782,0.6210971328355326
1,1,Bootstrapping,GBDT,TSTR,A_esters_flower,-0.15224647521972656,0.46430063976935554
1,1,Bootstrapping,GBDT,TSTR,A_esters_fruity,-0.27213454246520996,0.6479011983548031
1,1,Bootstrapping,GBDT,TSTR,F_malt_all,0.5250523686408997,0.5426948460265475
1,1,Bootstrapping,GBDT,TSTR,F_malt_grain,-0.03208327293395996,0.4719062245376971
1,1,Bootstrapping,GBDT,TSTR,F_malt_bread,-0.29809796810150146,0.4837607519053979
1,1,Bootstrapping,GBDT,TSTR,F_malt_cara,-0.33054792881011963,0.6281471409857176
1,1,Bootstrapping,GBDT,TSTR,F_malt_burn,0.5327860116958618,0.5971361527658132
1,1,Bootstrapping,GBDT,TSTR,F_hops_all,0.41207218170166016,0.4851512841110274
1,1,Bootstrapping,GBDT,TSTR,F_hops_citrus,-0.14734375476837158,0.4353873469627869
1,1,Bootstrapping,GBDT,TSTR,F_hops_tropical,-0.27166950702667236,0.411968767667462
1,1,Bootstrapping,GBDT,TSTR,F_hops_noble,-0.23765814304351807,0.5678498911158935
1,1,Bootstrapping,GBDT,TSTR,F_hops_woody,0.06744629144668579,0.5091873630754337
1,1,Bootstrapping,GBDT,TSTR,F_esters_all,0.1377173662185669,0.5612740933316862
1,1,Bootstrapping,GBDT,TSTR,F_esters_ethac,-0.017997384071350098,0.46219096039978397
1,1,Bootstrapping,GBDT,TSTR,F_esters_isoaa,-0.302426815032959,0.7124359771340106
1,1,Bootstrapping,GBDT,TSTR,F_esters_flower,-0.23884105682373047,0.4116236097229509
1,1,Bootstrapping,GBDT,TSTR,F_esters_fruity,-0.19723057746887207,0.602665818296457
1,1,Bootstrapping,GBDT,TSTR,acidity,0.7469222545623779,0.47672505029786805
1,1,Bootstrapping,GBDT,TSTR,bitternes,0.5163170695304871,0.48190117353018197
1,1,Bootstrapping,GBDT,TSTR,sweetness,-0.0371173620223999,0.6618129775729785
1,1,Bootstrapping,GBDT,TSTR,X4vg,0.44686537981033325,0.6174232901675584
1,1,Bootstrapping,GBDT,TSTR,diacetyl,-0.12515807151794434,0.6673633888550665
1,1,Bootstrapping,GBDT,TSTR,dms,-0.0706244707107544,0.4927594630814761
1,1,Bootstrapping,GBDT,TSTR,metallic,0.04032927751541138,0.504454765157646
1,1,Bootstrapping,GBDT,TSTR,stale_hops,-0.03358960151672363,0.40233206500520086
1,1,Bootstrapping,GBDT,TSTR,t2n,0.21615707874298096,0.38853179861155945
1,1,Bootstrapping,GBDT,TSTR,orange,0.1963714361190796,0.7888867399659536
1,1,Bootstrapping,GBDT,TSTR,coriander,0.01037222146987915,0.34186578328472705
1,1,Bootstrapping,GBDT,TSTR,clove,0.1102638840675354,0.3421045172242573
1,1,Bootstrapping,GBDT,TSTR,lactic,0.5728215575218201,0.5364195954740315
1,1,Bootstrapping,GBDT,TSTR,acetic,0.5956456065177917,0.4297762519037101
1,1,Bootstrapping,GBDT,TSTR,barnyard,-0.07447528839111328,0.41246221903975705
1,1,Bootstrapping,GBDT,TSTR,alcohol,0.6472014784812927,0.4123769858475227
1,1,Bootstrapping,GBDT,TSTR,aftertaste,0.5186655521392822,0.45480169651588226
1,1,Bootstrapping,GBDT,TSTR,body,0.5104132890701294,0.4344729025032579
1,1,Bootstrapping,GBDT,TSTR,co2,0.17263513803482056,0.5672711050664359
1,1,Bootstrapping,GBDT,TSTR,overall,-0.10809886455535889,0.5988867813715933
1,1,Bootstrapping,GBDT,AUG,A_malt_all,0.48482489585876465,0.6329268363987773
1,1,Bootstrapping,GBDT,AUG,A_malt_grain,0.1008802056312561,0.5225141551641969
1,1,Bootstrapping,GBDT,AUG,A_malt_bread,-0.34799742698669434,0.549455006386161
1,1,Bootstrapping,GBDT,AUG,A_malt_cara,0.17623353004455566,0.6335050772483793
1,1,Bootstrapping,GBDT,AUG,A_malt_burn,0.45423394441604614,0.6850245298044942
1,1,Bootstrapping,GBDT,AUG,A_hops_all,0.0643148422241211,0.5681964601450769
1,1,Bootstrapping,GBDT,AUG,A_hops_citrus,-0.060869574546813965,0.5570677607529833
1,1,Bootstrapping,GBDT,AUG,A_hops_tropical,-1.288896083831787,0.5838002453648965
1,1,Bootstrapping,GBDT,AUG,A_hops_noble,0.16322314739227295,0.4748937437771982
1,1,Bootstrapping,GBDT,AUG,A_hops_woody,0.15766608715057373,0.35999747974122864
1,1,Bootstrapping,GBDT,AUG,A_esters_all,-0.06852507591247559,0.6931229524092016
1,1,Bootstrapping,GBDT,AUG,A_esters_ethac,-0.02528524398803711,0.5013814260603096
1,1,Bootstrapping,GBDT,AUG,A_esters_isoaa,-0.21865487098693848,0.593273071682782
1,1,Bootstrapping,GBDT,AUG,A_esters_flower,-0.09616219997406006,0.4528600312659168
1,1,Bootstrapping,GBDT,AUG,A_esters_fruity,-0.03880000114440918,0.5854748234307837
1,1,Bootstrapping,GBDT,AUG,F_malt_all,0.47022533416748047,0.5731633666663508
1,1,Bootstrapping,GBDT,AUG,F_malt_grain,-0.01440739631652832,0.46784771865039004
1,1,Bootstrapping,GBDT,AUG,F_malt_bread,-0.2549927234649658,0.4756609409101719
1,1,Bootstrapping,GBDT,AUG,F_malt_cara,-0.3901185989379883,0.6420547301695758
1,1,Bootstrapping,GBDT,AUG,F_malt_burn,0.4536215662956238,0.6457467149258834
1,1,Bootstrapping,GBDT,AUG,F_hops_all,0.48909085988998413,0.452258778367216
1,1,Bootstrapping,GBDT,AUG,F_hops_citrus,-0.21454846858978271,0.4479571497905118
1,1,Bootstrapping,GBDT,AUG,F_hops_tropical,-0.49169373512268066,0.4461870974330366
1,1,Bootstrapping,GBDT,AUG,F_hops_noble,-0.0028418302536010742,0.5111512393275546
1,1,Bootstrapping,GBDT,AUG,F_hops_woody,0.20795875787734985,0.4692611291822625
1,1,Bootstrapping,GBDT,AUG,F_esters_all,0.05931127071380615,0.5862369026721941
1,1,Bootstrapping,GBDT,AUG,F_esters_ethac,-0.16456711292266846,0.4943452494334662
1,1,Bootstrapping,GBDT,AUG,F_esters_isoaa,-0.0630943775177002,0.6436578555038245
1,1,Bootstrapping,GBDT,AUG,F_esters_flower,-0.3638867139816284,0.431898428451212
1,1,Bootstrapping,GBDT,AUG,F_esters_fruity,-0.02369534969329834,0.5572794678205577
1,1,Bootstrapping,GBDT,AUG,acidity,0.7444326877593994,0.4790641443481891
1,1,Bootstrapping,GBDT,AUG,bitternes,0.5010992884635925,0.48942331648018395
1,1,Bootstrapping,GBDT,AUG,sweetness,0.042698025703430176,0.6358370146221953
1,1,Bootstrapping,GBDT,AUG,X4vg,0.3986157774925232,0.6437890837202803
1,1,Bootstrapping,GBDT,AUG,diacetyl,-0.0711289644241333,0.6511431627631225
1,1,Bootstrapping,GBDT,AUG,dms,0.1330190896987915,0.44342600115974734
1,1,Bootstrapping,GBDT,AUG,metallic,0.028255701065063477,0.5076181186434112
1,1,Bootstrapping,GBDT,AUG,stale_hops,-0.019245386123657227,0.3995305197018725
1,1,Bootstrapping,GBDT,AUG,t2n,0.28414130210876465,0.3713006496878893
1,1,Bootstrapping,GBDT,AUG,orange,0.21253365278244019,0.7809135857103623
1,1,Bootstrapping,GBDT,AUG,coriander,-0.2353501319885254,0.3819572275604247
1,1,Bootstrapping,GBDT,AUG,clove,0.18075227737426758,0.3282735011708218
1,1,Bootstrapping,GBDT,AUG,lactic,0.5771105289459229,0.5337199406791756
1,1,Bootstrapping,GBDT,AUG,acetic,0.6912945508956909,0.3755203253239526
1,1,Bootstrapping,GBDT,AUG,barnyard,-0.19035494327545166,0.434134395431793
1,1,Bootstrapping,GBDT,AUG,alcohol,0.6223645210266113,0.42664580108179506
1,1,Bootstrapping,GBDT,AUG,aftertaste,0.5050748586654663,0.46117774715365323
1,1,Bootstrapping,GBDT,AUG,body,0.5633537173271179,0.41031062536109175
1,1,Bootstrapping,GBDT,AUG,co2,0.34058690071105957,0.5064317271112956
1,1,Bootstrapping,GBDT,AUG,overall,0.10622280836105347,0.5378610795383048
1,1,Bootstrapping,MLP,TSTR,A_malt_all,0.2405238151550293,0.7684810462580025
1,1,Bootstrapping,MLP,TSTR,A_malt_grain,-0.17757821083068848,0.5979765737962205
1,1,Bootstrapping,MLP,TSTR,A_malt_bread,-0.14138758182525635,0.5055966670865047
1,1,Bootstrapping,MLP,TSTR,A_malt_cara,-0.004110097885131836,0.6994210701734926
1,1,Bootstrapping,MLP,TSTR,A_malt_burn,0.2515949010848999,0.8021788891106117
1,1,Bootstrapping,MLP,TSTR,A_hops_all,-0.3819606304168701,0.690528312232496
1,1,Bootstrapping,MLP,TSTR,A_hops_citrus,-0.2950096130371094,0.6154793629986606
1,1,Bootstrapping,MLP,TSTR,A_hops_tropical,-1.9624848365783691,0.664170065751067
1,1,Bootstrapping,MLP,TSTR,A_hops_noble,-0.5713560581207275,0.6507720745122176
1,1,Bootstrapping,MLP,TSTR,A_hops_woody,-0.23609864711761475,0.4360978101803078
1,1,Bootstrapping,MLP,TSTR,A_esters_all,0.11608755588531494,0.6304091982032466
1,1,Bootstrapping,MLP,TSTR,A_esters_ethac,-0.27123045921325684,0.5582876633949144
1,1,Bootstrapping,MLP,TSTR,A_esters_isoaa,-0.1873542070388794,0.5856044840196092
1,1,Bootstrapping,MLP,TSTR,A_esters_flower,-0.1096123456954956,0.4556299065167428
1,1,Bootstrapping,MLP,TSTR,A_esters_fruity,-0.45046186447143555,0.6918236717061665
1,1,Bootstrapping,MLP,TSTR,F_malt_all,0.375,0.6225480142330245
1,1,Bootstrapping,MLP,TSTR,F_malt_grain,0.0482172966003418,0.4531763475198241
1,1,Bootstrapping,MLP,TSTR,F_malt_bread,-0.2362983226776123,0.47210494116847873
1,1,Bootstrapping,MLP,TSTR,F_malt_cara,-0.1457587480545044,0.5828982047301542
1,1,Bootstrapping,MLP,TSTR,F_malt_burn,0.3389970660209656,0.7102596279057014
1,1,Bootstrapping,MLP,TSTR,F_hops_all,0.01471942663192749,0.6280513188811938
1,1,Bootstrapping,MLP,TSTR,F_hops_citrus,-0.44739019870758057,0.48901464697387803
1,1,Bootstrapping,MLP,TSTR,F_hops_tropical,-1.5241401195526123,0.5804086892847918
1,1,Bootstrapping,MLP,TSTR,F_hops_noble,-0.6005948781967163,0.6457641138903977
1,1,Bootstrapping,MLP,TSTR,F_hops_woody,-0.22562289237976074,0.5837395706715435
1,1,Bootstrapping,MLP,TSTR,F_esters_all,0.11606621742248535,0.5682769400994586
1,1,Bootstrapping,MLP,TSTR,F_esters_ethac,-0.4299170970916748,0.5477766777986792
1,1,Bootstrapping,MLP,TSTR,F_esters_isoaa,-0.03018498420715332,0.6336169369143718
1,1,Bootstrapping,MLP,TSTR,F_esters_flower,-0.05378127098083496,0.37963627756228496
1,1,Bootstrapping,MLP,TSTR,F_esters_fruity,-0.03655123710632324,0.5607677914930137
1,1,Bootstrapping,MLP,TSTR,acidity,0.5202847719192505,0.6563458372708693
1,1,Bootstrapping,MLP,TSTR,bitternes,0.0713772177696228,0.6677244308443545
1,1,Bootstrapping,MLP,TSTR,sweetness,-0.3641486167907715,0.7590181650443213
1,1,Bootstrapping,MLP,TSTR,X4vg,0.010304927825927734,0.8258825566595784
1,1,Bootstrapping,MLP,TSTR,diacetyl,-0.2706003189086914,0.7091859052927085
1,1,Bootstrapping,MLP,TSTR,dms,-0.2999153137207031,0.5429676248003601
1,1,Bootstrapping,MLP,TSTR,metallic,-0.22650206089019775,0.5702893500659244
1,1,Bootstrapping,MLP,TSTR,stale_hops,-0.06965506076812744,0.4092912362575485
1,1,Bootstrapping,MLP,TSTR,t2n,-0.02641582489013672,0.44460437756432647
1,1,Bootstrapping,MLP,TSTR,orange,0.08691316843032837,0.84089740040922
1,1,Bootstrapping,MLP,TSTR,coriander,-0.7494261264801025,0.45453518089149925
1,1,Bootstrapping,MLP,TSTR,clove,0.09083247184753418,0.34582004617344475
1,1,Bootstrapping,MLP,TSTR,lactic,0.47822076082229614,0.592848017367091
1,1,Bootstrapping,MLP,TSTR,acetic,0.5314780473709106,0.46262200524784
1,1,Bootstrapping,MLP,TSTR,barnyard,0.0012724995613098145,0.3976577533925834
1,1,Bootstrapping,MLP,TSTR,alcohol,0.42623549699783325,0.5258936122867586
1,1,Bootstrapping,MLP,TSTR,aftertaste,0.48754429817199707,0.469274307122394
1,1,Bootstrapping,MLP,TSTR,body,0.35745739936828613,0.4977357678086291
1,1,Bootstrapping,MLP,TSTR,co2,0.20779752731323242,0.55508591218945
