feature,ks_stat,p_value
A_malt_all,0.1775,0.0004185356623688195
A_malt_grain,0.1425,0.008542796491970425
A_malt_bread,0.195,7.198340666318494e-05
A_malt_cara,0.285,5.593719176379822e-10
A_malt_burn,0.4125,9.30947515015197e-21
A_hops_all,0.455,2.4417442999961203e-25
A_hops_citrus,0.38,1.3455433457331859e-17
A_hops_tropical,0.185,0.00020094686161401939
A_hops_noble,0.3575,1.405515040248195e-15
A_hops_woody,0.18,0.00032885998703444477
A_esters_all,0.4125,9.30947515015197e-21
A_esters_ethac,0.3775,2.2906981014017542e-17
A_esters_isoaa,0.4125,9.30947515015197e-21
A_esters_flower,0.09,0.22598532664631668
A_esters_fruity,0.1975,5.520946369863485e-05
F_malt_all,0.0875,0.25438687552104255
F_malt_grain,0.4375,2.1725787602820942e-23
F_malt_bread,0.13,0.02133663714307325
F_malt_cara,0.2875,3.7763805960602245e-10
F_malt_burn,0.1925,9.352916216802442e-05
F_hops_all,0.2325,9.334081275070552e-07
F_hops_citrus,0.39,1.5402477576918038e-18
F_hops_tropical,0.1775,0.0004185356623688195
F_hops_noble,0.565,9.662680163712028e-40
F_hops_woody,0.51,4.6290512300500326e-32
F_esters_all,0.245,1.839892503683708e-07
F_esters_ethac,0.545,7.831498013049587e-37
F_esters_isoaa,0.4425,6.1535403542660076e-24
F_esters_flower,0.21,1.3909111049918432e-05
F_esters_fruity,0.2075,1.8452859828819583e-05
acidity,0.43,1.3971797968015688e-22
bitternes,0.445,3.254503288984146e-24
sweetness,0.535,1.9856421117503146e-35
X4vg,0.58,5.166819091035238e-42
diacetyl,0.3725,6.561871032713085e-17
dms,0.1575,0.002545920584675947
metallic,0.1975,5.520946369863485e-05
stale_hops,0.2525,6.65506930385444e-08
t2n,0.51,4.6290512300500326e-32
orange,0.5725,7.227566310950645e-41
coriander,0.5775,1.2512594221447655e-41
clove,0.53,9.718181314115777e-35
lactic,0.69,2.8193424169970363e-61
acetic,0.6825,8.359165327613707e-60
barnyard,0.4425,6.1535403542660076e-24
alcohol,0.4075,2.9793621192972874e-20
aftertaste,0.31,9.333163655042091e-12
body,0.5275,2.1348582817375103e-34
co2,0.27,5.47530122256195e-09
overall,0.425,4.733282090658373e-22
