feature,ks_stat,p_value
acetaldehyde,0.115,0.05722994272855717
CS2,0.4,1.6551869944948066e-19
DES,0.0725,0.47833041734593434
DMS,0.0875,0.25438687552104255
ethyl_2.methyl_butyrate,0.185,0.00020094686161401939
ethyl_acetate,0.065,0.6190713161830892
ethyl_decanoate,0.045,0.9468003718156517
ethyl_hexanoate,0.11,0.07739524550093227
ethyl_isovalerate,0.175,0.0005308357569488482
ethyl_octanoate,0.0625,0.6677679087796531
ethyl_propionate,0.0475,0.9202562631263042
H2S,0.095,0.17647045720826873
isoamyl_alcohol,0.1,0.13591413534720856
isobutanol,0.1075,0.08954849691133762
isobutyl_acetate,0.0775,0.393718201317559
isopentyl_acetate,0.0625,0.6677679087796531
MeSH,0.0875,0.25438687552104255
octyl_acetate,0.2075,1.8452859828819583e-05
phenethyl_acetate,0.06,0.7161848267754904
phenethyl_alcohol,0.0775,0.393718201317559
X4VG,0.3375,6.747181088266523e-14
SO2.mg.L.,0.06,0.7161848267754904
acetic_acid.g.L.,0.065,0.6190713161830892
ammonia.mg.L.,0.065,0.6190713161830892
color.EBC.,0.0525,0.8503140351383752
betaglucan.mg.L.,0.0475,0.9202562631263042
lactic_acid.mg.L.,0.08,0.3550125902842471
glycerol,0.065,0.6190713161830892
iron,0.05,0.8878743387468179
pH,0.055,0.8084857415008071
protein.g.L.,0.05,0.8878743387468179
bitterness,0.0975,0.15513592446070518
GFS,0.0575,0.7634242438698546
ethanol..v.v.,0.1325,0.017888195483849026
CO2.PSI.,0.0825,0.31887048886973485
unfermentables,0.0675,0.5708652482410211
kcalperc,0.06,0.7161848267754904
X1.propanol,0.0925,0.20004736274388757
X2.3.butanedione,,
X3.methylbutanal,,
propylene.glycol,0.13,0.02133663714307325
propyl.acetate,0.115,0.05722994272855717
n.pentanol,0.0625,0.6677679087796531
X2.methyl.1.butanol,0.0675,0.5708652482410211
isopentyl.formate,0.065,0.6190713161830892
ethyl.isobutyrate,,
X3.methyl.2.butenal,0.0375,0.9910574454396103
X2.methyltetrahydrofuran.3.one,0.5,9.052730306573787e-31
ethyl.butyrate,0.2175,5.833305728719634e-06
butyl.acetate,0.0775,0.393718201317559
methylpyrazine,,
furfural,,
ethyl.lactate,0.405,5.297893899383846e-20
X3Z.hexenol,0.415,5.172471424333824e-21
n.hexanol,0.2075,1.8452859828819583e-05
styrene,0.3225,1.0500119566085802e-12
X2.furanmethanol,0.16,0.002056057037674531
X3.methyl.2.hexanol,0.0425,0.9672282978991504
X3.furanmethanol,0.065,0.6190713161830892
X2.acetylfuran,0.075,0.4348842202177677
X2.6.dimethyl.pyrazine,0.23,1.277990301106273e-06
amyl.acetate,,
ethyl.tiglate,0.085,0.2853320095955398
benzaldehyde,0.38,1.3455433457331859e-17
X5.methylfurfural,0.3625,5.139629942141412e-16
n.heptanol,0.04,0.9817438034331898
X1.octen.3.ol,0.0725,0.47833041734593434
X3.methylthio.propanol,0.17,0.0008451620190338401
isomaltol,0.12,0.041750698523622023
X6.methyl.5.hepten.2.one,0.4125,9.30947515015197e-21
X2.pentyl.furan,0.1175,0.0489640305638351
ethyl.hex..3E..enoate,0.0475,0.9202562631263042
alpha.phellandrene,0.255,4.708125094512707e-08
dehydroxy.cis.linalool.oxide,0.225,2.37058383418446e-06
hexyl.acetate,0.4075,2.9793621192972874e-20
isopentyl.butanoate,0.1375,0.012446037426761309
X2.ethyl.1.hexanol,0.14,0.010328876010191355
beta.phellandrene,0.2025,3.214080470404362e-05
limonene,0.395,5.08937988499931e-19
eucalyptol,0.3,5.0141468449795066e-11
benzyl.alcohol,0.3775,2.2906981014017542e-17
ethyl.hex..2E..enoate,0.1325,0.017888195483849026
phenylacetaldehyde,,
X.E..beta.ocimene,0.3675,1.8507127818953243e-16
prenyl.isobutyrate,0.125,0.030049214777110294
ethyl.furoate,0.1175,0.0489640305638351
ortho.cresol,0.1275,0.02536381231922176
ethyl.5.methylhexanoate,0.1025,0.11866876494363714
X2.acetylpyrrole,0.1075,0.08954849691133762
isoamyl.lactate,0.075,0.4348842202177677
n.octanol,0.0525,0.8503140351383752
cis.linalool.oxide,0.19,0.00012110415385776797
meta.cymenene,0.3525,3.785111197453443e-15
terpinolene,0.0525,0.8503140351383752
linalool,0.31,9.333163655042091e-12
nonan.2.ol,0.0725,0.47833041734593434
n.nonanal,0.1675,0.0010609497633024907
X2.methyl.benzofuran,0.0575,0.7634242438698546
heptyl.acetate,0.095,0.17647045720826873
X4.methyl.1.pentanol,0.1575,0.002545920584675947
neo.allo.ocimene,0.125,0.030049214777110294
x.methyl.1.octanol,0.1575,0.002545920584675947
trans.dihydro.beta.terpineol,0.1575,0.002545920584675947
cis.beta.terpineol,0.65,1.0416327773836718e-53
y.methyl.1.octanol,0.2775,1.7787704842767737e-09
camphor,0.0825,0.31887048886973485
isobutyl.hexanoate,0.14,0.010328876010191355
nerol.oxide,0.11,0.07739524550093227
X.E..2.nonenal,0.4275,2.5769036523328697e-22
cis.dihydro.beta.terpineol,0.39,1.5402477576918038e-18
X4.ethyl.phenol,0.0775,0.393718201317559
isoborneol,0.05,0.8878743387468179
ethyl.benzoate,0.0525,0.8503140351383752
n.nonanol,0.14,0.010328876010191355
terpinen.4.ol,0.0875,0.25438687552104255
diethyl.succinate,0.1375,0.012446037426761309
vinyl.caprylate,0.0975,0.15513592446070518
X1.alpha.terpineol,0.23,1.277990301106273e-06
ethyl..E..linalool,0.0575,0.7634242438698546
ethyl.nicotinate,,
citronellol,0.265,1.1379283602422221e-08
nerol,0.06,0.7161848267754904
hydroxy.methyl.furfural,0.0925,0.20004736274388757
E.ocimenone,0.145,0.007041594267935141
cumin.aldehyde,0.1075,0.08954849691133762
ethyl.phenylacetate,0.1775,0.0004185356623688195
isopentyl.hexanoate,0.055,0.8084857415008071
geraniol,0.145,0.007041594267935141
beta.cyclohomocitral,0.15,0.004735656533395855
E.cinnamaldehyde,0.0725,0.47833041734593434
n.decanol,0.2325,9.334081275070552e-07
neryl.formate,0.1075,0.08954849691133762
X4.ethyl.guaiacol,0.075,0.4348842202177677
X2.undecanone,0.1325,0.017888195483849026
