feature,ks_stat,p_value
A_malt_all,0.305,2.179268493798199e-11
A_malt_grain,0.2075,1.8452859828819583e-05
A_malt_bread,0.315,3.9384822870007065e-12
A_malt_cara,0.2825,8.255587342932922e-10
A_malt_burn,0.3775,2.2906981014017542e-17
A_hops_all,0.2,4.2197706776709616e-05
A_hops_citrus,0.215,7.820358278708043e-06
A_hops_tropical,0.235,6.793365147692429e-07
A_hops_noble,0.135,0.014946353345597222
A_hops_woody,0.32,1.6375240283189414e-12
A_esters_all,0.1525,0.003863813477929572
A_esters_ethac,0.1275,0.02536381231922176
A_esters_isoaa,0.11,0.07739524550093227
A_esters_flower,0.2025,3.214080470404362e-05
A_esters_fruity,0.27,5.47530122256195e-09
F_malt_all,0.1925,9.352916216802442e-05
F_malt_grain,0.0725,0.47833041734593434
F_malt_bread,0.1025,0.11866876494363714
F_malt_cara,0.2725,3.777560160336705e-09
F_malt_burn,0.3275,4.2692017312252843e-13
F_hops_all,0.13,0.02133663714307325
F_hops_citrus,0.21,1.3909111049918432e-05
F_hops_tropical,0.2275,1.743632014755952e-06
F_hops_noble,0.1075,0.08954849691133762
F_hops_woody,0.34,4.214337327417989e-14
F_esters_all,0.125,0.030049214777110294
F_esters_ethac,0.135,0.014946353345597222
F_esters_isoaa,0.2025,3.214080470404362e-05
F_esters_flower,0.2225,3.2116698514542253e-06
F_esters_fruity,0.3175,2.5442800223801305e-12
acidity,0.3575,1.405515040248195e-15
bitternes,0.1,0.13591413534720856
sweetness,0.2425,2.5640206061354e-07
X4vg,0.2975,7.563952332669824e-11
diacetyl,0.1925,9.352916216802442e-05
dms,0.155,0.0031417486775911162
metallic,0.1525,0.003863813477929572
stale_hops,0.255,4.708125094512707e-08
t2n,0.105,0.10326023610216986
orange,0.3175,2.5442800223801305e-12
coriander,0.455,2.4417442999961203e-25
clove,0.375,3.8845725475963675e-17
lactic,0.4325,7.544315785501382e-23
acetic,0.4375,2.1725787602820942e-23
barnyard,0.4075,2.9793621192972874e-20
alcohol,0.1425,0.008542796491970425
aftertaste,0.1275,0.02536381231922176
body,0.115,0.05722994272855717
co2,0.1425,0.008542796491970425
overall,0.185,0.00020094686161401939
