feature,ks_stat,p_value
acetaldehyde,0.085,0.2853320095955398
CS2,0.4275,2.5769036523328697e-22
DES,0.0675,0.5708652482410211
DMS,0.065,0.6190713161830892
ethyl_2.methyl_butyrate,0.1875,0.00015626795445660205
ethyl_acetate,0.0825,0.31887048886973485
ethyl_decanoate,0.045,0.9468003718156517
ethyl_hexanoate,0.095,0.17647045720826873
ethyl_isovalerate,0.19,0.00012110415385776797
ethyl_octanoate,0.05,0.8878743387468179
ethyl_propionate,0.045,0.9468003718156517
H2S,0.055,0.8084857415008071
isoamyl_alcohol,0.095,0.17647045720826873
isobutanol,0.0875,0.25438687552104255
isobutyl_acetate,0.07,0.5237842108066766
isopentyl_acetate,0.06,0.7161848267754904
MeSH,0.065,0.6190713161830892
octyl_acetate,0.2075,1.8452859828819583e-05
phenethyl_acetate,0.065,0.6190713161830892
phenethyl_alcohol,0.0575,0.7634242438698546
X4VG,0.3025,3.311707318175834e-11
SO2.mg.L.,0.05,0.8878743387468179
acetic_acid.g.L.,0.0775,0.393718201317559
ammonia.mg.L.,0.0425,0.9672282978991504
color.EBC.,0.0625,0.6677679087796531
betaglucan.mg.L.,0.065,0.6190713161830892
lactic_acid.mg.L.,0.085,0.2853320095955398
glycerol,0.0775,0.393718201317559
iron,0.0425,0.9672282978991504
pH,0.0475,0.9202562631263042
protein.g.L.,0.0775,0.393718201317559
bitterness,0.0675,0.5708652482410211
GFS,0.0975,0.15513592446070518
ethanol..v.v.,0.115,0.05722994272855717
CO2.PSI.,0.08,0.3550125902842471
unfermentables,0.085,0.2853320095955398
kcalperc,0.0775,0.393718201317559
X1.propanol,0.1325,0.017888195483849026
X2.3.butanedione,,
X3.methylbutanal,,
propylene.glycol,0.2025,3.214080470404362e-05
propyl.acetate,0.1625,0.001654783216140878
n.pentanol,0.0625,0.6677679087796531
X2.methyl.1.butanol,0.0675,0.5708652482410211
isopentyl.formate,0.0625,0.6677679087796531
ethyl.isobutyrate,,
X3.methyl.2.butenal,0.0625,0.6677679087796531
X2.methyltetrahydrofuran.3.one,0.4575,1.2645074638258938e-25
