feature,ks_stat,p_value
acetaldehyde,0.29,2.5402164120077263e-10
CS2,0.4725,2.230110088045613e-27
DES,0.345,1.6256089732179386e-14
DMS,0.1875,0.00015626795445660205
ethyl_2.methyl_butyrate,0.1875,0.00015626795445660205
ethyl_acetate,0.225,2.37058383418446e-06
ethyl_decanoate,0.2525,6.65506930385444e-08
ethyl_hexanoate,0.235,6.793365147692429e-07
ethyl_isovalerate,0.225,2.37058383418446e-06
ethyl_octanoate,0.24,3.5605076789460665e-07
ethyl_propionate,0.1375,0.012446037426761309
H2S,0.3625,5.139629942141412e-16
isoamyl_alcohol,0.42,1.5774841670052679e-21
isobutanol,0.26,2.3312500046609637e-08
isobutyl_acetate,0.2425,2.5640206061354e-07
isopentyl_acetate,0.28,1.214004316129806e-09
MeSH,0.2375,4.926809132735795e-07
octyl_acetate,0.27,5.47530122256195e-09
phenethyl_acetate,0.33,2.7069886059800647e-13
phenethyl_alcohol,0.17,0.0008451620190338401
X4VG,0.405,5.297893899383846e-20
SO2.mg.L.,0.2525,6.65506930385444e-08
acetic_acid.g.L.,0.2125,1.0447705977863681e-05
ammonia.mg.L.,0.155,0.0031417486775911162
color.EBC.,0.095,0.17647045720826873
betaglucan.mg.L.,0.38,1.3455433457331859e-17
lactic_acid.mg.L.,0.2625,1.631660725767663e-08
glycerol,0.2025,3.214080470404362e-05
iron,0.1625,0.001654783216140878
pH,0.155,0.0031417486775911162
protein.g.L.,0.2425,2.5640206061354e-07
bitterness,0.345,1.6256089732179386e-14
GFS,0.1225,0.03547991844816951
ethanol..v.v.,0.3675,1.8507127818953243e-16
CO2.PSI.,0.36,8.515654129464636e-16
unfermentables,0.3075,1.4287974061378973e-11
kcalperc,0.1675,0.0010609497633024907
X1.propanol,0.26,2.3312500046609637e-08
X2.3.butanedione,,
X3.methylbutanal,,
propylene.glycol,0.31,9.333163655042091e-12
propyl.acetate,0.37,1.104142253234075e-16
n.pentanol,0.16,0.002056057037674531
X2.methyl.1.butanol,0.2975,7.563952332669824e-11
isopentyl.formate,0.2425,2.5640206061354e-07
ethyl.isobutyrate,,
X3.methyl.2.butenal,0.18,0.00032885998703444477
X2.methyltetrahydrofuran.3.one,0.575,3.0148588943828963e-41
ethyl.butyrate,0.3825,7.872793294159981e-18
butyl.acetate,0.24,3.5605076789460665e-07
methylpyrazine,,
furfural,,
ethyl.lactate,0.5675,4.091643386192516e-40
X3Z.hexenol,0.61,8.471823541862297e-47
n.hexanol,0.335,1.0761614686706765e-13
styrene,0.5625,2.270603854108765e-39
X2.furanmethanol,0.325,6.707822936321859e-13
X3.methyl.2.hexanol,0.2275,1.743632014755952e-06
X3.furanmethanol,0.1525,0.003863813477929572
X2.acetylfuran,0.4375,2.1725787602820942e-23
X2.6.dimethyl.pyrazine,0.3375,6.747181088266523e-14
amyl.acetate,,
ethyl.tiglate,0.3875,2.6636631601762704e-18
benzaldehyde,0.495,3.8967715307051046e-30
X5.methylfurfural,0.495,3.8967715307051046e-30
n.heptanol,0.1625,0.001654783216140878
X1.octen.3.ol,0.385,4.588358907046464e-18
X3.methylthio.propanol,0.6925,8.991306229856687e-62
isomaltol,0.56,5.30931362624084e-39
X6.methyl.5.hepten.2.one,0.4325,7.544315785501382e-23
X2.pentyl.furan,0.385,4.588358907046464e-18
ethyl.hex..3E..enoate,0.3325,1.7100063804653984e-13
alpha.phellandrene,0.335,1.0761614686706765e-13
dehydroxy.cis.linalool.oxide,0.38,1.3455433457331859e-17
hexyl.acetate,0.53,9.718181314115777e-35
isopentyl.butanoate,0.26,2.3312500046609637e-08
X2.ethyl.1.hexanol,0.4075,2.9793621192972874e-20
beta.phellandrene,0.2575,3.3188998738590866e-08
limonene,0.555,2.86041310015717e-38
eucalyptol,0.3225,1.0500119566085802e-12
benzyl.alcohol,0.485,6.845210352961305e-29
ethyl.hex..2E..enoate,0.4675,8.715851441599907e-27
phenylacetaldehyde,,
X.E..beta.ocimene,0.5175,4.745692814799091e-33
prenyl.isobutyrate,0.2775,1.7787704842767737e-09
ethyl.furoate,0.285,5.593719176379822e-10
ortho.cresol,0.4225,8.658641148527635e-22
ethyl.5.methylhexanoate,0.4,1.6551869944948066e-19
