feature,ks_stat,p_value
A_malt_all,0.4925,8.030852946398541e-30
A_malt_grain,0.4575,1.2645074638258938e-25
A_malt_bread,0.4875,3.365860681861523e-29
A_malt_cara,0.5625,2.270603854108765e-39
A_malt_burn,0.6025,1.4295413865880934e-45
A_hops_all,0.425,4.733282090658373e-22
A_hops_citrus,0.575,3.0148588943828963e-41
A_hops_tropical,0.49,1.6477446235204806e-29
A_hops_noble,0.405,5.297893899383846e-20
A_hops_woody,0.5025,4.334086283842866e-31
A_esters_all,0.455,2.4417442999961203e-25
A_esters_ethac,0.44,1.1586535699306233e-23
A_esters_isoaa,0.4675,8.715851441599907e-27
A_esters_flower,0.5225,1.0159216354079957e-33
A_esters_fruity,0.515,1.0186351259442479e-32
F_malt_all,0.485,6.845210352961305e-29
F_malt_grain,0.4725,2.230110088045613e-27
F_malt_bread,0.4675,8.715851441599907e-27
F_malt_cara,0.5325,4.403164753757403e-35
F_malt_burn,0.5975,9.157260623066063e-45
F_hops_all,0.4375,2.1725787602820942e-23
F_hops_citrus,0.49,1.6477446235204806e-29
F_hops_tropical,0.5425,1.7699675404395438e-36
F_hops_noble,0.4425,6.1535403542660076e-24
F_hops_woody,0.555,2.86041310015717e-38
F_esters_all,0.4675,8.715851441599907e-27
F_esters_ethac,0.4375,2.1725787602820942e-23
F_esters_isoaa,0.505,2.0656665919314487e-31
F_esters_flower,0.54,3.981156939946004e-36
F_esters_fruity,0.5275,2.1348582817375103e-34
acidity,0.625,2.569453332465178e-49
bitternes,0.4925,8.030852946398541e-30
sweetness,0.54,3.981156939946004e-36
X4vg,0.495,3.8967715307051046e-30
diacetyl,0.51,4.6290512300500326e-32
dms,0.495,3.8967715307051046e-30
metallic,0.465,1.7119792239056996e-26
stale_hops,0.525,4.667935951317562e-34
t2n,0.45,8.989752509646755e-25
orange,0.6875,8.78280415911689e-61
coriander,0.785,2.3780196812152047e-82
clove,0.74,9.022364037177608e-72
lactic,0.775,6.757705169233303e-80
acetic,0.815,4.209061590359817e-90
barnyard,0.535,1.9856421117503146e-35
alcohol,0.4675,8.715851441599907e-27
aftertaste,0.485,6.845210352961305e-29
body,0.465,1.7119792239056996e-26
co2,0.48,2.794130891168041e-28
overall,0.5525,6.590830573402916e-38
