feature,ks_stat,p_value
acetaldehyde,0.4,1.6551869944948066e-19
CS2,0.1475,0.005784485766244314
DES,0.1275,0.02536381231922176
DMS,0.2575,3.3188998738590866e-08
ethyl_2.methyl_butyrate,0.2375,4.926809132735795e-07
ethyl_acetate,0.135,0.014946353345597222
ethyl_decanoate,0.07,0.5237842108066766
ethyl_hexanoate,0.1925,9.352916216802442e-05
ethyl_isovalerate,0.1775,0.0004185356623688195
ethyl_octanoate,0.395,5.08937988499931e-19
ethyl_propionate,0.2675,7.907546340659783e-09
H2S,0.3875,2.6636631601762704e-18
isoamyl_alcohol,0.26,2.3312500046609637e-08
isobutanol,0.345,1.6256089732179386e-14
isobutyl_acetate,0.195,7.198340666318494e-05
isopentyl_acetate,0.3725,6.561871032713085e-17
MeSH,0.35,6.176057267364492e-15
octyl_acetate,0.22,4.3359415940486165e-06
phenethyl_acetate,0.4625,3.348313960584187e-26
phenethyl_alcohol,0.435,4.0569152225584435e-23
X4VG,0.515,1.0186351259442479e-32
SO2.mg.L.,0.25,9.373679355591923e-08
acetic_acid.g.L.,0.4725,2.230110088045613e-27
ammonia.mg.L.,0.4725,2.230110088045613e-27
color.EBC.,0.2075,1.8452859828819583e-05
betaglucan.mg.L.,0.26,2.3312500046609637e-08
lactic_acid.mg.L.,0.195,7.198340666318494e-05
glycerol,0.5175,4.745692814799091e-33
iron,0.35,6.176057267364492e-15
pH,0.3075,1.4287974061378973e-11
protein.g.L.,0.37,1.104142253234075e-16
bitterness,0.175,0.0005308357569488482
GFS,0.2675,7.907546340659783e-09
ethanol..v.v.,0.305,2.179268493798199e-11
CO2.PSI.,0.445,3.254503288984146e-24
unfermentables,0.255,4.708125094512707e-08
kcalperc,0.2825,8.255587342932922e-10
X1.propanol,0.3375,6.747181088266523e-14
X2.3.butanedione,,
X3.methylbutanal,,
propylene.glycol,0.2975,7.563952332669824e-11
propyl.acetate,0.4975,1.882405282687646e-30
n.pentanol,0.14,0.010328876010191355
X2.methyl.1.butanol,0.135,0.014946353345597222
isopentyl.formate,0.22,4.3359415940486165e-06
ethyl.isobutyrate,0.275,2.5968656979457667e-09
X3.methyl.2.butenal,0.385,4.588358907046464e-18
X2.methyltetrahydrofuran.3.one,0.61,8.471823541862297e-47
ethyl.butyrate,0.23,1.277990301106273e-06
butyl.acetate,0.225,2.37058383418446e-06
methylpyrazine,,
furfural,0.585,8.676032857240678e-43
ethyl.lactate,0.41,1.6687787389791512e-20
X3Z.hexenol,0.6325,1.3129536852118503e-50
n.hexanol,0.455,2.4417442999961203e-25
styrene,0.3475,1.0038973940978993e-14
X2.furanmethanol,0.4575,1.2645074638258938e-25
X3.methyl.2.hexanol,0.435,4.0569152225584435e-23
X3.furanmethanol,0.3625,5.139629942141412e-16
X2.acetylfuran,0.3875,2.6636631601762704e-18
X2.6.dimethyl.pyrazine,0.2925,1.7024836769028884e-10
amyl.acetate,,
ethyl.tiglate,0.3325,1.7100063804653984e-13
benzaldehyde,0.28,1.214004316129806e-09
X5.methylfurfural,0.19,0.00012110415385776797
n.heptanol,0.39,1.5402477576918038e-18
X1.octen.3.ol,0.14,0.010328876010191355
X3.methylthio.propanol,0.3775,2.2906981014017542e-17
isomaltol,0.2525,6.65506930385444e-08
X6.methyl.5.hepten.2.one,0.3125,6.0741090703162054e-12
X2.pentyl.furan,0.3025,3.311707318175834e-11
ethyl.hex..3E..enoate,0.19,0.00012110415385776797
alpha.phellandrene,0.31,9.333163655042091e-12
dehydroxy.cis.linalool.oxide,0.375,3.8845725475963675e-17
hexyl.acetate,0.195,7.198340666318494e-05
isopentyl.butanoate,0.375,3.8845725475963675e-17
X2.ethyl.1.hexanol,0.4825,1.3860159973692675e-28
beta.phellandrene,0.335,1.0761614686706765e-13
limonene,0.5375,8.91220413231971e-36
eucalyptol,0.2625,1.631660725767663e-08
benzyl.alcohol,0.49,1.6477446235204806e-29
ethyl.hex..2E..enoate,0.295,1.1368675236203857e-10
phenylacetaldehyde,0.27,5.47530122256195e-09
X.E..beta.ocimene,0.665,1.8211238507563508e-56
prenyl.isobutyrate,0.1425,0.008542796491970425
ethyl.furoate,0.195,7.198340666318494e-05
ortho.cresol,0.5225,1.0159216354079957e-33
ethyl.5.methylhexanoate,0.39,1.5402477576918038e-18
X2.acetylpyrrole,0.47,4.418291595499353e-27
isoamyl.lactate,0.425,4.733282090658373e-22
n.octanol,0.4675,8.715851441599907e-27
cis.linalool.oxide,0.3375,6.747181088266523e-14
meta.cymenene,0.6025,1.4295413865880934e-45
terpinolene,0.35,6.176057267364492e-15
linalool,0.5775,1.2512594221447655e-41
nonan.2.ol,0.34,4.214337327417989e-14
n.nonanal,0.3775,2.2906981014017542e-17
X2.methyl.benzofuran,0.525,4.667935951317562e-34
heptyl.acetate,0.3125,6.0741090703162054e-12
X4.methyl.1.pentanol,0.41,1.6687787389791512e-20
neo.allo.ocimene,0.3375,6.747181088266523e-14
x.methyl.1.octanol,0.5075,9.800781310234099e-32
trans.dihydro.beta.terpineol,0.3925,8.871297583414431e-19
cis.beta.terpineol,0.635,4.817407112692775e-51
y.methyl.1.octanol,0.3,5.0141468449795066e-11
camphor,0.44,1.1586535699306233e-23
isobutyl.hexanoate,0.475,1.1207782114037702e-27
nerol.oxide,0.2425,2.5640206061354e-07
X.E..2.nonenal,0.6075,2.184646526704977e-46
cis.dihydro.beta.terpineol,0.345,1.6256089732179386e-14
X4.ethyl.phenol,0.17,0.0008451620190338401
isoborneol,0.3825,7.872793294159981e-18
ethyl.benzoate,0.465,1.7119792239056996e-26
n.nonanol,0.19,0.00012110415385776797
terpinen.4.ol,0.4775,5.608264847321814e-28
diethyl.succinate,0.3925,8.871297583414431e-19
vinyl.caprylate,0.525,4.667935951317562e-34
X1.alpha.terpineol,0.255,4.708125094512707e-08
ethyl..E..linalool,0.3925,8.871297583414431e-19
ethyl.nicotinate,,
citronellol,0.26,2.3312500046609637e-08
nerol,0.3225,1.0500119566085802e-12
hydroxy.methyl.furfural,0.455,2.4417442999961203e-25
E.ocimenone,0.235,6.793365147692429e-07
cumin.aldehyde,0.475,1.1207782114037702e-27
ethyl.phenylacetate,0.1275,0.02536381231922176
isopentyl.hexanoate,0.475,1.1207782114037702e-27
geraniol,0.41,1.6687787389791512e-20
beta.cyclohomocitral,0.3875,2.6636631601762704e-18
E.cinnamaldehyde,0.3275,4.2692017312252843e-13
n.decanol,0.525,4.667935951317562e-34
