feature,ks_stat,p_value
A_malt_all,0.4175,2.8622852178877623e-21
A_malt_grain,0.47,4.418291595499353e-27
A_malt_bread,0.4575,1.2645074638258938e-25
A_malt_cara,0.395,5.08937988499931e-19
A_malt_burn,0.2725,3.777560160336705e-09
A_hops_all,0.365,3.0901061794394883e-16
A_hops_citrus,0.42,1.5774841670052679e-21
A_hops_tropical,0.225,2.37058383418446e-06
A_hops_noble,0.2375,4.926809132735795e-07
A_hops_woody,0.315,3.9384822870007065e-12
A_esters_all,0.4975,1.882405282687646e-30
A_esters_ethac,0.175,0.0005308357569488482
A_esters_isoaa,0.39,1.5402477576918038e-18
A_esters_flower,0.1625,0.001654783216140878
A_esters_fruity,0.3175,2.5442800223801305e-12
F_malt_all,0.3525,3.785111197453443e-15
F_malt_grain,0.505,2.0656665919314487e-31
F_malt_bread,0.2425,2.5640206061354e-07
F_malt_cara,0.3075,1.4287974061378973e-11
F_malt_burn,0.335,1.0761614686706765e-13
F_hops_all,0.25,9.373679355591923e-08
F_hops_citrus,0.2275,1.743632014755952e-06
F_hops_tropical,0.405,5.297893899383846e-20
F_hops_noble,0.355,2.310935718924183e-15
F_hops_woody,0.15,0.004735656533395855
F_esters_all,0.1175,0.0489640305638351
F_esters_ethac,0.42,1.5774841670052679e-21
F_esters_isoaa,0.2725,3.777560160336705e-09
F_esters_flower,0.35,6.176057267364492e-15
F_esters_fruity,0.415,5.172471424333824e-21
acidity,0.26,2.3312500046609637e-08
bitternes,0.435,4.0569152225584435e-23
sweetness,0.5025,4.334086283842866e-31
X4vg,0.21,1.3909111049918432e-05
diacetyl,0.3775,2.2906981014017542e-17
dms,0.1975,5.520946369863485e-05
metallic,0.41,1.6687787389791512e-20
stale_hops,0.33,2.7069886059800647e-13
t2n,0.215,7.820358278708043e-06
orange,0.4825,1.3860159973692675e-28
coriander,0.435,4.0569152225584435e-23
clove,0.6475,2.939121831249326e-53
lactic,0.6975,8.9654835056829e-63
acetic,0.4175,2.8622852178877623e-21
barnyard,0.2925,1.7024836769028884e-10
alcohol,0.5425,1.7699675404395438e-36
aftertaste,0.2375,4.926809132735795e-07
body,0.2,4.2197706776709616e-05
co2,0.1575,0.002545920584675947
overall,0.37,1.104142253234075e-16
