feature,ks_stat,p_value
A_malt_all,0.2,4.2197706776709616e-05
A_malt_grain,0.1125,0.06666569367551337
A_malt_bread,0.195,7.198340666318494e-05
A_malt_cara,0.305,2.179268493798199e-11
A_malt_burn,0.3825,7.872793294159981e-18
A_hops_all,0.17,0.0008451620190338401
A_hops_citrus,0.1975,5.520946369863485e-05
A_hops_tropical,0.315,3.9384822870007065e-12
A_hops_noble,0.1525,0.003863813477929572
A_hops_woody,0.17,0.0008451620190338401
A_esters_all,0.115,0.05722994272855717
A_esters_ethac,0.1225,0.03547991844816951
A_esters_isoaa,0.175,0.0005308357569488482
A_esters_flower,0.2075,1.8452859828819583e-05
A_esters_fruity,0.38,1.3455433457331859e-17
F_malt_all,0.2575,3.3188998738590866e-08
F_malt_grain,0.165,0.0013272765649306566
F_malt_bread,0.2375,4.926809132735795e-07
F_malt_cara,0.3575,1.405515040248195e-15
F_malt_burn,0.2975,7.563952332669824e-11
F_hops_all,0.1475,0.005784485766244314
F_hops_citrus,0.1675,0.0010609497633024907
F_hops_tropical,0.2325,9.334081275070552e-07
F_hops_noble,0.1625,0.001654783216140878
F_hops_woody,0.215,7.820358278708043e-06
F_esters_all,0.1475,0.005784485766244314
F_esters_ethac,0.1575,0.002545920584675947
F_esters_isoaa,0.1425,0.008542796491970425
F_esters_flower,0.2675,7.907546340659783e-09
F_esters_fruity,0.325,6.707822936321859e-13
acidity,0.3575,1.405515040248195e-15
bitternes,0.1725,0.0006709583192474076
sweetness,0.1825,0.00025751020160872854
X4vg,0.225,2.37058383418446e-06
diacetyl,0.265,1.1379283602422221e-08
dms,0.2025,3.214080470404362e-05
metallic,0.1375,0.012446037426761309
stale_hops,0.285,5.593719176379822e-10
t2n,0.14,0.010328876010191355
orange,0.41,1.6687787389791512e-20
coriander,0.4375,2.1725787602820942e-23
clove,0.4225,8.658641148527635e-22
lactic,0.55,1.5112657010182154e-37
acetic,0.555,2.86041310015717e-38
barnyard,0.2675,7.907546340659783e-09
alcohol,0.2,4.2197706776709616e-05
aftertaste,0.1025,0.11866876494363714
body,0.1675,0.0010609497633024907
co2,0.1525,0.003863813477929572
overall,0.215,7.820358278708043e-06
