feature,ks_stat,p_value
acetaldehyde,0.405,5.297893899383846e-20
CS2,0.835,1.2497608772883954e-95
DES,0.6425,2.2993012413338352e-52
DMS,0.4675,8.715851441599907e-27
ethyl_2.methyl_butyrate,0.51,4.6290512300500326e-32
ethyl_acetate,0.395,5.08937988499931e-19
ethyl_decanoate,0.49,1.6477446235204806e-29
ethyl_hexanoate,0.445,3.254503288984146e-24
ethyl_isovalerate,0.635,4.817407112692775e-51
ethyl_octanoate,0.52,2.2008103362585922e-33
ethyl_propionate,0.505,2.0656665919314487e-31
H2S,0.5125,2.176441618319111e-32
isoamyl_alcohol,0.3675,1.8507127818953243e-16
isobutanol,0.46,6.520765629420035e-26
isobutyl_acetate,0.56,5.30931362624084e-39
isopentyl_acetate,0.54,3.981156939946004e-36
MeSH,0.46,6.520765629420035e-26
octyl_acetate,0.54,3.981156939946004e-36
phenethyl_acetate,0.4575,1.2645074638258938e-25
phenethyl_alcohol,0.55,1.5112657010182154e-37
X4VG,0.68,2.5541441681987547e-59
SO2.mg.L.,0.4225,8.658641148527635e-22
acetic_acid.g.L.,0.465,1.7119792239056996e-26
ammonia.mg.L.,0.495,3.8967715307051046e-30
color.EBC.,0.53,9.718181314115777e-35
betaglucan.mg.L.,0.5575,1.2353721885733534e-38
lactic_acid.mg.L.,0.5975,9.157260623066063e-45
glycerol,0.46,6.520765629420035e-26
iron,0.5,9.052730306573787e-31
pH,0.505,2.0656665919314487e-31
protein.g.L.,0.48,2.794130891168041e-28
bitterness,0.485,6.845210352961305e-29
GFS,0.575,3.0148588943828963e-41
ethanol..v.v.,0.4525,4.695052729300754e-25
CO2.PSI.,0.55,1.5112657010182154e-37
unfermentables,0.55,1.5112657010182154e-37
kcalperc,0.5175,4.745692814799091e-33
X1.propanol,0.4275,2.5769036523328697e-22
X2.3.butanedione,,
X3.methylbutanal,,
propylene.glycol,0.7325,4.064611288094179e-70
propyl.acetate,0.54,3.981156939946004e-36
n.pentanol,0.395,5.08937988499931e-19
X2.methyl.1.butanol,0.4175,2.8622852178877623e-21
isopentyl.formate,0.39,1.5402477576918038e-18
ethyl.isobutyrate,0.5825,2.1226803579716186e-42
X3.methyl.2.butenal,0.505,2.0656665919314487e-31
X2.methyltetrahydrofuran.3.one,0.995,1.651943584645448e-160
ethyl.butyrate,0.5325,4.403164753757403e-35
butyl.acetate,0.505,2.0656665919314487e-31
methylpyrazine,,
furfural,0.695,2.848643980818446e-62
ethyl.lactate,0.765,1.6702601620320907e-77
X3Z.hexenol,0.73,1.4247853880211407e-69
n.hexanol,0.485,6.845210352961305e-29
styrene,0.56,5.30931362624084e-39
X2.furanmethanol,0.3475,1.0038973940978993e-14
X3.methyl.2.hexanol,0.495,3.8967715307051046e-30
X3.furanmethanol,0.505,2.0656665919314487e-31
X2.acetylfuran,0.315,3.9384822870007065e-12
X2.6.dimethyl.pyrazine,0.615,1.2534757390998926e-47
amyl.acetate,,
ethyl.tiglate,0.5675,4.091643386192516e-40
benzaldehyde,0.635,4.817407112692775e-51
X5.methylfurfural,0.595,2.299380579097812e-44
n.heptanol,0.4675,8.715851441599907e-27
X1.octen.3.ol,0.345,1.6256089732179386e-14
X3.methylthio.propanol,0.82,1.866110602923202e-91
isomaltol,0.7325,4.064611288094179e-70
X6.methyl.5.hepten.2.one,0.84,4.629182406629739e-97
X2.pentyl.furan,0.825,7.92460811104757e-93
ethyl.hex..3E..enoate,0.475,1.1207782114037702e-27
alpha.phellandrene,0.545,7.831498013049587e-37
dehydroxy.cis.linalool.oxide,0.58,5.166819091035238e-42
hexyl.acetate,0.59,1.4271793480745871e-43
isopentyl.butanoate,0.71,2.502180552311688e-65
X2.ethyl.1.hexanol,0.725,1.7124516048369574e-68
beta.phellandrene,0.605,5.603386130004486e-46
limonene,0.845,1.633807538740883e-98
eucalyptol,0.555,2.86041310015717e-38
benzyl.alcohol,0.66,1.5485427214371194e-55
ethyl.hex..2E..enoate,0.7725,2.714122128947595e-79
phenylacetaldehyde,0.5675,4.091643386192516e-40
X.E..beta.ocimene,0.635,4.817407112692775e-51
prenyl.isobutyrate,0.4425,6.1535403542660076e-24
ethyl.furoate,0.725,1.7124516048369574e-68
ortho.cresol,0.32,1.6375240283189414e-12
ethyl.5.methylhexanoate,0.5075,9.800781310234099e-32
X2.acetylpyrrole,0.275,2.5968656979457667e-09
isoamyl.lactate,0.45,8.989752509646755e-25
n.octanol,0.4425,6.1535403542660076e-24
cis.linalool.oxide,0.525,4.667935951317562e-34
meta.cymenene,0.775,6.757705169233303e-80
terpinolene,0.5325,4.403164753757403e-35
linalool,0.7225,5.87230741948718e-68
nonan.2.ol,0.555,2.86041310015717e-38
n.nonanal,0.61,8.471823541862297e-47
X2.methyl.benzofuran,0.57,1.7239809121288995e-40
heptyl.acetate,0.76,2.4963633983215136e-76
X4.methyl.1.pentanol,0.3625,5.139629942141412e-16
neo.allo.ocimene,0.75,5.056074181403401e-74
x.methyl.1.octanol,0.7175,6.758156357440741e-67
trans.dihydro.beta.terpineol,0.675,2.3395839594950903e-58
cis.beta.terpineol,0.635,4.817407112692775e-51
y.methyl.1.octanol,0.585,8.676032857240678e-43
camphor,0.76,2.4963633983215136e-76
isobutyl.hexanoate,0.335,1.0761614686706765e-13
nerol.oxide,0.3975,2.908168594274451e-19
X.E..2.nonenal,0.91,1.0932054406540306e-119
cis.dihydro.beta.terpineol,0.815,4.209061590359817e-90
X4.ethyl.phenol,0.52,2.2008103362585922e-33
isoborneol,0.495,3.8967715307051046e-30
ethyl.benzoate,0.45,8.989752509646755e-25
n.nonanol,0.275,2.5968656979457667e-09
terpinen.4.ol,0.38,1.3455433457331859e-17
diethyl.succinate,0.6,3.6276992678929345e-45
vinyl.caprylate,0.345,1.6256089732179386e-14
X1.alpha.terpineol,0.51,4.6290512300500326e-32
ethyl..E..linalool,0.5025,4.334086283842866e-31
ethyl.nicotinate,,
citronellol,0.5675,4.091643386192516e-40
nerol,0.3425,2.62237603073173e-14
hydroxy.methyl.furfural,0.315,3.9384822870007065e-12
E.ocimenone,0.4425,6.1535403542660076e-24
cumin.aldehyde,0.33,2.7069886059800647e-13
ethyl.phenylacetate,0.2525,6.65506930385444e-08
isopentyl.hexanoate,0.6975,8.9654835056829e-63
geraniol,0.57,1.7239809121288995e-40
beta.cyclohomocitral,0.6,3.6276992678929345e-45
E.cinnamaldehyde,0.7,2.802907618875752e-63
n.decanol,0.205,2.4395828839507186e-05
neryl.formate,0.6325,1.3129536852118503e-50
X4.ethyl.guaiacol,0.5325,4.403164753757403e-35
X2.undecanone,0.76,2.4963633983215136e-76
trans.dihydro.alpha.terpinyl.acetate,0.4625,3.348313960584187e-26
terpinen.4.ol.acetate,0.5125,2.176441618319111e-32
X2.undecanol,0.6575,4.4747531490913926e-55
delta.terpinyl.acetate,0.3725,6.561871032713085e-17
X.E.E..2.4.decadienal,0.735,1.1509479402487574e-70
methyl.geranate,0.4775,5.608264847321814e-28
car.3.en.2.one,0.37,1.104142253234075e-16
dimethoxy..E..citral,0.755,3.6104549893923376e-75
X2.butyloctanoate,0.695,2.848643980818446e-62
X4.methoxysalicylaldehyde,0.445,3.254503288984146e-24
ethyl.hydrocinnamate,0.2825,8.255587342932922e-10
eugenol,0.8925,1.6614188928922318e-113
gamma.nonalactone,0.975,5.8473863259336804e-148
methyl.para.anisate,0.59,1.4271793480745871e-43
X.E..beta.damascenone,0.9675,4.9232900891863624e-144
ethyl..9..decenoate,0.28,1.214004316129806e-09
vanillin,0.53,9.718181314115777e-35
geosmin,0.545,7.831498013049587e-37
dodecanal,0.41,1.6687787389791512e-20
X4.8.alpha.epoxy.caryophyllane,0.73,1.4247853880211407e-69
E.caryophyllene,0.925,2.378828526738835e-125
X.E..alpha.ionone,0.5325,4.403164753757403e-35
perillyl.acetate,0.4425,6.1535403542660076e-24
beta.humulene,0.72,1.999265602903121e-67
X2.phenyl.ethyl.butyrate,0.415,5.172471424333824e-21
X.Z..beta.farnesene,0.495,3.8967715307051046e-30
pentyl.octanoate,0.5525,6.590830573402916e-38
X.E..beta.farnesene,0.72,1.999265602903121e-67
X2.methylbutyl.octanoate,0.5025,4.334086283842866e-31
alpha.humulene,0.7975,1.6595459528904156e-85
neryl.propanoate,0.265,1.1379283602422221e-08
X9.epi..E..caryophyllene,0.38,1.3455433457331859e-17
ethyl..E..cinnamate,0.3275,4.2692017312252843e-13
linalool.isovalerate,0.77,1.0807167694948064e-78
alpha.terpinyl.isobutanoate,0.4975,1.882405282687646e-30
n.dodecanol,0.235,6.793365147692429e-07
germacrene.D,0.5475,3.4485737569435756e-37
X.E..beta.ionone,0.4875,3.365860681861523e-29
valencene,0.695,2.848643980818446e-62
neryl.isobutanoate,0.62,1.8145566299225125e-48
E.methyl.isoeugenol,0.62,1.8145566299225125e-48
X.Z..dihydro.apofarnesal,0.7725,2.714122128947595e-79
butylated.hydroxytoluene,0.635,4.817407112692775e-51
X.E..dihydro.apofarnesal,0.625,2.569453332465178e-49
Z.nerolidol,0.8525,9.86148196759608e-101
X.E..ortho.methoxy.cinnamaldehyde,0.74,9.022364037177608e-72
alpha.calacorene,0.2775,1.7787704842767737e-09
E.nerolidol,0.43,1.3971797968015688e-22
dihydroisocaryophyllene.epoxide,0.3425,2.62237603073173e-14
caryophyllene.alcohol,0.275,2.5968656979457667e-09
neryl.isovalerate,0.585,8.676032857240678e-43
spathulenol,0.7,2.802907618875752e-63
caryophyllene.oxide,0.7125,7.560119521506361e-66
humulene.epoxide.II,0.5625,2.270603854108765e-39
alloaromadendrene.epoxide,0.5525,6.590830573402916e-38
X1.10.di.epi.cubenol,0.5525,6.590830573402916e-38
isopropyl.laurate,0.315,3.9384822870007065e-12
caryophylla.4.12..8.13..dien.5.alpha.ol,0.71,2.502180552311688e-65
gamma.eudesmol,0.505,2.0656665919314487e-31
alpha.muurolol,0.8025,8.483407424138777e-87
X1.2.dihydro.8.hydroxy..2E..linalool,0.74,9.022364037177608e-72
tau.cadinol,0.5725,7.227566310950645e-41
selin.11.en.4.alpha.ol,0.55,1.5112657010182154e-37
alpha.eudesmol,0.68,2.5541441681987547e-59
X14.hydroxy.9.epi..E..caryophyllene,0.63,3.558145161282821e-50
tau.muurolol,0.8,3.770460285661491e-86
n.tetradecanol,0.765,1.6702601620320907e-77
foeniculin,0.615,1.2534757390998926e-47
cadalene,0.275,2.5968656979457667e-09
X2.3.dihydro.farnesol,0.6,3.6276992678929345e-45
X2E.6Z.farnesal,0.69,2.8193424169970363e-61
caryophyllene.acetate,0.595,2.299380579097812e-44
X14.hydroxy.alpha.humulene,0.69,2.8193424169970363e-61
X2Z.6E.farnesal,0.605,5.603386130004486e-46
X2Z.6Z.farnesol,0.64,6.375300242092356e-52
X2Z.6E.farnesol,0.7075,8.224306320636702e-65
ambroxide,0.3175,2.5442800223801305e-12
benzyl.benzoate,0.49,1.6477446235204806e-29
X2E.6E.methyl.farnesoate,0.7,2.802907618875752e-63
ethyl.tetradecanoate,0.565,9.662680163712028e-40
X2.ethylhexylsalicylate,0.69,2.8193424169970363e-61
isopropyl.tetradecanoate,0.7125,7.560119521506361e-66
ethyl.pentadecanoate,0.695,2.848643980818446e-62
methyl.hexadecanoate,0.5875,3.5279520042640636e-43
Z.Z.geranyl.linalool,0.6675,6.188263587147177e-57
ethyl.hexadecanoate,0.81,9.103498222529887e-89
manool.oxide,0.435,4.0569152225584435e-23
X13.epi.manool.oxide,0.7,2.802907618875752e-63
isopropyl.hexadecanoate,0.57,1.7239809121288995e-40
manool,0.465,1.7119792239056996e-26
ethyl.octadecanoate,0.5575,1.2353721885733534e-38
ethyl.pentanoate,0.4125,9.30947515015197e-21
X2.ethyl.3.methylpyrazine,0.71,2.502180552311688e-65
esters_sum,0.445,3.254503288984146e-24
aroma_hops_sum,,
acids_sum,0.5175,4.745692814799091e-33
sulfur_sum,0.49,1.6477446235204806e-29
