feature,ks_stat,p_value
acetaldehyde,0.045,0.9468003718156517
CS2,0.025,0.9999954890545343
DES,0.04,0.9817438034331898
DMS,0.0375,0.9910574454396103
ethyl_2.methyl_butyrate,0.04,0.9817438034331898
ethyl_acetate,0.0525,0.8503140351383752
ethyl_decanoate,0.03,0.9996962266099569
ethyl_hexanoate,0.0325,0.9987683191704525
ethyl_isovalerate,0.0525,0.8503140351383752
ethyl_octanoate,0.0375,0.9910574454396103
ethyl_propionate,0.0325,0.9987683191704525
H2S,0.04,0.9817438034331898
isoamyl_alcohol,0.03,0.9996962266099569
isobutanol,0.045,0.9468003718156517
isobutyl_acetate,0.035,0.9962936537490669
isopentyl_acetate,0.03,0.9996962266099569
MeSH,0.035,0.9962936537490669
octyl_acetate,0.03,0.9996962266099569
phenethyl_acetate,0.03,0.9996962266099569
phenethyl_alcohol,0.045,0.9468003718156517
X4VG,0.0275,0.9999503768313441
SO2.mg.L.,0.0475,0.9202562631263042
acetic_acid.g.L.,0.0475,0.9202562631263042
ammonia.mg.L.,0.055,0.8084857415008071
color.EBC.,0.0325,0.9987683191704525
betaglucan.mg.L.,0.0875,0.25438687552104255
lactic_acid.mg.L.,0.0225,0.9999998266852096
glycerol,0.04,0.9817438034331898
iron,0.0225,0.9999998266852096
pH,0.0225,0.9999998266852096
protein.g.L.,0.0375,0.9910574454396103
bitterness,0.0325,0.9987683191704525
GFS,0.0575,0.7634242438698546
ethanol..v.v.,0.0475,0.9202562631263042
CO2.PSI.,0.0375,0.9910574454396103
unfermentables,0.03,0.9996962266099569
kcalperc,0.03,0.9996962266099569
X1.propanol,0.055,0.8084857415008071
X2.3.butanedione,,
X3.methylbutanal,,
propylene.glycol,0.06,0.7161848267754904
propyl.acetate,0.055,0.8084857415008071
n.pentanol,0.0625,0.6677679087796531
X2.methyl.1.butanol,0.0375,0.9910574454396103
isopentyl.formate,0.0375,0.9910574454396103
ethyl.isobutyrate,,
X3.methyl.2.butenal,0.04,0.9817438034331898
X2.methyltetrahydrofuran.3.one,0.0275,0.9999503768313441
ethyl.butyrate,0.045,0.9468003718156517
butyl.acetate,0.0475,0.9202562631263042
methylpyrazine,,
furfural,,
ethyl.lactate,0.0175,0.9999999999978428
X3Z.hexenol,0.045,0.9468003718156517
n.hexanol,0.04,0.9817438034331898
styrene,0.0625,0.6677679087796531
X2.furanmethanol,0.035,0.9962936537490669
X3.methyl.2.hexanol,0.05,0.8878743387468179
X3.furanmethanol,0.05,0.8878743387468179
X2.acetylfuran,0.03,0.9996962266099569
X2.6.dimethyl.pyrazine,0.025,0.9999954890545343
amyl.acetate,,
ethyl.tiglate,0.035,0.9962936537490669
benzaldehyde,0.0325,0.9987683191704525
X5.methylfurfural,0.0375,0.9910574454396103
n.heptanol,0.07,0.5237842108066766
X1.octen.3.ol,0.025,0.9999954890545343
X3.methylthio.propanol,0.0475,0.9202562631263042
isomaltol,0.035,0.9962936537490669
X6.methyl.5.hepten.2.one,0.0275,0.9999503768313441
X2.pentyl.furan,0.0225,0.9999998266852096
ethyl.hex..3E..enoate,0.025,0.9999954890545343
alpha.phellandrene,0.035,0.9962936537490669
dehydroxy.cis.linalool.oxide,0.075,0.4348842202177677
hexyl.acetate,0.0225,0.9999998266852096
isopentyl.butanoate,0.04,0.9817438034331898
X2.ethyl.1.hexanol,0.04,0.9817438034331898
beta.phellandrene,0.0225,0.9999998266852096
limonene,0.0125,1.0
eucalyptol,0.0125,1.0
benzyl.alcohol,0.0375,0.9910574454396103
ethyl.hex..2E..enoate,0.06,0.7161848267754904
phenylacetaldehyde,,
X.E..beta.ocimene,0.0425,0.9672282978991504
prenyl.isobutyrate,0.055,0.8084857415008071
ethyl.furoate,0.0525,0.8503140351383752
ortho.cresol,0.03,0.9996962266099569
ethyl.5.methylhexanoate,0.09,0.22598532664631668
X2.acetylpyrrole,0.0325,0.9987683191704525
isoamyl.lactate,0.03,0.9996962266099569
n.octanol,0.06,0.7161848267754904
cis.linalool.oxide,0.0275,0.9999503768313441
meta.cymenene,0.0375,0.9910574454396103
terpinolene,0.055,0.8084857415008071
linalool,0.04,0.9817438034331898
nonan.2.ol,0.0425,0.9672282978991504
n.nonanal,0.03,0.9996962266099569
X2.methyl.benzofuran,0.0475,0.9202562631263042
heptyl.acetate,0.0475,0.9202562631263042
X4.methyl.1.pentanol,0.0625,0.6677679087796531
neo.allo.ocimene,0.0475,0.9202562631263042
x.methyl.1.octanol,0.0525,0.8503140351383752
trans.dihydro.beta.terpineol,0.045,0.9468003718156517
cis.beta.terpineol,0.65,1.0416327773836718e-53
y.methyl.1.octanol,0.0325,0.9987683191704525
camphor,0.05,0.8878743387468179
isobutyl.hexanoate,0.0425,0.9672282978991504
nerol.oxide,0.0475,0.9202562631263042
X.E..2.nonenal,0.04,0.9817438034331898
cis.dihydro.beta.terpineol,0.0225,0.9999998266852096
X4.ethyl.phenol,0.065,0.6190713161830892
isoborneol,0.0375,0.9910574454396103
ethyl.benzoate,0.045,0.9468003718156517
n.nonanol,0.09,0.22598532664631668
terpinen.4.ol,0.0325,0.9987683191704525
diethyl.succinate,0.0425,0.9672282978991504
vinyl.caprylate,0.0575,0.7634242438698546
X1.alpha.terpineol,0.0225,0.9999998266852096
ethyl..E..linalool,0.0675,0.5708652482410211
ethyl.nicotinate,,
citronellol,0.045,0.9468003718156517
nerol,0.035,0.9962936537490669
hydroxy.methyl.furfural,0.045,0.9468003718156517
E.ocimenone,0.0575,0.7634242438698546
cumin.aldehyde,0.045,0.9468003718156517
ethyl.phenylacetate,0.0475,0.9202562631263042
isopentyl.hexanoate,0.03,0.9996962266099569
geraniol,0.035,0.9962936537490669
beta.cyclohomocitral,0.065,0.6190713161830892
E.cinnamaldehyde,0.0375,0.9910574454396103
n.decanol,0.0525,0.8503140351383752
neryl.formate,0.055,0.8084857415008071
X4.ethyl.guaiacol,0.0475,0.9202562631263042
X2.undecanone,0.2425,2.5640206061354e-07
trans.dihydro.alpha.terpinyl.acetate,0.0375,0.9910574454396103
terpinen.4.ol.acetate,0.06,0.7161848267754904
X2.undecanol,0.055,0.8084857415008071
delta.terpinyl.acetate,0.0375,0.9910574454396103
X.E.E..2.4.decadienal,0.0325,0.9987683191704525
methyl.geranate,0.035,0.9962936537490669
car.3.en.2.one,0.0425,0.9672282978991504
dimethoxy..E..citral,0.0275,0.9999503768313441
X2.butyloctanoate,0.14,0.010328876010191355
X4.methoxysalicylaldehyde,0.0375,0.9910574454396103
ethyl.hydrocinnamate,0.0325,0.9987683191704525
eugenol,0.035,0.9962936537490669
gamma.nonalactone,0.0425,0.9672282978991504
methyl.para.anisate,0.055,0.8084857415008071
X.E..beta.damascenone,0.0475,0.9202562631263042
ethyl..9..decenoate,0.0375,0.9910574454396103
vanillin,0.0675,0.5708652482410211
geosmin,0.575,3.0148588943828963e-41
dodecanal,0.0425,0.9672282978991504
X4.8.alpha.epoxy.caryophyllane,0.035,0.9962936537490669
E.caryophyllene,0.03,0.9996962266099569
X.E..alpha.ionone,0.045,0.9468003718156517
perillyl.acetate,0.03,0.9996962266099569
beta.humulene,0.0325,0.9987683191704525
X2.phenyl.ethyl.butyrate,0.0325,0.9987683191704525
X.Z..beta.farnesene,0.04,0.9817438034331898
pentyl.octanoate,0.0275,0.9999503768313441
X.E..beta.farnesene,0.0375,0.9910574454396103
X2.methylbutyl.octanoate,0.0225,0.9999998266852096
alpha.humulene,0.04,0.9817438034331898
neryl.propanoate,0.06,0.7161848267754904
X9.epi..E..caryophyllene,0.065,0.6190713161830892
ethyl..E..cinnamate,0.035,0.9962936537490669
linalool.isovalerate,0.0525,0.8503140351383752
alpha.terpinyl.isobutanoate,0.04,0.9817438034331898
n.dodecanol,0.0625,0.6677679087796531
germacrene.D,0.095,0.17647045720826873
X.E..beta.ionone,0.045,0.9468003718156517
valencene,0.0275,0.9999503768313441
neryl.isobutanoate,0.04,0.9817438034331898
E.methyl.isoeugenol,0.05,0.8878743387468179
X.Z..dihydro.apofarnesal,0.0175,0.9999999999978428
butylated.hydroxytoluene,0.035,0.9962936537490669
X.E..dihydro.apofarnesal,0.0775,0.393718201317559
Z.nerolidol,0.025,0.9999954890545343
X.E..ortho.methoxy.cinnamaldehyde,0.06,0.7161848267754904
alpha.calacorene,0.05,0.8878743387468179
E.nerolidol,0.0375,0.9910574454396103
dihydroisocaryophyllene.epoxide,0.0375,0.9910574454396103
caryophyllene.alcohol,0.0425,0.9672282978991504
neryl.isovalerate,0.0575,0.7634242438698546
spathulenol,0.05,0.8878743387468179
caryophyllene.oxide,0.0575,0.7634242438698546
humulene.epoxide.II,0.045,0.9468003718156517
alloaromadendrene.epoxide,0.0675,0.5708652482410211
X1.10.di.epi.cubenol,0.0575,0.7634242438698546
isopropyl.laurate,0.0525,0.8503140351383752
caryophylla.4.12..8.13..dien.5.alpha.ol,0.0525,0.8503140351383752
gamma.eudesmol,0.03,0.9996962266099569
alpha.muurolol,0.03,0.9996962266099569
X1.2.dihydro.8.hydroxy..2E..linalool,0.0325,0.9987683191704525
tau.cadinol,0.04,0.9817438034331898
selin.11.en.4.alpha.ol,0.025,0.9999954890545343
alpha.eudesmol,0.0275,0.9999503768313441
X14.hydroxy.9.epi..E..caryophyllene,0.07,0.5237842108066766
tau.muurolol,0.255,4.708125094512707e-08
n.tetradecanol,0.065,0.6190713161830892
foeniculin,0.04,0.9817438034331898
cadalene,0.055,0.8084857415008071
X2.3.dihydro.farnesol,0.035,0.9962936537490669
X2E.6Z.farnesal,0.055,0.8084857415008071
caryophyllene.acetate,0.0675,0.5708652482410211
X14.hydroxy.alpha.humulene,0.0525,0.8503140351383752
X2Z.6E.farnesal,0.055,0.8084857415008071
X2Z.6Z.farnesol,0.035,0.9962936537490669
X2Z.6E.farnesol,0.0425,0.9672282978991504
ambroxide,0.045,0.9468003718156517
benzyl.benzoate,0.065,0.6190713161830892
X2E.6E.methyl.farnesoate,0.34,4.214337327417989e-14
ethyl.tetradecanoate,0.0275,0.9999503768313441
X2.ethylhexylsalicylate,0.055,0.8084857415008071
isopropyl.tetradecanoate,0.0725,0.47833041734593434
ethyl.pentadecanoate,0.03,0.9996962266099569
methyl.hexadecanoate,0.07,0.5237842108066766
Z.Z.geranyl.linalool,0.0375,0.9910574454396103
ethyl.hexadecanoate,0.045,0.9468003718156517
manool.oxide,0.0525,0.8503140351383752
X13.epi.manool.oxide,0.045,0.9468003718156517
isopropyl.hexadecanoate,0.0375,0.9910574454396103
manool,0.0625,0.6677679087796531
ethyl.octadecanoate,0.0525,0.8503140351383752
ethyl.pentanoate,0.035,0.9962936537490669
X2.ethyl.3.methylpyrazine,0.035,0.9962936537490669
esters_sum,0.04,0.9817438034331898
aroma_hops_sum,,
acids_sum,0.0375,0.9910574454396103
sulfur_sum,0.025,0.9999954890545343
