feature,ks_stat,p_value
acetaldehyde,0.0475,0.9202562631263042
CS2,0.035,0.9962936537490669
DES,0.025,0.9999954890545343
DMS,0.035,0.9962936537490669
ethyl_2.methyl_butyrate,0.03,0.9996962266099569
ethyl_acetate,0.0375,0.9910574454396103
ethyl_decanoate,0.0225,0.9999998266852096
ethyl_hexanoate,0.0275,0.9999503768313441
ethyl_isovalerate,0.0275,0.9999503768313441
ethyl_octanoate,0.03,0.9996962266099569
ethyl_propionate,0.04,0.9817438034331898
H2S,0.0425,0.9672282978991504
isoamyl_alcohol,0.04,0.9817438034331898
isobutanol,0.05,0.8878743387468179
isobutyl_acetate,0.03,0.9996962266099569
isopentyl_acetate,0.0375,0.9910574454396103
MeSH,0.045,0.9468003718156517
octyl_acetate,0.02,0.9999999982254489
phenethyl_acetate,0.0475,0.9202562631263042
phenethyl_alcohol,0.0475,0.9202562631263042
X4VG,0.0325,0.9987683191704525
SO2.mg.L.,0.0725,0.47833041734593434
acetic_acid.g.L.,0.0325,0.9987683191704525
ammonia.mg.L.,0.0375,0.9910574454396103
color.EBC.,0.04,0.9817438034331898
betaglucan.mg.L.,0.055,0.8084857415008071
lactic_acid.mg.L.,0.0275,0.9999503768313441
glycerol,0.05,0.8878743387468179
iron,0.03,0.9996962266099569
pH,0.0475,0.9202562631263042
protein.g.L.,0.0375,0.9910574454396103
bitterness,0.045,0.9468003718156517
GFS,0.0625,0.6677679087796531
ethanol..v.v.,0.045,0.9468003718156517
CO2.PSI.,0.045,0.9468003718156517
unfermentables,0.0325,0.9987683191704525
kcalperc,0.0425,0.9672282978991504
X1.propanol,0.0575,0.7634242438698546
X2.3.butanedione,,
X3.methylbutanal,,
propylene.glycol,0.025,0.9999954890545343
propyl.acetate,0.05,0.8878743387468179
n.pentanol,0.03,0.9996962266099569
X2.methyl.1.butanol,0.025,0.9999954890545343
isopentyl.formate,0.0525,0.8503140351383752
ethyl.isobutyrate,,
X3.methyl.2.butenal,0.0375,0.9910574454396103
X2.methyltetrahydrofuran.3.one,0.0375,0.9910574454396103
ethyl.butyrate,0.0325,0.9987683191704525
butyl.acetate,0.0275,0.9999503768313441
methylpyrazine,,
furfural,,
ethyl.lactate,0.0225,0.9999998266852096
X3Z.hexenol,0.065,0.6190713161830892
n.hexanol,0.0475,0.9202562631263042
styrene,0.0575,0.7634242438698546
X2.furanmethanol,0.04,0.9817438034331898
X3.methyl.2.hexanol,0.0375,0.9910574454396103
X3.furanmethanol,0.035,0.9962936537490669
X2.acetylfuran,0.0425,0.9672282978991504
X2.6.dimethyl.pyrazine,0.025,0.9999954890545343
amyl.acetate,,
ethyl.tiglate,0.04,0.9817438034331898
benzaldehyde,0.0275,0.9999503768313441
X5.methylfurfural,0.0325,0.9987683191704525
n.heptanol,0.05,0.8878743387468179
X1.octen.3.ol,0.0425,0.9672282978991504
X3.methylthio.propanol,0.04,0.9817438034331898
isomaltol,0.0325,0.9987683191704525
X6.methyl.5.hepten.2.one,0.025,0.9999954890545343
X2.pentyl.furan,0.03,0.9996962266099569
ethyl.hex..3E..enoate,0.0425,0.9672282978991504
alpha.phellandrene,0.015,1.0
dehydroxy.cis.linalool.oxide,0.0325,0.9987683191704525
hexyl.acetate,0.035,0.9962936537490669
isopentyl.butanoate,0.03,0.9996962266099569
X2.ethyl.1.hexanol,0.04,0.9817438034331898
