feature,ks_stat,p_value
A_malt_all,0.0675,0.5708652482410211
A_malt_grain,0.0325,0.9987683191704525
A_malt_bread,0.06,0.7161848267754904
A_malt_cara,0.0325,0.9987683191704525
A_malt_burn,0.035,0.9962936537490669
A_hops_all,0.035,0.9962936537490669
A_hops_citrus,0.0425,0.9672282978991504
A_hops_tropical,0.03,0.9996962266099569
A_hops_noble,0.055,0.8084857415008071
A_hops_woody,0.045,0.9468003718156517
A_esters_all,0.0275,0.9999503768313441
A_esters_ethac,0.06,0.7161848267754904
A_esters_isoaa,0.035,0.9962936537490669
A_esters_flower,0.0375,0.9910574454396103
A_esters_fruity,0.0425,0.9672282978991504
F_malt_all,0.0475,0.9202562631263042
F_malt_grain,0.0425,0.9672282978991504
F_malt_bread,0.055,0.8084857415008071
F_malt_cara,0.0325,0.9987683191704525
F_malt_burn,0.0375,0.9910574454396103
F_hops_all,0.0425,0.9672282978991504
F_hops_citrus,0.035,0.9962936537490669
F_hops_tropical,0.035,0.9962936537490669
F_hops_noble,0.0425,0.9672282978991504
F_hops_woody,0.0425,0.9672282978991504
F_esters_all,0.0275,0.9999503768313441
F_esters_ethac,0.0625,0.6677679087796531
F_esters_isoaa,0.03,0.9996962266099569
F_esters_flower,0.055,0.8084857415008071
F_esters_fruity,0.04,0.9817438034331898
acidity,0.03,0.9996962266099569
bitternes,0.04,0.9817438034331898
sweetness,0.0375,0.9910574454396103
X4vg,0.0325,0.9987683191704525
diacetyl,0.03,0.9996962266099569
dms,0.035,0.9962936537490669
metallic,0.0475,0.9202562631263042
stale_hops,0.04,0.9817438034331898
t2n,0.0325,0.9987683191704525
orange,0.0225,0.9999998266852096
coriander,0.035,0.9962936537490669
clove,0.0425,0.9672282978991504
lactic,0.0475,0.9202562631263042
acetic,0.0375,0.9910574454396103
barnyard,0.025,0.9999954890545343
alcohol,0.0475,0.9202562631263042
aftertaste,0.0475,0.9202562631263042
body,0.0375,0.9910574454396103
co2,0.0675,0.5708652482410211
overall,0.03,0.9996962266099569
