feature,ks_stat,p_value
A_malt_all,0.06,0.7161848267754904
A_malt_grain,0.0775,0.393718201317559
A_malt_bread,0.065,0.6190713161830892
A_malt_cara,0.1025,0.11866876494363714
A_malt_burn,0.1825,0.00025751020160872854
A_hops_all,0.0575,0.7634242438698546
A_hops_citrus,0.08,0.3550125902842471
A_hops_tropical,0.12,0.041750698523622023
A_hops_noble,0.0725,0.47833041734593434
A_hops_woody,0.0725,0.47833041734593434
A_esters_all,0.045,0.9468003718156517
A_esters_ethac,0.0525,0.8503140351383752
A_esters_isoaa,0.045,0.9468003718156517
A_esters_flower,0.0775,0.393718201317559
A_esters_fruity,0.06,0.7161848267754904
F_malt_all,0.05,0.8878743387468179
F_malt_grain,0.0625,0.6677679087796531
F_malt_bread,0.0575,0.7634242438698546
F_malt_cara,0.08,0.3550125902842471
F_malt_burn,0.1125,0.06666569367551337
F_hops_all,0.0725,0.47833041734593434
F_hops_citrus,0.075,0.4348842202177677
F_hops_tropical,0.185,0.00020094686161401939
F_hops_noble,0.05,0.8878743387468179
F_hops_woody,0.0975,0.15513592446070518
F_esters_all,0.06,0.7161848267754904
F_esters_ethac,0.06,0.7161848267754904
F_esters_isoaa,0.0675,0.5708652482410211
F_esters_flower,0.125,0.030049214777110294
F_esters_fruity,0.0525,0.8503140351383752
acidity,0.1525,0.003863813477929572
bitternes,0.0375,0.9910574454396103
sweetness,0.0475,0.9202562631263042
X4vg,0.13,0.02133663714307325
diacetyl,0.0625,0.6677679087796531
dms,0.04,0.9817438034331898
metallic,0.0575,0.7634242438698546
stale_hops,0.2025,3.214080470404362e-05
t2n,0.04,0.9817438034331898
orange,0.2475,1.3155963975113665e-07
coriander,0.3525,3.785111197453443e-15
clove,0.36,8.515654129464636e-16
lactic,0.355,2.310935718924183e-15
acetic,0.425,4.733282090658373e-22
barnyard,0.1975,5.520946369863485e-05
alcohol,0.0525,0.8503140351383752
aftertaste,0.06,0.7161848267754904
body,0.045,0.9468003718156517
co2,0.0575,0.7634242438698546
overall,0.0575,0.7634242438698546
