target,rmse,r2,model
A_hops_tropical,0.5638835051337607,-0.16186063597443567,PLSR
diacetyl,0.448103626297572,-0.1193284050362835,PLSR
F_hops_tropical,0.5339307701375666,-0.11626109738127854,PLSR
t2n,0.40115930255428367,-0.07462485524869389,PLSR
overall,0.5516474390022216,-0.07067270501753997,PLSR
A_esters_all,0.6509609963807241,-0.06228024908023877,PLSR
clove,0.42543529939300506,-0.018463298136578876,PLSR
barnyard,0.4666155244078703,-0.014279171287566061,PLSR
A_esters_ethac,0.4625254420197334,-0.011700655741396337,PLSR
dms,0.4978886076041756,-0.010537025520793497,PLSR
A_esters_isoaa,0.5397335423037353,-0.005499082700981317,PLSR
A_esters_flower,0.4308891840705376,0.0011356522469376795,PLSR
metallic,0.45479921405124807,0.003692826688779016,PLSR
F_hops_citrus,0.44963466061620755,0.0059978636487056924,PLSR
A_malt_burn,0.9330874189119414,0.008261884375596384,PLSR
F_malt_cara,0.5148443027123475,0.012894022433595831,PLSR
F_esters_flower,0.455934248199701,0.013626552050719831,PLSR
stale_hops,0.4585754823325143,0.017731689392295746,PLSR
F_esters_all,0.5603834178513488,0.018613623339344354,PLSR
F_malt_bread,0.4866612490218925,0.019353693228291502,PLSR
coriander,0.5603987692368857,0.020124597846114534,PLSR
A_hops_woody,0.40633166523877057,0.0291139800341903,PLSR
F_esters_ethac,0.47652737756792846,0.03106090290396779,PLSR
orange,0.5920622266196139,0.031069161901773445,PLSR
A_esters_fruity,0.5584999422370783,0.03489055865746715,PLSR
A_malt_bread,0.46636891369346234,0.0395798820096801,PLSR
X4vg,0.5560534498814167,0.05184824403653032,PLSR
F_esters_isoaa,0.5143845019303057,0.05549090765887488,PLSR
A_malt_cara,0.5809247107748368,0.06878293420672743,PLSR
F_malt_grain,0.4009719487519496,0.0709714649668185,PLSR
F_malt_burn,0.7979651540072096,0.09293916373709765,PLSR
A_malt_grain,0.4032636226279023,0.0935090650579038,PLSR
F_esters_fruity,0.5639202158273048,0.09477372555115715,PLSR
A_hops_citrus,0.4520842172668144,0.09786928288051988,PLSR
F_hops_woody,0.4078532867458451,0.11122082589079285,PLSR
A_malt_all,0.7449022201055747,0.14769409916530818,PLSR
sweetness,0.5884770546452902,0.1847969541136122,PLSR
F_malt_all,0.6608135734592184,0.19086560362648108,PLSR
F_hops_noble,0.5284915604643516,0.19877377817698827,PLSR
acetic,0.711049490233123,0.19964676085508937,PLSR
acidity,0.7984222748018037,0.20011304306899158,PLSR
A_hops_noble,0.47889869873773344,0.22066415291236718,PLSR
lactic,0.7573640452859531,0.2325790976282598,PLSR
F_hops_all,0.5513917310610165,0.2643797885240641,PLSR
A_hops_all,0.5545035055156,0.26885724644686504,PLSR
aftertaste,0.5585297600277361,0.27478491512012637,PLSR
co2,0.46363292686038804,0.3075959905045689,PLSR
body,0.46087251212157904,0.39146716815872706,PLSR
alcohol,0.5122750972710808,0.5119742223532415,PLSR
bitternes,0.5049369906249279,0.5690147993613588,PLSR
