feature_type,major_group,english_term,english_name,korean_name,meaning_flavor,meaning_source_type,meaning_source_detail,meaning_evidence_level,meaning_last_updated
chemical,효모(Yeast) / 알데하이드,acetaldehyde,acetaldehyde,acetaldehyde,"Green apple, paint 계열 향/풍미; 기원: Yeast, Aging; 분류: Aldehyde",paper,paper: Supplementary Table S1 (flavor fields),direct,2026-01-22
chemical,효모(Yeast) / 황(설퍼) 화합물,CS2,carbon disulfide,이황화탄소(CS₂),"향/풍미: 순수물질은 달콤한 에테르/클로로포름 유사 냄새(불순물 포함 시 악취) (sweet ether-like odor (pure CS2); foul sulfuric odor (impure)). 맥주에서 황계 휘발 성분으로, 존재 자체가 원치 않는 이취(설퍼/양배추류) 리스크 신호일 수 있음",webdb,web/DB: PubChem/NIOSH (CS2 sweet ether-like; reagent foul),direct,2026-01-22
chemical,효모(Yeast) / 황(설퍼) 화합물,DES,diethyl sulfide,디에틸 설파이드,cooked vegetables 계열 향/풍미; 기원: Yeast; 분류: Sulfur compound,paper,paper: Supplementary Table S1 (flavor fields),direct,2026-01-22
chemical,야생미생물/세균(Wild flora) / 황(설퍼) 화합물,DMS,dimethyl sulfide,디메틸 설파이드(DMS),"cooked vegetables, corn, garlic 계열 향/풍미; 기원: Bacteria, Aging; 분류: Sulfur compound",paper,paper: Supplementary Table S1 (flavor fields),direct,2026-01-22
chemical,효모(Yeast) / 에스터,ethyl_2.methyl_butyrate,ethyl 2-methylbutyrate,ethyl 2-methylbutyrate,"fruity, apple, sweet 계열 향/풍미; 기원: Yeast, Aging; 분류: Ester",paper,paper: Supplementary Table S1 (flavor fields),direct,2026-01-22
chemical,효모(Yeast) / 에스터,ethyl_acetate,ethyl acetate,에틸 아세테이트,"solvent, fruity, sweet 계열 향/풍미; 기원: Yeast; 분류: Ester; 대표 에스터(과일향↔용제감), 선호도 예측에서 중요 변수로 보고",paper,paper: Supplementary Table S1 (flavor fields),direct,2026-01-22
chemical,효모(Yeast) / 에스터,ethyl_decanoate,ethyl decanoate,ethyl decanoate,"caprylic, fruity, apple 계열 향/풍미; 기원: Yeast; 분류: Ester",paper,paper: Supplementary Table S1 (flavor fields),direct,2026-01-22
chemical,효모(Yeast) / 에스터,ethyl_hexanoate,ethyl hexanoate,에틸 헥사노에이트,"sour apple, aniseed, fruity, sweet 계열 향/풍미; 기원: Yeast; 분류: Ester",paper,paper: Supplementary Table S1 (flavor fields),direct,2026-01-22
chemical,효모(Yeast) / 에스터,ethyl_isovalerate,ethyl isovalerate,ethyl isovalerate,"fruity, apple, sweet 계열 향/풍미; 기원: Yeast, Aging; 분류: Ester",paper,paper: Supplementary Table S1 (flavor fields),direct,2026-01-22
chemical,효모(Yeast) / 에스터,ethyl_octanoate,ethyl octanoate,ethyl octanoate,"Apple, fruity 계열 향/풍미; 기원: Yeast; 분류: Ester",paper,paper: Supplementary Table S1 (flavor fields),direct,2026-01-22
