Chemical_Feature,Impact_+15%,Impact_-15%,Sensitivity,Rank
color.EBC.,0.15970169290261998,-0.16314110108325403,0.322842793985874,1
ethyl..E..linalool,-0.030653103931662384,0.033617772959116096,0.06427087689077848,2
protein.g.L.,0.02919505418787165,-0.02887253340886356,0.05806758759673521,3
pH,0.052935137576652,-0.0040608992155421655,0.056996036792194164,4
terpinen.4.ol,-0.01224503221836025,0.03741021676244035,0.0496552489808006,5
kcalperc,0.0328988702840457,-0.008535812066682533,0.04143468235072823,6
ethanol..v.v.,0.022216033395824647,-0.005599663860139651,0.0278156972559643,7
ethyl..9..decenoate,-0.00561690664480063,0.015321946335561049,0.020938852980361678,8
y.methyl.1.octanol,0.010806527364656576,-0.006270750539937826,0.0170772779045944,9
X.E..beta.ionone,-0.006620201529352665,0.009873636882995885,0.016493838412348548,10
ethyl.tiglate,0.011979529084484013,-0.0043986757669959905,0.016378204851480005,11
butylated.hydroxytoluene,0.013244939785010259,-0.00211034179363833,0.01535528157864859,12
n.dodecanol,-0.0026349910786143305,0.012552897569824575,0.015187888648438905,13
octyl_acetate,-0.005262472584809979,0.008700673510643644,0.013963146095453623,14
X2.acetylpyrrole,0.0113288003604031,-0.0026311307275878344,0.013959931087990934,15
X3.methyl.2.hexanol,0.007358319853108505,0.006543227650009762,0.013901547503118266,16
n.pentanol,-0.0014082007293574977,0.01187298727536067,0.013281188004718168,17
n.heptanol,0.010212265237556882,-0.0021222638484897412,0.012334529086046623,18
neryl.propanoate,-0.004021735854184994,0.006091116354931836,0.01011285220911683,19
alpha.calacorene,0.002343226925921502,0.007033519929596762,0.009376746855518264,20
ambroxide,-0.0018267968912575663,0.007311712119035804,0.00913850901029337,21
X2.phenyl.ethyl.butyrate,-0.0008684934480691164,0.00822810519202401,0.009096598640093127,22
DMS,-0.00636514404105319,0.0025063325010231553,0.008871476542076345,23
perillyl.acetate,-0.0021724006974259955,0.005994699459553015,0.00816710015697901,24
cumin.aldehyde,0.006229982708678342,0.0015730978062111487,0.007803080514889491,25
nerol,0.005526215580539007,-0.0020526403182349953,0.007578855898774002,26
unfermentables,0.005105012719654838,-0.0024176334388060724,0.00752264615846091,27
eucalyptol,-0.0037500835489681235,0.0035655097375232626,0.007315593286491387,28
spathulenol,-0.0010863867016894086,0.005950901743734131,0.00703728844542354,29
camphor,-0.003516157183891625,0.0034603266856394893,0.006976483869531114,30
X2.undecanol,0.00478628968624251,-0.0021207251590429944,0.006907014845285504,31
isoborneol,-0.0024911661791382185,0.004361595288920961,0.00685276146805918,32
X2.6.dimethyl.pyrazine,0.004273759938508504,-0.0023690545900467365,0.00664281452855524,33
tau.cadinol,0.003546271435653511,-0.002932187074161543,0.006478458509815054,34
acetaldehyde,0.003397628046077003,-0.0029869950194089125,0.006384623065485916,35
isomaltol,-0.004206844204900077,0.0020675473027736715,0.006274391507673749,36
X2E.6Z.farnesal,0.0032729297535572604,-0.0029335591449819996,0.00620648889853926,37
propyl.acetate,-0.001593323839796116,0.004480227499516633,0.006073551339312749,38
prenyl.isobutyrate,-0.003163532032075927,0.002865875443784241,0.006029407475860168,39
X.E..alpha.ionone,-0.0012130447990861596,0.004609360357766341,0.005822405156852501,40
X4.8.alpha.epoxy.caryophyllane,-0.0037676589132153294,0.0020017758533265,0.0057694347665418295,41
X2Z.6E.farnesol,0.0044516177392587486,-0.0011635318925074956,0.005615149631766244,42
vinyl.caprylate,0.0026120960808267047,-0.00284267952424724,0.005454775605073944,43
ethyl.hex..2E..enoate,-0.0029379722884893293,0.0024448795916987612,0.00538285188018809,44
X1.10.di.epi.cubenol,0.004873765549201004,-0.0003539719293983324,0.005227737478599336,45
car.3.en.2.one,-0.0012890485656199973,0.003888819045169758,0.005177867610789756,46
ethyl.benzoate,-0.001978281182661486,0.003199477874860004,0.00517775905752149,47
neryl.isovalerate,-0.0021651005676213237,0.002947298757036643,0.005112399324657967,48
delta.terpinyl.acetate,0.0020671323466718715,-0.002944407141443748,0.00501153948811562,49
germacrene.D,-0.0028848070391457336,0.002002371040384755,0.004887178079530489,50
X2.acetylfuran,0.004658731042248831,-0.00012616213857199514,0.004784893180820826,51
X2.furanmethanol,0.003346665189304009,0.0013182259301538015,0.004664891119457811,52
ethyl..E..cinnamate,-0.002741349421879746,0.001890958068280254,0.00463230749016,53
nerol.oxide,-0.0015786932958872476,0.002741591230830763,0.004320284526718011,54
linalool.isovalerate,-0.0017985518004297047,0.00247041208266892,0.004268963883098624,55
X4.ethyl.guaiacol,-0.002340838042783588,0.0019266027871047964,0.0042674408298883845,56
caryophyllene.alcohol,0.0031358759186365043,0.00109281765928126,0.004228693577917764,57
X1.propanol,-0.0022172947828434913,0.0019912134477492543,0.004208508230592746,58
x.methyl.1.octanol,-0.0006836892587049962,0.0033820874043277503,0.004065776663032747,59
benzyl.benzoate,0.0019559930364066243,-0.002096300805584497,0.004052293841991121,60
isobutanol,0.002889195500172503,-0.0010424034449979898,0.003931598945170493,61
X14.hydroxy.alpha.humulene,-0.0021228507446924842,0.0016375884910187616,0.0037604392357112456,62
E.ocimenone,-0.0014359775612761642,0.002244296824178335,0.0036802743854544994,63
lactic_acid.mg.L.,0.0014260448271478478,-0.0022087809449348288,0.003634825772082677,64
E.nerolidol,0.0026821790238522906,-0.0007044521313714506,0.003386631155223741,65
X4.methyl.1.pentanol,0.0006348519359966043,-0.0027131400135628025,0.0033479919495594066,66
phenethyl_alcohol,0.0014722073879042178,-0.001796807090356579,0.003269014478260797,67
X2Z.6Z.farnesol,0.0017366167650590008,-0.0014812786531259942,0.003217895418184995,68
ethyl.tetradecanoate,0.002689651451369104,-0.0004999475353324913,0.003189598986701595,69
