Pairing,Labeling,N_Aug,R2
random,linear,10,0.23593348032902792
random,linear,30,0.20753487036551563
random,linear,50,0.21716393890905142
random,linear,80,0.22469346469365462
random,linear,100,0.2385018822843802
random,linear,150,0.23438563787797606
random,linear,200,0.20781555656753184
random,linear,300,0.22718449409349553
random,teacher,10,0.2370265960583508
random,teacher,30,0.22964152393609047
random,teacher,50,0.23221370918960943
random,teacher,80,0.22339444788568227
random,teacher,100,0.22133746254664177
random,teacher,150,0.24693935866781264
random,teacher,200,0.22247489452997887
random,teacher,300,0.23284103695863373
knn,linear,10,0.23702513042421128
knn,linear,30,0.23916803037737352
knn,linear,50,0.2250862701483437
knn,linear,80,0.21614104117469796
knn,linear,100,0.2250694648847603
knn,linear,150,0.23536425508501072
knn,linear,200,0.21529634764989633
knn,linear,300,0.2313540256990513
knn,teacher,10,0.2334209969152839
knn,teacher,30,0.23335265456423598
knn,teacher,50,0.2338484247028308
knn,teacher,80,0.2308837644929759
knn,teacher,100,0.23231485307479183
knn,teacher,150,0.22902463024426178
knn,teacher,200,0.23039968180109496
knn,teacher,300,0.22402731171988768
style,linear,10,0.2289809609048089
style,linear,30,0.21703687887046189
style,linear,50,0.22648263185625897
style,linear,80,0.23391998393213137
style,linear,100,0.2183078180435384
style,linear,150,0.22989221816038338
style,linear,200,0.20375637697793303
style,linear,300,0.19906346532853256
style,teacher,10,0.23378161978790135
style,teacher,30,0.23302074884040078
style,teacher,50,0.23575101830855238
style,teacher,80,0.23377058449587834
style,teacher,100,0.23530447506326768
style,teacher,150,0.23545812814678554
style,teacher,200,0.21346423025474393
style,teacher,300,0.22496636166211062
