target,rmse,r2,model
clove,0.47098172676972755,-0.24820654465102088,Lasso+Interactions
A_esters_isoaa,0.5977697023654405,-0.2333622739855472,Lasso+Interactions
F_esters_isoaa,0.5861063199161274,-0.22626180568495524,Lasso+Interactions
F_esters_flower,0.4992646315899854,-0.18276521464761686,Lasso+Interactions
diacetyl,0.45435473560865364,-0.15077581444028887,Lasso+Interactions
A_hops_tropical,0.5565275551954261,-0.13174504368453932,Lasso+Interactions
A_esters_all,0.6713170835519578,-0.12975577399190574,Lasso+Interactions
A_esters_flower,0.4530098589846602,-0.10405481003347261,Lasso+Interactions
t2n,0.40410311042686614,-0.09045445874117775,Lasso+Interactions
orange,0.626226163006216,-0.0839780451761063,Lasso+Interactions
F_hops_tropical,0.5192066283269109,-0.055544011828638995,Lasso+Interactions
stale_hops,0.47311449862284555,-0.04554079956441415,Lasso+Interactions
F_malt_grain,0.42526599136975923,-0.04501464782468356,Lasso+Interactions
barnyard,0.47299334724155284,-0.04219552544242644,Lasso+Interactions
A_esters_fruity,0.5728468120840345,-0.015330191185303876,Lasso+Interactions
A_hops_woody,0.4133275675252856,-0.004605741677490283,Lasso+Interactions
F_esters_all,0.5651057020553418,0.0020038809999980423,Lasso+Interactions
overall,0.52946542688421,0.013700683765626831,Lasso+Interactions
dms,0.4867888027077524,0.03401804877408032,Lasso+Interactions
F_esters_fruity,0.575927188928723,0.05581523911538122,Lasso+Interactions
A_malt_bread,0.4616337416358324,0.058983693332751,Lasso+Interactions
sweetness,0.6283691015708254,0.0705278765107078,Lasso+Interactions
F_hops_citrus,0.4344591497737286,0.07196223429782111,Lasso+Interactions
A_malt_grain,0.40779605001089014,0.07301778760202748,Lasso+Interactions
A_esters_ethac,0.4355809207014004,0.10273965372207405,Lasso+Interactions
F_esters_ethac,0.4582833407410922,0.10383308372149946,Lasso+Interactions
F_hops_woody,0.4092870592915606,0.10496099139528148,Lasso+Interactions
A_hops_citrus,0.44930299010716124,0.1089349762393127,Lasso+Interactions
A_hops_noble,0.5028436080144638,0.14078231627780424,Lasso+Interactions
A_malt_burn,0.8674470478046798,0.14288660168657208,Lasso+Interactions
metallic,0.42070491725317505,0.14747127206111077,Lasso+Interactions
A_hops_all,0.5955500563573445,0.1566067360697888,Lasso+Interactions
F_malt_bread,0.4507974836990323,0.1585625629442301,Lasso+Interactions
coriander,0.5073648853173334,0.19681179346691802,Lasso+Interactions
X4vg,0.5112566683170315,0.19846453013657328,Lasso+Interactions
F_malt_cara,0.45677318361582364,0.22301406359310538,Lasso+Interactions
co2,0.4904143293921874,0.22529326170509423,Lasso+Interactions
F_hops_noble,0.5152894037585349,0.2383043682282795,Lasso+Interactions
F_hops_all,0.5426416276182482,0.28754183384239496,Lasso+Interactions
F_malt_burn,0.6945764512800546,0.3127596148020909,Lasso+Interactions
A_malt_cara,0.4793464515805223,0.36596934081768406,Lasso+Interactions
A_malt_all,0.6349249630473267,0.3807845802144981,Lasso+Interactions
F_malt_all,0.5463827588266257,0.4468324102678818,Lasso+Interactions
aftertaste,0.4861346789849678,0.45060158992189636,Lasso+Interactions
body,0.43629917523387507,0.45463007323524185,Lasso+Interactions
bitternes,0.5381233764421306,0.5105011231065575,Lasso+Interactions
alcohol,0.46929248711182336,0.590434396151575,Lasso+Interactions
lactic,0.5439983107466027,0.6040691351292953,Lasso+Interactions
acetic,0.47454274696101806,0.6435220038039201,Lasso+Interactions
acidity,0.5094146035865089,0.6743837220053905,Lasso+Interactions
