Beer_Index,Barcode,Name_English,Name_Korean,Tasting_Category_Fine,ABV,출처
10,5.41023E+12,Hoegaarden 0.0% (0.33l can),호가든 0.0% (330ml 캔),Low/No alcohol,-1.15490196,원본CSV:Final_250_Beer_Master_List_Ultimate; ExternalEANMatch:legisweb/bez-e.lv; OpenFoodFacts:suggests='Hoegaarden sans alcool'(score=28.57142857142857); Status:mismatch_confirmed
86,5.41078E+12,Palm 0.0% (alcohol-free),팜 0.0% (무알코올),Low/No alcohol,-0.978810701,원본CSV:Final_250_Beer_Master_List_Ultimate; ExternalEANMatch:bierothek/bierenborrels; OpenFoodFacts:suggests='Palm Na 25 CL Fles'(score=16.0); Status:mismatch_confirmed
2,5.41023E+12,Jupiler N.A. 0.0% (alcohol-free),주필러 0.0% (무알코올),Low/No alcohol,-0.474955193,원본CSV:Final_250_Beer_Master_List_Ultimate; ExternalEANMatch:nevejan/alsem; OpenFoodFacts:no_record; Status:mismatch_confirmed
83,54055520,Chimay Blue,시메이 블루,Low/No alcohol,-0.443697499,원본CSV:Final_250_Beer_Master_List_Ultimate; OpenFoodFacts:suggests='Maes alcoholvrij bier'(score=37.5)
40,5.41023E+12,Piedboeuf Blond 33cl (table beer 1.5%),피드뵈프 블론드 33cl (테이블 비어 1.5%),Low/No alcohol,0.021189299,원본CSV:Final_250_Beer_Master_List_Ultimate; ExternalEANMatch:solucious/snuffelstore/trendyfoods; OpenFoodFacts:suggests='Piedboeuf blonde'(score=30.769230769230774); Status:mismatch_confirmed
247,5.41108E+12,Leffe Brown,레페 브라운,Fruitbeer,0.498310554,원본CSV:Final_250_Beer_Master_List_Ultimate; OpenFoodFacts:no_record
48,8.71141E+12,Heineken,하이네켄,Dubbel,0.834420704,원본CSV:Final_250_Beer_Master_List_Ultimate; OpenFoodFacts:suggests='Dubbel Trappist 8711406995211 Starkbier'(score=12.765957446808514)
165,5.41108E+12,Leffe Blonde,레페 블론드,Fruitbeer,0.36361198,원본CSV:Final_250_Beer_Master_List_Ultimate; OpenFoodFacts:no_record
124,5.41219E+12,Duvel,듀벨,Pils/Lager,0.612783857,원본CSV:Final_250_Beer_Master_List_Ultimate; OpenFoodFacts:no_record
207,5.41122E+12,Lindemans Apple Lambic Beer,린데만스 Apple Lambic Beer,Fruitbeer,0.51851394,원본CSV:Final_250_Beer_Master_List_Ultimate; OpenFoodFacts:match(score=100.0)
