target,rmse,r2,model
A_hops_tropical,0.5732390803612899,-0.20073408164893092,AdaBoost
diacetyl,0.4508221479964812,-0.13295091846393237,AdaBoost
F_hops_tropical,0.5371586154968196,-0.12979846821229568,AdaBoost
t2n,0.40417919070991454,-0.09086509598373183,AdaBoost
F_malt_grain,0.4270797342552769,-0.05394755005077112,AdaBoost
A_malt_grain,0.4306118199694025,-0.033611337731152435,AdaBoost
A_esters_ethac,0.4575078040084562,0.01013084673944542,AdaBoost
A_hops_citrus,0.47242148078704194,0.014877921722766585,AdaBoost
clove,0.4178683759849231,0.017443912664377947,AdaBoost
F_hops_citrus,0.4464467915607497,0.020042668720492096,AdaBoost
F_esters_flower,0.4528800916393331,0.026797086772566203,AdaBoost
A_esters_flower,0.42470510802002465,0.02960110049054665,AdaBoost
barnyard,0.4543327515532387,0.03841599742305757,AdaBoost
dms,0.48231933549298,0.05167500534222913,AdaBoost
overall,0.5161639814828608,0.06263461912986812,AdaBoost
A_esters_fruity,0.5488561099641436,0.06793262746066975,AdaBoost
A_hops_woody,0.39773306308222783,0.06977008587914246,AdaBoost
A_esters_isoaa,0.518408082645551,0.07238793255807074,AdaBoost
stale_hops,0.4448896564714024,0.07548686111318825,AdaBoost
A_malt_bread,0.4502709313363217,0.10473855613308469,AdaBoost
A_hops_all,0.6126458290393962,0.10749111108037046,AdaBoost
F_hops_woody,0.4037756307018157,0.12890374818230654,AdaBoost
metallic,0.42429692207092623,0.13285123710615376,AdaBoost
F_esters_fruity,0.5516835651229537,0.13363297106881145,AdaBoost
A_esters_all,0.5840388395543983,0.1449084199430175,AdaBoost
orange,0.5488443974772975,0.16736139897804014,AdaBoost
coriander,0.5096439821800738,0.1895796999544076,AdaBoost
F_esters_ethac,0.43433219193175837,0.19505759709769643,AdaBoost
F_malt_bread,0.43580818959694373,0.21358889329483743,AdaBoost
F_esters_isoaa,0.46905308857440065,0.21462984628156823,AdaBoost
F_malt_cara,0.45890171239796496,0.21575579902567832,AdaBoost
A_malt_burn,0.8267696980334206,0.22138737901610295,AdaBoost
A_hops_noble,0.47239812580799245,0.2416779735491138,AdaBoost
F_hops_noble,0.5070789280500471,0.26238427218449156,AdaBoost
A_malt_cara,0.5060147317864478,0.293458709699962,AdaBoost
co2,0.45028967727781316,0.34687694743419795,AdaBoost
F_esters_all,0.4567910832808309,0.3479142510732287,AdaBoost
X4vg,0.4604659990707326,0.3498105637100982,AdaBoost
F_hops_all,0.5105947058012155,0.3692085905853003,AdaBoost
A_malt_all,0.6244133367367226,0.40111794643954624,AdaBoost
F_malt_burn,0.6452797816947139,0.406849804338167,AdaBoost
F_malt_all,0.5593153923308269,0.42033604469596253,AdaBoost
aftertaste,0.4903922466202693,0.44093618683805724,AdaBoost
sweetness,0.466985307120714,0.4866504817428715,AdaBoost
body,0.4070135435239438,0.5253864602728586,AdaBoost
lactic,0.5334460593075803,0.6192803619944327,AdaBoost
bitternes,0.469104504980115,0.6280134904999728,AdaBoost
acetic,0.4530398577116629,0.6750961388207761,AdaBoost
acidity,0.4490295523364697,0.7470042795353944,AdaBoost
alcohol,0.366091669311235,0.7507610196633221,AdaBoost
