target,rmse,r2,model
barnyard,0.6037660265405971,-0.6981516971080548,Linear+Interactions
dms,0.6441775494167308,-0.6916052410824416,Linear+Interactions
stale_hops,0.5903840643954009,-0.6280874302225623,Linear+Interactions
diacetyl,0.5303241172326767,-0.5677736592101921,Linear+Interactions
A_hops_tropical,0.6288940034822911,-0.4452073582705398,Linear+Interactions
A_malt_cara,0.7074822442105557,-0.3811546664216534,Linear+Interactions
A_malt_all,0.9352110934543301,-0.34343375917917274,Linear+Interactions
A_malt_bread,0.5308906194391388,-0.2445494672892765,Linear+Interactions
overall,0.5872119509603345,-0.21317454725648388,Linear+Interactions
F_hops_citrus,0.49521574173898,-0.20574824024333305,Linear+Interactions
F_malt_cara,0.5657969505508994,-0.1921562071434093,Linear+Interactions
F_hops_tropical,0.5491332793218773,-0.18073223073615896,Linear+Interactions
A_esters_flower,0.46819160865896714,-0.17929532755043365,Linear+Interactions
A_malt_burn,1.0077545313518985,-0.15680952695928618,Linear+Interactions
A_hops_all,0.6959283893395781,-0.1516557873268083,Linear+Interactions
t2n,0.4024124040810662,-0.08134895337006465,Linear+Interactions
A_hops_citrus,0.49481904439388985,-0.08074588796295346,Linear+Interactions
A_esters_fruity,0.5903439547779785,-0.07830232054979547,Linear+Interactions
F_malt_all,0.7550523677495697,-0.056372047702606176,Linear+Interactions
A_hops_woody,0.42170742538063605,-0.04575369503409221,Linear+Interactions
co2,0.5654822747299532,-0.030027983014143222,Linear+Interactions
A_esters_ethac,0.46524366609650564,-0.023626961531302504,Linear+Interactions
metallic,0.46035940972848144,-0.02081700328319558,Linear+Interactions
A_hops_noble,0.5473103890397062,-0.017899082615104422,Linear+Interactions
F_malt_burn,0.8439368354727663,-0.014585026472846652,Linear+Interactions
F_hops_woody,0.43535444113062505,-0.012679211923040778,Linear+Interactions
F_malt_grain,0.4159332579145533,0.00034908771221153767,Linear+Interactions
X4vg,0.570759164550152,0.001034334512995283,Linear+Interactions
A_malt_grain,0.4228896852493354,0.003127637347979939,Linear+Interactions
F_esters_fruity,0.5797757723333271,0.04315421160852051,Linear+Interactions
A_esters_isoaa,0.5208929161056347,0.06347416114561388,Linear+Interactions
orange,0.5794844616280697,0.07179979370183831,Linear+Interactions
F_esters_flower,0.44183136590623423,0.07370349001102872,Linear+Interactions
F_esters_ethac,0.46274039138683287,0.08631691352648863,Linear+Interactions
clove,0.40210667102210673,0.09016865150916731,Linear+Interactions
coriander,0.5214883849786257,0.15147275805199334,Linear+Interactions
F_esters_isoaa,0.48522990445329994,0.15952362658563057,Linear+Interactions
F_hops_noble,0.5401805865006569,0.16293923621630169,Linear+Interactions
F_malt_bread,0.4483386115068382,0.16771675990008816,Linear+Interactions
F_hops_all,0.5852023812655335,0.171399245121599,Linear+Interactions
body,0.5377647400938925,0.17147226995002718,Linear+Interactions
sweetness,0.5929512826371321,0.17235375015203114,Linear+Interactions
A_esters_all,0.5684209720537854,0.1900292099499843,Linear+Interactions
aftertaste,0.5549578238719095,0.2840311145964428,Linear+Interactions
F_esters_all,0.47340708822891575,0.29961153323016965,Linear+Interactions
alcohol,0.5813486016193264,0.37149384149558884,Linear+Interactions
bitternes,0.5852655846081916,0.4209794777000383,Linear+Interactions
lactic,0.6450833955578656,0.4432554389996771,Linear+Interactions
acetic,0.5728409971738896,0.4805422473787253,Linear+Interactions
acidity,0.6145522112459398,0.5261063413678283,Linear+Interactions
