STANDARDIZE_BEFORE_PCA=True
n_train=175, p=231
eig_tol=1e-12
kept=174, dropped=57

PC_index	Eigenvalue	EVR(%)	Kept
1	3.327655e+01	14.32311563	True
2	1.899338e+01	8.17525669	True
3	1.354519e+01	5.83021369	True
4	1.133181e+01	4.87751170	True
5	9.454387e+00	4.06942078	True
6	7.286405e+00	3.13626318	True
7	6.841401e+00	2.94472196	True
8	5.894339e+00	2.53708097	True
9	5.489573e+00	2.36285874	True
10	4.832061e+00	2.07984822	True
11	4.383315e+00	1.88669574	True
12	3.702816e+00	1.59379101	True
13	3.637239e+00	1.56556480	True
14	3.320519e+00	1.42924013	True
15	3.099575e+00	1.33413992	True
16	2.994484e+00	1.28890609	True
17	2.835193e+00	1.22034299	True
18	2.811989e+00	1.21035501	True
19	2.642787e+00	1.13752623	True
20	2.517462e+00	1.08358283	True
21	2.355795e+00	1.01399723	True
22	2.327653e+00	1.00188419	True
23	2.251927e+00	0.96928944	True
24	2.140928e+00	0.92151246	True
25	2.061995e+00	0.88753788	True
26	2.019090e+00	0.86907048	True
27	1.938382e+00	0.83433131	True
28	1.935543e+00	0.83310921	True
29	1.845628e+00	0.79440763	True
30	1.795456e+00	0.77281202	True
31	1.766951e+00	0.76054311	True
32	1.713081e+00	0.73735569	True
33	1.594190e+00	0.68618200	True
34	1.580583e+00	0.68032498	True
35	1.499151e+00	0.64527454	True
36	1.448716e+00	0.62356615	True
37	1.434882e+00	0.61761138	True
38	1.404666e+00	0.60460558	True
39	1.381962e+00	0.59483350	True
40	1.318496e+00	0.56751607	True
41	1.276949e+00	0.54963302	True
42	1.255720e+00	0.54049561	True
43	1.205285e+00	0.51878682	True
44	1.155571e+00	0.49738863	True
45	1.135952e+00	0.48894404	True
46	1.126327e+00	0.48480113	True
47	1.101344e+00	0.47404785	True
48	1.072255e+00	0.46152741	True
49	1.056236e+00	0.45463224	True
50	1.029669e+00	0.44319712	True
51	9.645910e-01	0.41518574	True
52	9.382036e-01	0.40382789	True
53	9.326341e-01	0.40143064	True
54	9.190804e-01	0.39559677	True
55	9.084065e-01	0.39100243	True
56	8.711000e-01	0.37494473	True
57	8.445874e-01	0.36353300	True
58	8.337089e-01	0.35885060	True
59	8.213599e-01	0.35353523	True
60	7.889343e-01	0.33957839	True
61	7.706106e-01	0.33169141	True
62	7.555738e-01	0.32521917	True
63	7.347752e-01	0.31626689	True
64	7.082874e-01	0.30486584	True
65	6.880202e-01	0.29614229	True
66	6.772017e-01	0.29148569	True
67	6.634922e-01	0.28558476	True
68	6.409585e-01	0.27588567	True
69	6.285797e-01	0.27055749	True
70	6.176097e-01	0.26583569	True
71	6.014009e-01	0.25885899	True
72	5.957018e-01	0.25640596	True
73	5.806786e-01	0.24993959	True
74	5.732858e-01	0.24675753	True
75	5.611255e-01	0.24152339	True
76	5.379049e-01	0.23152864	True
77	5.255443e-01	0.22620831	True
78	5.116066e-01	0.22020915	True
79	5.067088e-01	0.21810102	True
80	4.925311e-01	0.21199854	True
81	4.790884e-01	0.20621245	True
82	4.652817e-01	0.20026969	True
83	4.554723e-01	0.19604744	True
84	4.505379e-01	0.19392354	True
85	4.367459e-01	0.18798712	True
86	4.153328e-01	0.17877033	True
87	3.998731e-01	0.17211607	True
88	3.987069e-01	0.17161412	True
89	3.941756e-01	0.16966370	True
90	3.772977e-01	0.16239903	True
91	3.719440e-01	0.16009463	True
92	3.566891e-01	0.15352853	True
93	3.431825e-01	0.14771491	True
94	3.391833e-01	0.14599355	True
95	3.314331e-01	0.14265765	True
96	3.245381e-01	0.13968985	True
97	3.149723e-01	0.13557251	True
98	3.072162e-01	0.13223406	True
99	2.937061e-01	0.12641894	True
100	2.802190e-01	0.12061373	True
101	2.742508e-01	0.11804489	True
102	2.652166e-01	0.11415632	True
103	2.611534e-01	0.11240740	True
104	2.557123e-01	0.11006541	True
105	2.424908e-01	0.10437453	True
106	2.370213e-01	0.10202032	True
107	2.348124e-01	0.10106952	True
108	2.272527e-01	0.09781562	True
109	2.203106e-01	0.09482759	True
110	2.193434e-01	0.09441128	True
111	2.147940e-01	0.09245305	True
112	2.049421e-01	0.08821254	True
113	1.983147e-01	0.08535996	True
114	1.834729e-01	0.07897163	True
115	1.812286e-01	0.07800564	True
116	1.774359e-01	0.07637316	True
117	1.710778e-01	0.07363646	True
118	1.670121e-01	0.07188646	True
119	1.592814e-01	0.06855898	True
120	1.515183e-01	0.06521751	True
121	1.487904e-01	0.06404338	True
122	1.454236e-01	0.06259420	True
123	1.413084e-01	0.06082291	True
124	1.410636e-01	0.06071753	True
125	1.371376e-01	0.05902770	True
126	1.278634e-01	0.05503584	True
127	1.249750e-01	0.05379256	True
128	1.174645e-01	0.05055986	True
129	1.140262e-01	0.04907993	True
130	1.079223e-01	0.04645264	True
131	1.013109e-01	0.04360690	True
132	9.946260e-02	0.04281136	True
133	9.510191e-02	0.04093440	True
134	9.004705e-02	0.03875866	True
135	8.574241e-02	0.03690583	True
136	8.230575e-02	0.03542659	True
137	7.819934e-02	0.03365909	True
138	7.647389e-02	0.03291640	True
139	7.169666e-02	0.03086016	True
140	6.973319e-02	0.03001503	True
141	6.592911e-02	0.02837765	True
142	6.277938e-02	0.02702192	True
143	6.161447e-02	0.02652052	True
144	5.890951e-02	0.02535623	True
145	5.839559e-02	0.02513502	True
146	5.309749e-02	0.02285458	True
147	5.099332e-02	0.02194889	True
148	4.849899e-02	0.02087526	True
149	4.784399e-02	0.02059333	True
150	4.610351e-02	0.01984418	True
151	4.404679e-02	0.01895892	True
152	4.275225e-02	0.01840171	True
153	3.823762e-02	0.01645849	True
154	3.748487e-02	0.01613449	True
155	3.339869e-02	0.01437569	True
156	3.232959e-02	0.01391552	True
157	3.079166e-02	0.01325355	True
158	2.852410e-02	0.01227753	True
159	2.724613e-02	0.01172746	True
160	2.420073e-02	0.01041664	True
161	2.305317e-02	0.00992270	True
162	1.963328e-02	0.00845069	True
163	1.810028e-02	0.00779084	True
164	1.752436e-02	0.00754295	True
165	1.551437e-02	0.00667780	True
166	1.465334e-02	0.00630719	True
167	1.330567e-02	0.00572712	True
168	1.119074e-02	0.00481679	True
169	1.040786e-02	0.00447982	True
170	9.996245e-03	0.00430265	True
171	8.967459e-03	0.00385983	True
172	7.013486e-03	0.00301879	True
173	6.463419e-03	0.00278203	True
174	5.240464e-03	0.00225564	True
175	2.068065e-15	0.00000000	False
176	1.935896e-15	0.00000000	False
177	1.494194e-15	0.00000000	False
178	1.467360e-15	0.00000000	False
179	1.307815e-15	0.00000000	False
180	1.136150e-15	0.00000000	False
181	1.058879e-15	0.00000000	False
182	1.032797e-15	0.00000000	False
183	1.025875e-15	0.00000000	False
184	9.345836e-16	0.00000000	False
185	8.318287e-16	0.00000000	False
186	7.886184e-16	0.00000000	False
187	7.257562e-16	0.00000000	False
188	6.698971e-16	0.00000000	False
189	6.357224e-16	0.00000000	False
