beer,beer_id,tasting_category_fine,part,fold
233,5413023000264,Scotch,fold_train,4
123,5425026960018,Stout/Porter,fold_train,4
168,5410263060034,Scotch,fold_train,4
187,5425017240075,Dubbel,fold_train,4
12,5410228141587,Lambic,fold_train,4
89,5412983140027,Brown,fold_train,4
13,5410228196600,Christmas,fold_train,4
241,608782666133,Kriek,fold_train,4
53,5411681037004,Brown,fold_train,4
162,5425018070015,Lambic,fold_train,4
219,5411681401775,Hoppy,fold_train,4
60,5425029020078,Christmas,fold_train,4
65,5411283000017,Hoppy,fold_train,4
177,5425100322608,Fruitbeer,fold_train,4
226,5412186000715,Strong ale,fold_train,4
75,5412783052018,Lambic,fold_train,4
181,5412896532032,Christmas,fold_train,4
209,54085107,Pils/Lager,fold_train,4
239,54055049,Tripel,fold_train,4
182,5425028290311,Stout/Porter,fold_train,4
142,54112087,Wheat,fold_train,4
104,5412858000081,Strong ale,fold_train,4
199,5411858000145,Tripel,fold_train,4
185,54055001,Pils/Lager,fold_train,4
163,5425017240457,Tripel,fold_train,4
245,5412186000098,Tripel,fold_train,4
56,5413963600012,Saison,fold_train,4
40,5410228141181,Low/No alcohol,fold_train,4
99,5413970140396,Strong ale,fold_train,4
84,5411516000517,West Flanders ale,fold_train,4
78,5425006240017,Brown,fold_train,4
32,54050051,Amber,fold_train,4
234,5425029490024,Blond,fold_train,4
106,5413977000044,Christmas,fold_train,4
124,5412186002658,Pils/Lager,fold_train,4
191,5411098700010,Tripel,fold_train,4
190,875213000068,Flanders old brown,fold_train,4
100,875213000082,Dubbel,fold_train,4
204,5425006240024,Tripel,fold_train,4
73,5410769100081,Blond,fold_train,4
149,5425031010012,Blond,fold_train,4
179,5411081004736,Flanders old brown,fold_train,4
218,54057142,Pils/Lager,fold_train,4
151,5411516001491,Faro,fold_train,4
62,5410228134879,Blond,fold_train,4
141,5410228141174,Low/No alcohol,fold_train,4
76,5412583240837,Blond,fold_train,4
111,5411276100540,Dubbel,fold_train,4
82,5411516002269,Kriek,fold_train,4
128,5425014681017,Amber,fold_train,4
27,5425036850019,Hoppy,fold_train,4
92,9120041150685,Amber,fold_train,4
57,5410228141921,Tripel,fold_train,4
51,5411081000523,Strong ale,fold_train,4
229,62067029172,Wheat,fold_train,4
137,54057012,Amber,fold_train,4
119,5411831000742,Pils/Lager,fold_train,4
5,5400000000006,Blond,fold_train,4
131,5410769200088,Scotch,fold_train,4
96,5411681080000,Pils/Lager,fold_train,4
71,5410228218791,Blond,fold_train,4
1,5413970150111,Brut,fold_train,4
31,5411681401164,Hoppy,fold_train,4
86,5410783031019,Low/No alcohol,fold_train,4
165,5411081000363,Fruitbeer,fold_train,4
220,5412783053015,Kriek,fold_train,4
215,5413963100017,Blond,fold_train,4
4,54079021,Strong ale,fold_train,4
55,5425023990698,Hoppy,fold_train,4
127,54138278,Blond,fold_train,4
222,5425029490055,Brett/cofermented,fold_train,4
16,5411098700003,Dubbel,fold_train,4
45,5412343201337,Tripel,fold_train,4
212,5425006700054,Stout/Porter,fold_train,4
164,5425007658828,Blond,fold_train,4
154,5425029490017,Tripel,fold_train,4
101,5425036450004,Blond,fold_train,4
33,5425005660465,Fruitbeer,fold_train,4
217,5425006241687,Tripel,fold_train,4
138,5411223010557,Kriek,fold_train,4
246,5410783001432,Blond,fold_train,4
10,5410228202929,Low/No alcohol,fold_train,4
15,54079045,Tripel,fold_train,4
18,1882,Lambic,fold_train,4
118,5411364151119,West Flanders ale,fold_train,4
46,5411276200325,Blond,fold_train,4
147,5412107000466,Tripel,fold_train,4
173,5425005660809,Stout/Porter,fold_train,4
214,5425006240147,Christmas,fold_train,4
54,549619093094,Kriek,fold_train,4
192,5410693100324,Brut,fold_train,4
144,5411516002306,Lambic,fold_train,4
87,5412896001507,Stout/Porter,fold_train,4
39,5430000193009,Hoppy,fold_train,4
120,850413005204,Hoppy,fold_train,4
52,8715951011112,Stout/Porter,fold_train,4
77,8711406023563,Blond,fold_train,4
79,5425029020054,Hoppy,fold_train,4
183,5410702000805,Saison,fold_train,4
244,5413784109060,West Flanders ale,fold_train,4
17,5425014687019,Tripel,fold_train,4
170,5411663002716,Strong ale,fold_train,4
20,5425005660205,Saison,fold_train,4
34,5411681038001,Tripel,fold_train,4
238,5412896000432,Blond,fold_train,4
223,5410228231325,Low/No alcohol,fold_train,4
72,54121096,Hoppy,fold_train,4
6,8711406031766,Amber,fold_train,4
24,5411656050212,Kriek,fold_train,4
116,5411656051097,Lambic,fold_train,4
136,54085176,Blond,fold_train,4
3,54055308,Blond,fold_train,4
23,5411681014005,Tripel,fold_train,4
152,5410702001307,Wheat,fold_train,4
150,5425024150275,Brett/cofermented,fold_train,4
178,620670293948,West Flanders ale,fold_train,4
28,5425036580008,Pils/Lager,fold_train,4
172,5411681400310,Wheat,fold_train,4
248,5410263015669,Blond,fold_train,4
69,5411081000332,Tripel,fold_train,4
115,5411516001453,Lambic,fold_train,4
188,8711406017487,Stout/Porter,fold_train,4
44,5411633250055,Wheat,fold_train,4
132,5410702000379,Saison,fold_train,4
37,5410908000036,Strong ale,fold_train,4
196,5411551300818,Strong ale,fold_train,4
169,5411676710004,Hoppy,fold_train,4
67,5425026610197,Stout/Porter,fold_train,4
171,5425033240028,Tripel,fold_train,4
158,54107014,Amber,fold_train,4
129,5410228146162,Brown,fold_train,4
186,112161945,Strong ale,fold_train,4
203,5425017241164,Brett/cofermented,fold_train,4
21,5412783052247,Lambic,fold_train,4
206,54085015,Brown,fold_train,4
130,5425025910410,Brut,fold_train,4
155,5410228188704,Low/No alcohol,fold_train,4
153,5425007810806,Kriek,fold_train,4
161,5411686700057,Flanders old brown,fold_train,4
197,5412896000111,Wheat,fold_train,4
225,5411663002600,Strong ale,fold_train,4
30,5430000043014,Blond,fold_train,4
122,5425029020191,Brett/cofermented,fold_train,4
126,54085060,Amber,fold_train,4
139,5410228142027,Pils/Lager,fold_train,4
38,541286000975,Christmas,fold_train,4
148,5400000000012,Strong ale,fold_train,4
195,8711406995631,Wheat,fold_train,4
8,5425006241304,Hoppy,fold_train,4
235,5412858000104,Strong ale,fold_train,4
108,5425007658880,Brown,fold_train,4
247,5411081000264,Fruitbeer,fold_train,4
157,5425024150107,Tripel,fold_train,4
174,5412583240356,Dubbel,fold_train,4
198,54079007,Dubbel,fold_train,4
85,54112018,Tripel,fold_train,4
249,9120041150784,Blond,fold_train,4
93,5425006700139,Tripel,fold_val,4
227,5411223030098,Fruitbeer,fold_val,4
11,8718754310017,Amber,fold_val,4
80,5415152000313,Hoppy,fold_val,4
133,5412896000081,Strong ale,fold_val,4
107,5412343152332,Dubbel,fold_val,4
35,8711406995075,Blond,fold_val,4
208,54079052,Wheat,fold_val,4
74,5412783054012,Faro,fold_val,4
200,54125001,West Flanders ale,fold_val,4
201,741360987296,Stout/Porter,fold_val,4
207,5411223030036,Fruitbeer,fold_val,4
7,5425025910809,Saison,fold_val,4
58,5425024151210,Saison,fold_val,4
145,5415152000450,Saison,fold_val,4
36,5412896000074,Brown,fold_val,4
98,54055315,Brown,fold_val,4
110,5411098730291,Blond,fold_val,4
250,5411223030067,Faro,outer_test,4
9,5411081005368,Hoppy,outer_test,4
228,5411663002945,Tripel,outer_test,4
14,54040014,Brett/cofermented,outer_test,4
180,5411633330047,Christmas,outer_test,4
42,5411024000047,Lambic,outer_test,4
114,5410769300085,Hoppy,outer_test,4
70,54085190,Blond,outer_test,4
243,5412138802510,Wheat,outer_test,4
88,5411081003654,Kriek,outer_test,4
193,5411098700034,Blond,outer_test,4
117,9120041150678,Strong ale,outer_test,4
160,54055438,Wheat,outer_test,4
236,54107052,Brett/cofermented,outer_test,4
134,54004238,Strong ale,outer_test,4
66,5413977000037,Tripel,outer_test,4
41,5411656010315,Lambic,outer_test,4
68,9999999999,Tripel,outer_test,4
47,5412583240363,Tripel,outer_test,4
113,5425006700016,Blond,outer_test,4
83,54055520,Low/No alcohol,outer_test,4
43,5041300503,Amber,outer_test,4
156,5410228193371,Kriek,outer_test,4
90,54017016,Pils/Lager,outer_test,4
109,5412858000067,Brown,outer_test,4
64,5410908000128,Blond,outer_test,4
242,5412138333311,Saison,outer_test,4
230,5410228141235,Pils/Lager,outer_test,4
112,5410908000012,Brown,outer_test,4
143,5410228225928,Hoppy,outer_test,4
