beer,beer_id,tasting_category_fine,split,repeat,random_state
126,54085060,Amber,test,8,20260235
43,5041300503,Amber,test,8,20260235
210,5413982001005,Amber,test,8,20260235
11,8718754310017,Amber,test,8,20260235
62,5410228134879,Blond,test,8,20260235
73,5410769100081,Blond,test,8,20260235
46,5411276200325,Blond,test,8,20260235
76,5412583240837,Blond,test,8,20260235
238,5412896000432,Blond,test,8,20260235
59,5425005660601,Blond,test,8,20260235
234,5425029490024,Blond,test,8,20260235
101,5425036450004,Blond,test,8,20260235
249,9120041150784,Blond,test,8,20260235
122,5425029020191,Brett/cofermented,test,8,20260235
222,5425029490055,Brett/cofermented,test,8,20260235
25,54079014,Brown,test,8,20260235
206,54085015,Brown,test,8,20260235
129,5410228146162,Brown,test,8,20260235
78,5425006240017,Brown,test,8,20260235
1,5413970150111,Brut,test,8,20260235
38,541286000975,Christmas,test,8,20260235
95,5412138303314,Christmas,test,8,20260235
181,5412896532032,Christmas,test,8,20260235
16,5411098700003,Dubbel,test,8,20260235
194,5411098730307,Dubbel,test,8,20260235
48,8711406995211,Dubbel,test,8,20260235
74,5412783054012,Faro,test,8,20260235
179,5411081004736,Flanders old brown,test,8,20260235
161,5411686700057,Flanders old brown,test,8,20260235
165,5411081000363,Fruitbeer,test,8,20260235
50,5411223030043,Fruitbeer,test,8,20260235
9,5411081005368,Hoppy,test,8,20260235
97,5411676700005,Hoppy,test,8,20260235
169,5411676710004,Hoppy,test,8,20260235
219,5411681401775,Hoppy,test,8,20260235
8,5425006241304,Hoppy,test,8,20260235
156,5410228193371,Kriek,test,8,20260235
88,5411081003654,Kriek,test,8,20260235
220,5412783053015,Kriek,test,8,20260235
12,5410228141587,Lambic,test,8,20260235
144,5411516002306,Lambic,test,8,20260235
21,5412783052247,Lambic,test,8,20260235
155,5410228188704,Low/No alcohol,test,8,20260235
10,5410228202929,Low/No alcohol,test,8,20260235
218,54057142,Pils/Lager,test,8,20260235
230,5410228141235,Pils/Lager,test,8,20260235
96,5411681080000,Pils/Lager,test,8,20260235
29,5410702000331,Saison,test,8,20260235
132,5410702000379,Saison,test,8,20260235
145,5415152000450,Saison,test,8,20260235
168,5410263060034,Scotch,test,8,20260235
233,5413023000264,Scotch,test,8,20260235
201,741360987296,Stout/Porter,test,8,20260235
87,5412896001507,Stout/Porter,test,8,20260235
182,5425028290311,Stout/Porter,test,8,20260235
188,8711406017487,Stout/Porter,test,8,20260235
4,54079021,Strong ale,test,8,20260235
175,5410263013665,Strong ale,test,8,20260235
51,5411081000523,Strong ale,test,8,20260235
226,5412186000715,Strong ale,test,8,20260235
117,9120041150678,Strong ale,test,8,20260235
68,9999999999,Tripel,test,8,20260235
135,5410908000029,Tripel,test,8,20260235
191,5411098700010,Tripel,test,8,20260235
47,5412583240363,Tripel,test,8,20260235
217,5425006241687,Tripel,test,8,20260235
93,5425006700139,Tripel,test,8,20260235
17,5425014687019,Tripel,test,8,20260235
154,5425029490017,Tripel,test,8,20260235
200,54125001,West Flanders ale,test,8,20260235
178,620670293948,West Flanders ale,test,8,20260235
208,54079052,Wheat,test,8,20260235
229,62067029172,Wheat,test,8,20260235
224,5410228141884,Wheat,test,8,20260235
197,5412896000111,Wheat,test,8,20260235
32,54050051,Amber,train,8,20260235
137,54057012,Amber,train,8,20260235
158,54107014,Amber,train,8,20260235
63,701197206052,Amber,train,8,20260235
128,5425014681017,Amber,train,8,20260235
19,5425030060032,Amber,train,8,20260235
6,8711406031766,Amber,train,8,20260235
92,9120041150685,Amber,train,8,20260235
3,54055308,Blond,train,8,20260235
136,54085176,Blond,train,8,20260235
70,54085190,Blond,train,8,20260235
127,54138278,Blond,train,8,20260235
5,5400000000006,Blond,train,8,20260235
49,5410228208358,Blond,train,8,20260235
71,5410228218791,Blond,train,8,20260235
248,5410263015669,Blond,train,8,20260235
246,5410783001432,Blond,train,8,20260235
64,5410908000128,Blond,train,8,20260235
193,5411098700034,Blond,train,8,20260235
110,5411098730291,Blond,train,8,20260235
94,5412186003013,Blond,train,8,20260235
215,5413963100017,Blond,train,8,20260235
125,5413963300011,Blond,train,8,20260235
121,5414239000093,Blond,train,8,20260235
113,5425006700016,Blond,train,8,20260235
164,5425007658828,Blond,train,8,20260235
149,5425031010012,Blond,train,8,20260235
30,5430000043014,Blond,train,8,20260235
77,8711406023563,Blond,train,8,20260235
35,8711406995075,Blond,train,8,20260235
14,54040014,Brett/cofermented,train,8,20260235
236,54107052,Brett/cofermented,train,8,20260235
203,5425017241164,Brett/cofermented,train,8,20260235
150,5425024150275,Brett/cofermented,train,8,20260235
98,54055315,Brown,train,8,20260235
237,5400000000008,Brown,train,8,20260235
112,5410908000012,Brown,train,8,20260235
53,5411681037004,Brown,train,8,20260235
109,5412858000067,Brown,train,8,20260235
36,5412896000074,Brown,train,8,20260235
89,5412983140027,Brown,train,8,20260235
108,5425007658880,Brown,train,8,20260235
205,793573165763,Brut,train,8,20260235
192,5410693100324,Brut,train,8,20260235
130,5425025910410,Brut,train,8,20260235
13,5410228196600,Christmas,train,8,20260235
180,5411633330047,Christmas,train,8,20260235
102,5411911001768,Christmas,train,8,20260235
106,5413977000044,Christmas,train,8,20260235
214,5425006240147,Christmas,train,8,20260235
60,5425029020078,Christmas,train,8,20260235
198,54079007,Dubbel,train,8,20260235
100,875213000082,Dubbel,train,8,20260235
111,5411276100540,Dubbel,train,8,20260235
107,5412343152332,Dubbel,train,8,20260235
174,5412583240356,Dubbel,train,8,20260235
221,5412896000067,Dubbel,train,8,20260235
187,5425017240075,Dubbel,train,8,20260235
250,5411223030067,Faro,train,8,20260235
151,5411516001491,Faro,train,8,20260235
190,875213000068,Flanders old brown,train,8,20260235
159,5411686700668,Flanders old brown,train,8,20260235
167,5411858000077,Flanders old brown,train,8,20260235
247,5411081000264,Fruitbeer,train,8,20260235
207,5411223030036,Fruitbeer,train,8,20260235
227,5411223030098,Fruitbeer,train,8,20260235
184,5412783055019,Fruitbeer,train,8,20260235
33,5425005660465,Fruitbeer,train,8,20260235
177,5425100322608,Fruitbeer,train,8,20260235
72,54121096,Hoppy,train,8,20260235
120,850413005204,Hoppy,train,8,20260235
143,5410228225928,Hoppy,train,8,20260235
114,5410769300085,Hoppy,train,8,20260235
213,5410783004099,Hoppy,train,8,20260235
65,5411283000017,Hoppy,train,8,20260235
31,5411681401164,Hoppy,train,8,20260235
80,5415152000313,Hoppy,train,8,20260235
55,5425023990698,Hoppy,train,8,20260235
79,5425029020054,Hoppy,train,8,20260235
27,5425036850019,Hoppy,train,8,20260235
39,5430000193009,Hoppy,train,8,20260235
54,549619093094,Kriek,train,8,20260235
241,608782666133,Kriek,train,8,20260235
138,5411223010557,Kriek,train,8,20260235
82,5411516002269,Kriek,train,8,20260235
24,5411656050212,Kriek,train,8,20260235
232,5411686700637,Kriek,train,8,20260235
153,5425007810806,Kriek,train,8,20260235
18,1882,Lambic,train,8,20260235
42,5411024000047,Lambic,train,8,20260235
211,5411223030050,Lambic,train,8,20260235
115,5411516001453,Lambic,train,8,20260235
41,5411656010315,Lambic,train,8,20260235
116,5411656051097,Lambic,train,8,20260235
75,5412783052018,Lambic,train,8,20260235
162,5425018070015,Lambic,train,8,20260235
83,54055520,Low/No alcohol,train,8,20260235
141,5410228141174,Low/No alcohol,train,8,20260235
40,5410228141181,Low/No alcohol,train,8,20260235
2,5410228142003,Low/No alcohol,train,8,20260235
223,5410228231325,Low/No alcohol,train,8,20260235
86,5410783031019,Low/No alcohol,train,8,20260235
90,54017016,Pils/Lager,train,8,20260235
185,54055001,Pils/Lager,train,8,20260235
209,54085107,Pils/Lager,train,8,20260235
139,5410228142027,Pils/Lager,train,8,20260235
119,5411831000742,Pils/Lager,train,8,20260235
124,5412186002658,Pils/Lager,train,8,20260235
28,5425036580008,Pils/Lager,train,8,20260235
81,8715608222557,Pils/Lager,train,8,20260235
183,5410702000805,Saison,train,8,20260235
242,5412138333311,Saison,train,8,20260235
56,5413963600012,Saison,train,8,20260235
20,5425005660205,Saison,train,8,20260235
58,5425024151210,Saison,train,8,20260235
7,5425025910809,Saison,train,8,20260235
166,5425029020252,Saison,train,8,20260235
146,54004009,Scotch,train,8,20260235
216,5410228201076,Scotch,train,8,20260235
131,5410769200088,Scotch,train,8,20260235
61,5410702001314,Stout/Porter,train,8,20260235
173,5425005660809,Stout/Porter,train,8,20260235
212,5425006700054,Stout/Porter,train,8,20260235
103,5425024150108,Stout/Porter,train,8,20260235
231,5425025390090,Stout/Porter,train,8,20260235
67,5425026610197,Stout/Porter,train,8,20260235
123,5425026960018,Stout/Porter,train,8,20260235
