beer,beer_id,tasting_category_fine,part,fold
233,5413023000264,Scotch,fold_train,3
123,5425026960018,Stout/Porter,fold_train,3
168,5410263060034,Scotch,fold_train,3
187,5425017240075,Dubbel,fold_train,3
12,5410228141587,Lambic,fold_train,3
89,5412983140027,Brown,fold_train,3
13,5410228196600,Christmas,fold_train,3
93,5425006700139,Tripel,fold_train,3
241,608782666133,Kriek,fold_train,3
53,5411681037004,Brown,fold_train,3
162,5425018070015,Lambic,fold_train,3
219,5411681401775,Hoppy,fold_train,3
60,5425029020078,Christmas,fold_train,3
65,5411283000017,Hoppy,fold_train,3
177,5425100322608,Fruitbeer,fold_train,3
226,5412186000715,Strong ale,fold_train,3
75,5412783052018,Lambic,fold_train,3
181,5412896532032,Christmas,fold_train,3
209,54085107,Pils/Lager,fold_train,3
239,54055049,Tripel,fold_train,3
182,5425028290311,Stout/Porter,fold_train,3
142,54112087,Wheat,fold_train,3
104,5412858000081,Strong ale,fold_train,3
199,5411858000145,Tripel,fold_train,3
227,5411223030098,Fruitbeer,fold_train,3
185,54055001,Pils/Lager,fold_train,3
245,5412186000098,Tripel,fold_train,3
56,5413963600012,Saison,fold_train,3
40,5410228141181,Low/No alcohol,fold_train,3
84,5411516000517,West Flanders ale,fold_train,3
78,5425006240017,Brown,fold_train,3
11,8718754310017,Amber,fold_train,3
32,54050051,Amber,fold_train,3
234,5425029490024,Blond,fold_train,3
106,5413977000044,Christmas,fold_train,3
124,5412186002658,Pils/Lager,fold_train,3
191,5411098700010,Tripel,fold_train,3
190,875213000068,Flanders old brown,fold_train,3
100,875213000082,Dubbel,fold_train,3
204,5425006240024,Tripel,fold_train,3
73,5410769100081,Blond,fold_train,3
149,5425031010012,Blond,fold_train,3
218,54057142,Pils/Lager,fold_train,3
151,5411516001491,Faro,fold_train,3
62,5410228134879,Blond,fold_train,3
141,5410228141174,Low/No alcohol,fold_train,3
76,5412583240837,Blond,fold_train,3
111,5411276100540,Dubbel,fold_train,3
82,5411516002269,Kriek,fold_train,3
128,5425014681017,Amber,fold_train,3
80,5415152000313,Hoppy,fold_train,3
27,5425036850019,Hoppy,fold_train,3
