beer,beer_id,tasting_category_fine,split,repeat,random_state
137,54057012,Amber,test,1,20260228
126,54085060,Amber,test,1,20260228
128,5425014681017,Amber,test,1,20260228
92,9120041150685,Amber,test,1,20260228
70,54085190,Blond,test,1,20260228
62,5410228134879,Blond,test,1,20260228
246,5410783001432,Blond,test,1,20260228
193,5411098700034,Blond,test,1,20260228
76,5412583240837,Blond,test,1,20260228
125,5413963300011,Blond,test,1,20260228
121,5414239000093,Blond,test,1,20260228
234,5425029490024,Blond,test,1,20260228
77,8711406023563,Blond,test,1,20260228
14,54040014,Brett/cofermented,test,1,20260228
122,5425029020191,Brett/cofermented,test,1,20260228
98,54055315,Brown,test,1,20260228
129,5410228146162,Brown,test,1,20260228
112,5410908000012,Brown,test,1,20260228
108,5425007658880,Brown,test,1,20260228
130,5425025910410,Brut,test,1,20260228
180,5411633330047,Christmas,test,1,20260228
181,5412896532032,Christmas,test,1,20260228
106,5413977000044,Christmas,test,1,20260228
111,5411276100540,Dubbel,test,1,20260228
221,5412896000067,Dubbel,test,1,20260228
187,5425017240075,Dubbel,test,1,20260228
250,5411223030067,Faro,test,1,20260228
179,5411081004736,Flanders old brown,test,1,20260228
167,5411858000077,Flanders old brown,test,1,20260228
207,5411223030036,Fruitbeer,test,1,20260228
184,5412783055019,Fruitbeer,test,1,20260228
143,5410228225928,Hoppy,test,1,20260228
219,5411681401775,Hoppy,test,1,20260228
8,5425006241304,Hoppy,test,1,20260228
55,5425023990698,Hoppy,test,1,20260228
79,5425029020054,Hoppy,test,1,20260228
156,5410228193371,Kriek,test,1,20260228
88,5411081003654,Kriek,test,1,20260228
232,5411686700637,Kriek,test,1,20260228
42,5411024000047,Lambic,test,1,20260228
41,5411656010315,Lambic,test,1,20260228
75,5412783052018,Lambic,test,1,20260228
83,54055520,Low/No alcohol,test,1,20260228
2,5410228142003,Low/No alcohol,test,1,20260228
139,5410228142027,Pils/Lager,test,1,20260228
96,5411681080000,Pils/Lager,test,1,20260228
28,5425036580008,Pils/Lager,test,1,20260228
29,5410702000331,Saison,test,1,20260228
56,5413963600012,Saison,test,1,20260228
7,5425025910809,Saison,test,1,20260228
168,5410263060034,Scotch,test,1,20260228
131,5410769200088,Scotch,test,1,20260228
87,5412896001507,Stout/Porter,test,1,20260228
231,5425025390090,Stout/Porter,test,1,20260228
67,5425026610197,Stout/Porter,test,1,20260228
182,5425028290311,Stout/Porter,test,1,20260228
170,5411663002716,Strong ale,test,1,20260228
104,5412858000081,Strong ale,test,1,20260228
235,5412858000104,Strong ale,test,1,20260228
133,5412896000081,Strong ale,test,1,20260228
91,8711406995495,Strong ale,test,1,20260228
85,54112018,Tripel,test,1,20260228
191,5411098700010,Tripel,test,1,20260228
228,5411663002945,Tripel,test,1,20260228
34,5411681038001,Tripel,test,1,20260228
199,5411858000145,Tripel,test,1,20260228
45,5412343201337,Tripel,test,1,20260228
154,5425029490017,Tripel,test,1,20260228
171,5425033240028,Tripel,test,1,20260228
118,5411364151119,West Flanders ale,test,1,20260228
176,5411858000183,West Flanders ale,test,1,20260228
208,54079052,Wheat,test,1,20260228
142,54112087,Wheat,test,1,20260228
229,62067029172,Wheat,test,1,20260228
195,8711406995631,Wheat,test,1,20260228
32,54050051,Amber,train,1,20260228
158,54107014,Amber,train,1,20260228
