beer,beer_id,tasting_category_fine,part,fold
123,5425026960018,Stout/Porter,fold_train,2
168,5410263060034,Scotch,fold_train,2
187,5425017240075,Dubbel,fold_train,2
12,5410228141587,Lambic,fold_train,2
89,5412983140027,Brown,fold_train,2
93,5425006700139,Tripel,fold_train,2
241,608782666133,Kriek,fold_train,2
53,5411681037004,Brown,fold_train,2
162,5425018070015,Lambic,fold_train,2
219,5411681401775,Hoppy,fold_train,2
60,5425029020078,Christmas,fold_train,2
65,5411283000017,Hoppy,fold_train,2
177,5425100322608,Fruitbeer,fold_train,2
226,5412186000715,Strong ale,fold_train,2
75,5412783052018,Lambic,fold_train,2
209,54085107,Pils/Lager,fold_train,2
239,54055049,Tripel,fold_train,2
142,54112087,Wheat,fold_train,2
104,5412858000081,Strong ale,fold_train,2
199,5411858000145,Tripel,fold_train,2
227,5411223030098,Fruitbeer,fold_train,2
163,5425017240457,Tripel,fold_train,2
245,5412186000098,Tripel,fold_train,2
56,5413963600012,Saison,fold_train,2
40,5410228141181,Low/No alcohol,fold_train,2
99,5413970140396,Strong ale,fold_train,2
84,5411516000517,West Flanders ale,fold_train,2
78,5425006240017,Brown,fold_train,2
11,8718754310017,Amber,fold_train,2
32,54050051,Amber,fold_train,2
234,5425029490024,Blond,fold_train,2
106,5413977000044,Christmas,fold_train,2
124,5412186002658,Pils/Lager,fold_train,2
191,5411098700010,Tripel,fold_train,2
190,875213000068,Flanders old brown,fold_train,2
100,875213000082,Dubbel,fold_train,2
204,5425006240024,Tripel,fold_train,2
73,5410769100081,Blond,fold_train,2
149,5425031010012,Blond,fold_train,2
179,5411081004736,Flanders old brown,fold_train,2
218,54057142,Pils/Lager,fold_train,2
151,5411516001491,Faro,fold_train,2
62,5410228134879,Blond,fold_train,2
141,5410228141174,Low/No alcohol,fold_train,2
76,5412583240837,Blond,fold_train,2
82,5411516002269,Kriek,fold_train,2
128,5425014681017,Amber,fold_train,2
80,5415152000313,Hoppy,fold_train,2
27,5425036850019,Hoppy,fold_train,2
92,9120041150685,Amber,fold_train,2
57,5410228141921,Tripel,fold_train,2
51,5411081000523,Strong ale,fold_train,2
229,62067029172,Wheat,fold_train,2
137,54057012,Amber,fold_train,2
119,5411831000742,Pils/Lager,fold_train,2
5,5400000000006,Blond,fold_train,2
131,5410769200088,Scotch,fold_train,2
96,5411681080000,Pils/Lager,fold_train,2
71,5410228218791,Blond,fold_train,2
1,5413970150111,Brut,fold_train,2
31,5411681401164,Hoppy,fold_train,2
133,5412896000081,Strong ale,fold_train,2
86,5410783031019,Low/No alcohol,fold_train,2
165,5411081000363,Fruitbeer,fold_train,2
107,5412343152332,Dubbel,fold_train,2
220,5412783053015,Kriek,fold_train,2
215,5413963100017,Blond,fold_train,2
4,54079021,Strong ale,fold_train,2
55,5425023990698,Hoppy,fold_train,2
127,54138278,Blond,fold_train,2
222,5425029490055,Brett/cofermented,fold_train,2
16,5411098700003,Dubbel,fold_train,2
35,8711406995075,Blond,fold_train,2
208,54079052,Wheat,fold_train,2
45,5412343201337,Tripel,fold_train,2
212,5425006700054,Stout/Porter,fold_train,2
164,5425007658828,Blond,fold_train,2
154,5425029490017,Tripel,fold_train,2
101,5425036450004,Blond,fold_train,2
33,5425005660465,Fruitbeer,fold_train,2
74,5412783054012,Faro,fold_train,2
138,5411223010557,Kriek,fold_train,2
246,5410783001432,Blond,fold_train,2
10,5410228202929,Low/No alcohol,fold_train,2
18,1882,Lambic,fold_train,2
118,5411364151119,West Flanders ale,fold_train,2
147,5412107000466,Tripel,fold_train,2
173,5425005660809,Stout/Porter,fold_train,2
200,54125001,West Flanders ale,fold_train,2
54,549619093094,Kriek,fold_train,2
192,5410693100324,Brut,fold_train,2
144,5411516002306,Lambic,fold_train,2
39,5430000193009,Hoppy,fold_train,2
