beer,beer_id,tasting_category_fine,split,repeat,random_state
126,54085060,Amber,test,7,20260234
43,5041300503,Amber,test,7,20260234
63,701197206052,Amber,test,7,20260234
92,9120041150685,Amber,test,7,20260234
136,54085176,Blond,test,7,20260234
70,54085190,Blond,test,7,20260234
127,54138278,Blond,test,7,20260234
193,5411098700034,Blond,test,7,20260234
94,5412186003013,Blond,test,7,20260234
121,5414239000093,Blond,test,7,20260234
59,5425005660601,Blond,test,7,20260234
30,5430000043014,Blond,test,7,20260234
35,8711406995075,Blond,test,7,20260234
203,5425017241164,Brett/cofermented,test,7,20260234
222,5425029490055,Brett/cofermented,test,7,20260234
98,54055315,Brown,test,7,20260234
129,5410228146162,Brown,test,7,20260234
112,5410908000012,Brown,test,7,20260234
108,5425007658880,Brown,test,7,20260234
205,793573165763,Brut,test,7,20260234
38,541286000975,Christmas,test,7,20260234
180,5411633330047,Christmas,test,7,20260234
106,5413977000044,Christmas,test,7,20260234
198,54079007,Dubbel,test,7,20260234
16,5411098700003,Dubbel,test,7,20260234
111,5411276100540,Dubbel,test,7,20260234
74,5412783054012,Faro,test,7,20260234
190,875213000068,Flanders old brown,test,7,20260234
179,5411081004736,Flanders old brown,test,7,20260234
247,5411081000264,Fruitbeer,test,7,20260234
50,5411223030043,Fruitbeer,test,7,20260234
72,54121096,Hoppy,test,7,20260234
65,5411283000017,Hoppy,test,7,20260234
97,5411676700005,Hoppy,test,7,20260234
31,5411681401164,Hoppy,test,7,20260234
79,5425029020054,Hoppy,test,7,20260234
241,608782666133,Kriek,test,7,20260234
88,5411081003654,Kriek,test,7,20260234
24,5411656050212,Kriek,test,7,20260234
18,1882,Lambic,test,7,20260234
75,5412783052018,Lambic,test,7,20260234
21,5412783052247,Lambic,test,7,20260234
10,5410228202929,Low/No alcohol,test,7,20260234
223,5410228231325,Low/No alcohol,test,7,20260234
185,54055001,Pils/Lager,test,7,20260234
230,5410228141235,Pils/Lager,test,7,20260234
119,5411831000742,Pils/Lager,test,7,20260234
132,5410702000379,Saison,test,7,20260234
56,5413963600012,Saison,test,7,20260234
7,5425025910809,Saison,test,7,20260234
146,54004009,Scotch,test,7,20260234
131,5410769200088,Scotch,test,7,20260234
67,5425026610197,Stout/Porter,test,7,20260234
202,5425029020047,Stout/Porter,test,7,20260234
188,8711406017487,Stout/Porter,test,7,20260234
52,8715951011112,Stout/Porter,test,7,20260234
186,112161945,Strong ale,test,7,20260234
37,5410908000036,Strong ale,test,7,20260234
104,5412858000081,Strong ale,test,7,20260234
105,5425006700405,Strong ale,test,7,20260234
117,9120041150678,Strong ale,test,7,20260234
85,54112018,Tripel,test,7,20260234
57,5410228141921,Tripel,test,7,20260234
189,5410228145912,Tripel,test,7,20260234
240,5410783004594,Tripel,test,7,20260234
199,5411858000145,Tripel,test,7,20260234
204,5425006240024,Tripel,test,7,20260234
154,5425029490017,Tripel,test,7,20260234
171,5425033240028,Tripel,test,7,20260234
178,620670293948,West Flanders ale,test,7,20260234
118,5411364151119,West Flanders ale,test,7,20260234
229,62067029172,Wheat,test,7,20260234
152,5410702001307,Wheat,test,7,20260234
172,5411681400310,Wheat,test,7,20260234
197,5412896000111,Wheat,test,7,20260234
32,54050051,Amber,train,7,20260234
137,54057012,Amber,train,7,20260234
158,54107014,Amber,train,7,20260234
210,5413982001005,Amber,train,7,20260234
128,5425014681017,Amber,train,7,20260234
19,5425030060032,Amber,train,7,20260234
6,8711406031766,Amber,train,7,20260234
11,8718754310017,Amber,train,7,20260234
3,54055308,Blond,train,7,20260234
5,5400000000006,Blond,train,7,20260234
62,5410228134879,Blond,train,7,20260234
49,5410228208358,Blond,train,7,20260234
71,5410228218791,Blond,train,7,20260234
248,5410263015669,Blond,train,7,20260234
73,5410769100081,Blond,train,7,20260234
246,5410783001432,Blond,train,7,20260234
64,5410908000128,Blond,train,7,20260234
110,5411098730291,Blond,train,7,20260234
46,5411276200325,Blond,train,7,20260234
76,5412583240837,Blond,train,7,20260234
238,5412896000432,Blond,train,7,20260234
215,5413963100017,Blond,train,7,20260234
125,5413963300011,Blond,train,7,20260234
113,5425006700016,Blond,train,7,20260234
164,5425007658828,Blond,train,7,20260234
234,5425029490024,Blond,train,7,20260234
149,5425031010012,Blond,train,7,20260234
101,5425036450004,Blond,train,7,20260234
77,8711406023563,Blond,train,7,20260234
249,9120041150784,Blond,train,7,20260234
14,54040014,Brett/cofermented,train,7,20260234
236,54107052,Brett/cofermented,train,7,20260234
150,5425024150275,Brett/cofermented,train,7,20260234
122,5425029020191,Brett/cofermented,train,7,20260234
25,54079014,Brown,train,7,20260234
206,54085015,Brown,train,7,20260234
237,5400000000008,Brown,train,7,20260234
53,5411681037004,Brown,train,7,20260234
109,5412858000067,Brown,train,7,20260234
36,5412896000074,Brown,train,7,20260234
89,5412983140027,Brown,train,7,20260234
78,5425006240017,Brown,train,7,20260234
192,5410693100324,Brut,train,7,20260234
1,5413970150111,Brut,train,7,20260234
130,5425025910410,Brut,train,7,20260234
13,5410228196600,Christmas,train,7,20260234
102,5411911001768,Christmas,train,7,20260234
95,5412138303314,Christmas,train,7,20260234
181,5412896532032,Christmas,train,7,20260234
214,5425006240147,Christmas,train,7,20260234
60,5425029020078,Christmas,train,7,20260234
100,875213000082,Dubbel,train,7,20260234
194,5411098730307,Dubbel,train,7,20260234
107,5412343152332,Dubbel,train,7,20260234
174,5412583240356,Dubbel,train,7,20260234
221,5412896000067,Dubbel,train,7,20260234
187,5425017240075,Dubbel,train,7,20260234
48,8711406995211,Dubbel,train,7,20260234
250,5411223030067,Faro,train,7,20260234
151,5411516001491,Faro,train,7,20260234
161,5411686700057,Flanders old brown,train,7,20260234
159,5411686700668,Flanders old brown,train,7,20260234
167,5411858000077,Flanders old brown,train,7,20260234
165,5411081000363,Fruitbeer,train,7,20260234
207,5411223030036,Fruitbeer,train,7,20260234
227,5411223030098,Fruitbeer,train,7,20260234
184,5412783055019,Fruitbeer,train,7,20260234
33,5425005660465,Fruitbeer,train,7,20260234
177,5425100322608,Fruitbeer,train,7,20260234
120,850413005204,Hoppy,train,7,20260234
143,5410228225928,Hoppy,train,7,20260234
114,5410769300085,Hoppy,train,7,20260234
213,5410783004099,Hoppy,train,7,20260234
9,5411081005368,Hoppy,train,7,20260234
169,5411676710004,Hoppy,train,7,20260234
219,5411681401775,Hoppy,train,7,20260234
80,5415152000313,Hoppy,train,7,20260234
8,5425006241304,Hoppy,train,7,20260234
55,5425023990698,Hoppy,train,7,20260234
27,5425036850019,Hoppy,train,7,20260234
39,5430000193009,Hoppy,train,7,20260234
54,549619093094,Kriek,train,7,20260234
156,5410228193371,Kriek,train,7,20260234
138,5411223010557,Kriek,train,7,20260234
82,5411516002269,Kriek,train,7,20260234
232,5411686700637,Kriek,train,7,20260234
220,5412783053015,Kriek,train,7,20260234
153,5425007810806,Kriek,train,7,20260234
12,5410228141587,Lambic,train,7,20260234
42,5411024000047,Lambic,train,7,20260234
211,5411223030050,Lambic,train,7,20260234
115,5411516001453,Lambic,train,7,20260234
144,5411516002306,Lambic,train,7,20260234
41,5411656010315,Lambic,train,7,20260234
116,5411656051097,Lambic,train,7,20260234
162,5425018070015,Lambic,train,7,20260234
83,54055520,Low/No alcohol,train,7,20260234
141,5410228141174,Low/No alcohol,train,7,20260234
40,5410228141181,Low/No alcohol,train,7,20260234
2,5410228142003,Low/No alcohol,train,7,20260234
155,5410228188704,Low/No alcohol,train,7,20260234
86,5410783031019,Low/No alcohol,train,7,20260234
90,54017016,Pils/Lager,train,7,20260234
218,54057142,Pils/Lager,train,7,20260234
209,54085107,Pils/Lager,train,7,20260234
139,5410228142027,Pils/Lager,train,7,20260234
96,5411681080000,Pils/Lager,train,7,20260234
124,5412186002658,Pils/Lager,train,7,20260234
28,5425036580008,Pils/Lager,train,7,20260234
81,8715608222557,Pils/Lager,train,7,20260234
29,5410702000331,Saison,train,7,20260234
183,5410702000805,Saison,train,7,20260234
242,5412138333311,Saison,train,7,20260234
145,5415152000450,Saison,train,7,20260234
20,5425005660205,Saison,train,7,20260234
58,5425024151210,Saison,train,7,20260234
166,5425029020252,Saison,train,7,20260234
216,5410228201076,Scotch,train,7,20260234
168,5410263060034,Scotch,train,7,20260234
233,5413023000264,Scotch,train,7,20260234
201,741360987296,Stout/Porter,train,7,20260234
61,5410702001314,Stout/Porter,train,7,20260234
87,5412896001507,Stout/Porter,train,7,20260234
173,5425005660809,Stout/Porter,train,7,20260234
212,5425006700054,Stout/Porter,train,7,20260234
103,5425024150108,Stout/Porter,train,7,20260234
231,5425025390090,Stout/Porter,train,7,20260234
123,5425026960018,Stout/Porter,train,7,20260234
182,5425028290311,Stout/Porter,train,7,20260234
134,54004238,Strong ale,train,7,20260234
4,54079021,Strong ale,train,7,20260234
148,5400000000012,Strong ale,train,7,20260234
175,5410263013665,Strong ale,train,7,20260234
51,5411081000523,Strong ale,train,7,20260234
196,5411551300818,Strong ale,train,7,20260234
225,5411663002600,Strong ale,train,7,20260234
170,5411663002716,Strong ale,train,7,20260234
226,5412186000715,Strong ale,train,7,20260234
235,5412858000104,Strong ale,train,7,20260234
133,5412896000081,Strong ale,train,7,20260234
99,5413970140396,Strong ale,train,7,20260234
91,8711406995495,Strong ale,train,7,20260234
140,54050082,Tripel,train,7,20260234
239,54055049,Tripel,train,7,20260234
15,54079045,Tripel,train,7,20260234
68,9999999999,Tripel,train,7,20260234
135,5410908000029,Tripel,train,7,20260234
69,5411081000332,Tripel,train,7,20260234
