repeat,random_state,n_train,n_test,p,k_keep,standardize_before_pca,eig_tol,train_recon_rmse,train_recon_mae,train_recon_max_abs_err,test_recon_rmse,test_recon_mae,test_recon_max_abs_err
1,20260228,175,75,231,174,True,1e-12,1.28497280923443e-13,1.3560552404016732e-14,8.185452315956354e-12,331.0187731040734,5.945858172948712,40126.437298091245
2,20260229,175,75,231,174,True,1e-12,2.398210792110312e-13,1.9240213878794653e-14,1.0837497566029697e-11,334.2039281374475,5.648311653686577,42597.82451221031
3,20260230,175,75,231,174,True,1e-12,1.5191171203794494e-13,1.2300876896626485e-14,7.479183938841061e-12,641.7397150813543,9.472103803899783,59967.92750425358
4,20260231,175,75,231,174,True,1e-12,2.6056916112378875e-13,2.7201866844082988e-14,6.9081407261251115e-12,25.475628391935796,1.9966886527315721,2267.1528727077057
5,20260232,175,75,231,174,True,1e-12,2.2688094073896092e-13,2.012727548003967e-14,1.2329803844579601e-11,332.6746760779593,6.291618058575099,36118.74974453948
6,20260233,175,75,231,174,True,1e-12,4.0201306781663904e-13,3.589854917921399e-14,1.3930849529497635e-11,721.3103331010307,7.843076985354964,94179.86849291659
7,20260234,175,75,231,174,True,1e-12,2.294894115863449e-13,2.413292989638361e-14,1.2732925824820995e-11,14.84179368324324,1.43751511986631,980.6328643750439
8,20260235,175,75,231,174,True,1e-12,1.1597435145316011e-13,1.253058932779732e-14,7.275957614183426e-12,91.28922185929855,3.270177160851726,8984.956001347364
9,20260236,175,75,231,174,True,1e-12,2.533386436787644e-13,2.682027875662868e-14,1.0913936421275139e-11,20.00827134266822,1.9340385573694183,1123.1395954230154
10,20260237,175,75,231,174,True,1e-12,1.0228352339574867e-13,1.1594273641270828e-14,5.002220859751105e-12,203.56328293315522,4.509352959595067,23513.95290442238
