target,target_index_1based,k,cum_evr_percent,train_rmse,train_r2,train_accuracy,test_rmse,test_r2,test_accuracy,cv_rmse_mean,cv_rmse_std,cv_r2_mean,cv_r2_std
bitternes,32,1,14.323115634427936,0.7042315202506169,0.021069731185692553,0.14515416351483945,0.772644193845163,-0.009129898038959139,0.02650683464852771,0.7045879560275644,0.10250304969310656,-0.006079615718521225,0.0700165700513487
bitternes,32,2,22.498372323314324,0.5273900640728051,0.4509843489188302,0.6715536828272406,0.5961259941886516,0.3992910505674113,0.6324256368143087,0.5361593741775332,0.05952785624456118,0.4126895896796613,0.04534044960759119
bitternes,32,3,28.32858601341222,0.5273498983816499,0.4510679710985608,0.6716159401760513,0.589638104096299,0.4122954339294279,0.6421739452675503,0.5377807759410007,0.05801815317662967,0.4085782207096864,0.04908944890657822
bitternes,32,4,33.20609771142012,0.4595081512260342,0.5832196089851847,0.7636881621350333,0.8885755486944411,-0.33467860731922294,0.5170691645477161,0.49066432521568143,0.023191932331318006,0.47877570577086787,0.19178798872152766
bitternes,32,5,37.27551848649523,0.459404704610626,0.5834072429482953,0.7638109994941779,0.976021775147952,-0.6103007549990844,0.49268376485111653,0.4971581194901237,0.022204718567882517,0.4660533327235109,0.1912233763541088
bitternes,32,6,40.411781661541944,0.45221328024938756,0.5963476709209452,0.7722355022406994,1.84450345755761,-4.751047174202297,0.37953625383179096,0.4947064158047888,0.03156659982931773,0.46687176313222006,0.21079373390663542
bitternes,32,7,43.3565036214753,0.4519881946517003,0.596749400450818,0.7724955666221122,1.7727482218314554,-4.312293965951144,0.3865227576934315,0.4976417558386904,0.032694400775368365,0.4606747168607625,0.21438378261691843
bitternes,32,8,45.89358459636036,0.44895565522614833,0.6021423333793461,0.7759783072865806,2.1330369104222235,-6.6910338701729435,0.36293677069444275,0.5142670730175909,0.04402744508835425,0.41032513995196584,0.2769983257293546
bitternes,32,9,48.25644333704925,0.4361224985230935,0.6245623513778544,0.7902925732776783,0.8762445384513746,-0.29789222505751733,0.5503541646838991,0.48264978674497827,0.021125103837331835,0.4942699530148465,0.1872324041786985
bitternes,32,10,50.33629156130735,0.43587786319296395,0.6249834236862504,0.7905589311912498,0.847736151979856,-0.21481288893049788,0.5586980834043928,0.482830784611395,0.02109603291150786,0.4939621268541857,0.1872101040395606
bitternes,32,11,52.222987299067626,0.4261197799929895,0.6415866096935642,0.8009910172365008,0.5504042059822035,0.48790389736129725,0.7114862669549266,0.47295740332320974,0.024943309612182527,0.5117994956241217,0.18739901303156276
bitternes,32,12,53.816778306876955,0.4259525313184517,0.6418679033742233,0.8011665890276648,0.5076346153607911,0.564397423131503,0.7522991391373505,0.47229243599688664,0.024373573794944318,0.5133960072690724,0.18591311433083582
bitternes,32,13,55.38234310482218,0.42585690043882607,0.6420286942620783,0.8012669307178958,0.513913857651429,0.5535543046644685,0.7453967944070263,0.48059067024090274,0.024061359601202172,0.49648843218456823,0.19110849025372834
bitternes,32,14,56.81158323411232,0.42122543737371243,0.6497726822348926,0.8060847860088247,0.9729493798784482,-0.6001786582977346,0.5264767680161623,0.4776225472410512,0.02566863059030073,0.5007346926157255,0.19711636366487065
bitternes,32,15,58.14572315320123,0.41910438442583176,0.6532908951972649,0.8082641246506401,1.1461814756185877,-1.2207248535878623,0.4892281542920706,0.47939265524823477,0.01807714915556434,0.5030750906773944,0.17409441929235508
bitternes,32,16,59.43462924548314,0.4174676620375498,0.6559936037136588,0.8099343206172079,0.9931192985584482,-0.6672119914059529,0.5251490878996585,0.48045233284943345,0.009994836160836731,0.5041275359329473,0.16327319391729964
bitternes,32,17,60.65497223755052,0.41674152796284186,0.6571892772720854,0.8106721145272517,0.7864393300242392,-0.045486505961594315,0.5892303892280046,0.48061105085454636,0.00925146883766556,0.5030984702942233,0.16563337992119567
bitternes,32,18,61.865327244686874,0.41569802254325566,0.6589038987253011,0.8117289564413117,0.7670993134469758,0.005302169317043415,0.5978303955193003,0.4905163543032197,0.009452516631671485,0.4827615384050009,0.17114355974802703
bitternes,32,19,63.00285347619767,0.41494569413059157,0.6601374098946189,0.8124884060062759,0.6060777475258687,0.37906711555077843,0.677449312247123,0.49303379856827334,0.017084209498103856,0.4790135514107007,0.1648765047363394
bitternes,32,20,64.08643630652043,0.41242298499399943,0.6642573138771315,0.8150198242233937,0.7297181005760901,0.09988454063257401,0.6128035230479119,0.49725262807963444,0.016273740030658432,0.47373092085778035,0.15243065032872188
bitternes,32,21,65.10043353414554,0.40812777286214436,0.6712141361230779,0.8192765931741722,1.1430296238819275,-1.2085282304245308,0.4893778852898948,0.5201619930184538,0.04907245324565549,0.3981120541295551,0.28984871090110786
bitternes,32,22,66.1023177256293,0.40674100224788484,0.6734446921950438,0.8206367602021275,1.247061876075431,-1.6288389929068505,0.470077952364343,0.5207520223730705,0.038581379329035576,0.4023390461642881,0.26040346877301174
bitternes,32,23,67.07160716333205,0.4052333748121549,0.6758610274760991,0.8221076738944237,1.3105543495954373,-1.9033410527221446,0.4566920328185245,0.5215140509564627,0.053855366462226585,0.3925469275612056,0.30168417321965746
bitternes,32,24,67.99311962409811,0.40001308993548534,0.6841584626619613,0.8271387203256543,0.5875610338306427,0.41642865949219476,0.6822160784819439,0.4987786632808726,0.03342548245190982,0.45609474437313813,0.22124664763803553
bitternes,32,25,68.88065750660239,0.3996719642008272,0.6846969237216112,0.8274641525296497,0.5660463316085184,0.4583834292855269,0.6984530767563775,0.5104583368272995,0.043138877378948066,0.4317456470849731,0.22583001953509424
bitternes,32,26,69.74972798205994,0.3989064269407837,0.685903638762818,0.8281929960841363,0.5080274333555279,0.5637230060183003,0.7523636241503495,0.5189381370968654,0.05868190371681629,0.41058399205426854,0.23878786757722315
bitternes,32,27,70.584059290154,0.39889504690123667,0.6859215596474427,0.8282038152818681,0.511122474594498,0.5583909771471909,0.7488790920093189,0.5226764571671321,0.05186673555826347,0.408119052687635,0.2172768455238703
bitternes,32,28,71.41716850511489,0.3979240284149226,0.687448802349903,0.8291253236694097,0.4808964490837592,0.6090770897484366,0.7935912435055574,0.5256414768203476,0.04801027530526029,0.4030395949485416,0.2114513279921157
bitternes,32,29,72.21157613055284,0.38642515390714977,0.705251491991972,0.8397925291356023,0.4973549913291457,0.5818607420050883,0.7713919710294046,0.5282929115926008,0.044107998842103674,0.38679361335180984,0.24988864140540448
bitternes,32,30,72.98438814675106,0.3836331851530007,0.7094952930834871,0.8423154356198678,0.6611882962989248,0.2610104489543207,0.6315288087914416,0.5408700416852621,0.05602258020604347,0.36003336412245196,0.24923584361549098
bitternes,32,31,73.74493125927647,0.3836330746674792,0.7094954604129083,0.8423155349469158,0.6608118276136064,0.2618517440088278,0.6317678482902175,0.5580732528665479,0.06259127049207498,0.3138603310082607,0.29108925783008804
bitternes,32,32,74.48228694717449,0.3768653989517674,0.7196546420594085,0.8483246088965054,0.5031185521937818,0.5721134388123956,0.7720218168062523,0.5692082205103149,0.04064370866472871,0.3063806971266569,0.22571062540287412
bitternes,32,33,75.16846895200968,0.37572257906057477,0.721352322345852,0.8493246271867148,0.5738109318000041,0.44342253507643925,0.6891238766718193,0.5604544850229144,0.04006182268485819,0.3322584072969822,0.19472729614108047
bitternes,32,34,75.84879393698762,0.3757203598459507,0.7213556140148091,0.8493265650000646,0.5715037317634306,0.44788935097957294,0.6909714621557711,0.5710612787605257,0.04426337959050779,0.3068560783593151,0.20621747348473493
bitternes,32,35,76.49406848096393,0.37570264741825654,0.7213818854269083,0.8493420308844422,0.563547802142306,0.4631542696678208,0.6971830569884154,0.5717752023353999,0.04350864822009955,0.30715922402631124,0.19782678198152842
bitternes,32,36,77.11763463195678,0.37137718276608084,0.7277604156397317,0.8530887501542447,0.49884258687963906,0.5793556808362057,0.7636483743973965,0.5747663378274109,0.05134039100531513,0.30610068022828896,0.1765924076507612
bitternes,32,37,77.73524600914087,0.3711236668507607,0.7281319705645094,0.85330649274719,0.49990416914811947,0.5775634373099836,0.7621317981777533,0.5792784290206664,0.051779436411118755,0.29398437616424916,0.1818356322414134
bitternes,32,38,78.33985159178896,0.3687056038968516,0.7316631513410792,0.8553731065102993,0.5930831325364474,0.4054079089143863,0.6764295954775514,0.607329604209206,0.11913791763673276,0.21396012701003517,0.30572129476944965
bitternes,32,39,78.9346850940845,0.3680798230655707,0.7325732408779287,0.8559049251394275,0.585820949176491,0.4198800792039711,0.6814278432142106,0.6277042706432887,0.1194927370773335,0.1657196551940871,0.2984381505176771
bitternes,32,40,79.50220116158103,0.3671436405643573,0.7339318693635402,0.8566982370493941,0.6229505457566517,0.3440131644365195,0.6564798214570396,0.6351906131159588,0.11405559605712257,0.1341982305872736,0.32422484850716465
bitternes,32,41,80.05183418425511,0.3655498582708136,0.7362368759673614,0.8580424674614668,1.0627897827208244,-0.909337594887228,0.4967304222014732,0.6391997700632619,0.13055431564561115,0.11724018041388477,0.3665524168350255
bitternes,32,42,80.59232979450547,0.3628841713104938,0.7400697117464594,0.8602730448796237,1.225560756355756,-1.5389706155613432,0.46733572213097313,0.6347479018399367,0.12741502300507662,0.12348515561176546,0.37494318911434243
bitternes,32,43,81.11111661389474,0.361098759030767,0.7426211653916757,0.8617547014038717,1.5535418694340644,-3.0797533479849255,0.4216634096325634,0.6371834100016487,0.12538117224426304,0.12433410959582733,0.35503184673193944
bitternes,32,44,81.60850524769371,0.36026384909972986,0.7438099798876063,0.8624441894334999,1.441484855524208,-2.512433823875569,0.43548195832016057,0.6501436640310573,0.121563183171948,0.08632402183294059,0.364261376107832
bitternes,32,45,82.09744928298232,0.3572770488515742,0.7480403043313731,0.8648932329087642,0.9064805062675629,-0.3890085558960117,0.5405364499210558,0.6528439489475035,0.11706481099549258,0.0779936346833026,0.3749869832184544
bitternes,32,46,82.58225041453946,0.35552341292009354,0.7505076400512176,0.8663184403273531,1.1855715812461876,-1.375984174717046,0.4751228319231224,0.6740367989806471,0.11004606198350346,0.01947355893692735,0.40885261714545784
bitternes,32,47,83.05629826474895,0.35055480393209976,0.757432459782918,0.8703059575706225,0.5770622414169997,0.43709734212752627,0.6884717129052584,0.6538733491643303,0.09822978777452422,0.0748676519113352,0.3750426963921984
bitternes,32,48,83.51782567095299,0.3488219961379247,0.7598245769769209,0.8716791708977112,0.8688647383190159,-0.27612238642755416,0.5525574521166178,0.6668495575218675,0.11004401221073115,0.04824351727078653,0.3599442642004484
bitternes,32,49,83.97245790791546,0.3484909114398278,0.7602802860252,0.8719405289497677,0.9281953577426362,-0.456353375448026,0.5347529586335781,0.6859462629712294,0.12007448463986778,-0.025495268530847624,0.4655564012545177
bitternes,32,50,84.41565503101398,0.34062594927007844,0.7709784771477386,0.8780538008275678,1.1239313535100723,-1.1353425585136314,0.48944891561645865,0.7205540942208766,0.11973569094722511,-0.16501288265432118,0.6067295422655388
bitternes,32,51,84.83084076976537,0.3404961301535733,0.7711530129176737,0.878153183059581,1.320134310070742,-1.9459421860238297,0.45563843048222286,0.7418107209921223,0.1355075344349972,-0.23422001729241027,0.6163839600075394
bitternes,32,52,85.23466865959466,0.33987260554076887,0.7719903855991399,0.8786298342300586,1.1680411865241016,-1.3062389160989416,0.47930938913834154,0.7442213308688777,0.12367965204719043,-0.22663069277666784,0.5989753293348796
bitternes,32,53,85.63609930071438,0.3389720678368526,0.7731970684858247,0.8793162505525663,1.4265252068822551,-2.439908438234996,0.44007817028367574,0.7854637930833639,0.12271982001766508,-0.36947015941310674,0.6522105639281973
bitternes,32,54,86.03169607555824,0.3374029994211557,0.7752919058370672,0.8805066188490964,1.6539178867294977,-3.6239791881831724,0.41488002654105854,0.800937168916362,0.1139027673363051,-0.40740901021440157,0.6305644197342284
bitternes,32,55,86.42269850628693,0.3365321954049981,0.7764503081038261,0.8811641777238934,1.5057519134509414,-2.8326117802187003,0.4305730175168716,0.8126018001857492,0.1126148468079047,-0.4295094812428042,0.5928502124491541
bitternes,32,56,86.7976432319667,0.32841176206146544,0.7871085381037337,0.8871913762564057,1.3846259021522964,-2.2408048943631385,0.4481652167791348,0.8143696509819934,0.10608942229612567,-0.44347880019655983,0.6153365553539368
bitternes,32,57,87.1611762279338,0.32502839588234106,0.7914724468754153,0.8896473722073345,1.9948471651134185,-5.7267802201793945,0.38602562046981437,0.8365835174853276,0.08447722310584761,-0.544360406241282,0.6541483954057827
bitternes,32,58,87.5200268321761,0.3249211931985013,0.7916099796390405,0.8897246650728753,2.0586780972718777,-6.164153304584255,0.38178050677208014,0.8521327104226536,0.0966725337812714,-0.6180747663101639,0.7479708051926395
bitternes,32,59,87.87356206105731,0.32473191937686513,0.791852692568963,0.8898610523946774,2.124824046964091,-6.631922087003152,0.37687916084900713,0.8801095924645701,0.09220721966213312,-0.7097816871684454,0.7462686577489811
bitternes,32,60,88.21314044782565,0.32318336434635514,0.7938331508865033,0.8909731482410134,2.2625023802999036,-7.652987418716622,0.3679676562382028,0.8670644773142506,0.10615392396785958,-0.6563121678276447,0.747467718005798
bitternes,32,61,88.54483185354842,0.32110366621808284,0.7964779977310099,0.8924561601171285,1.5496799798215712,-3.0594951569172526,0.42354449634767066,0.8668516860370389,0.11642509359703836,-0.6486113427291824,0.7209920076369235
bitternes,32,62,88.87005101953523,0.3209731772654067,0.796643377199208,0.8925488094212035,1.6045433761442855,-3.352020242477529,0.41709807457026515,0.8795449580125295,0.12346860035849933,-0.7028800357103913,0.7852787647588948
bitternes,32,63,89.18631791298844,0.31766213763515644,0.8008172397901775,0.8948839253166737,2.1103021174506913,-6.527959121369757,0.3734349143631415,0.8819385433790714,0.1488000180981601,-0.7277621375282066,0.8921570850428121
bitternes,32,64,89.4911837506726,0.31408193157372005,0.8052817110882585,0.897374899965593,2.563787412824428,-10.110970759654291,0.3481504034189537,0.8479263094191627,0.15590994897290528,-0.6259959033139592,0.9066196615040454
bitternes,32,65,89.7873260375571,0.3113972509698787,0.8085962744334797,0.8992198143020865,2.9930215343134523,-14.142851581592875,0.3310100573232259,0.8306168894130718,0.1673548102197589,-0.5922805757551558,1.0059377820462256
bitternes,32,66,90.07881172675937,0.3094743785724203,0.8109528052255208,0.9005291806629705,3.1027143473837158,-15.273147861577336,0.3265421254967804,0.8358995654517128,0.1765091374039468,-0.6146780486378958,1.0164924798077128
bitternes,32,67,90.3643964835657,0.30946989223167837,0.8109582862865926,0.9005322239023943,3.120675268999777,-15.46209642362346,0.3260420848201253,0.8344288438286032,0.1827071488258537,-0.6118458048634634,1.006027386078719
bitternes,32,68,90.64028215630685,0.3065603146069531,0.8144962452780301,0.9024944572007244,2.499553293734631,-9.561188265964542,0.3496896330204624,0.8767342940280252,0.20808581523950984,-0.7463946341309212,1.0015794998352374
bitternes,32,69,90.91083964333309,0.30360292739360273,0.8180580907174443,0.9044656382181934,3.0725647393155056,-14.95842648401336,0.32843496563131036,0.8612559496731119,0.18832734697633693,-0.6684764361670749,0.907938500424344
bitternes,32,70,91.17667533747395,0.3010490330801968,0.8211061908140089,0.9061490996596584,2.898366850965618,-13.200207502781389,0.33311318444658705,0.8437669989050933,0.1752212554010275,-0.6048984807522217,0.8787184735755494
bitternes,32,71,91.43553433173885,0.29866441222181345,0.8239290158612944,0.9077053574047552,3.029691023378489,-14.516174779879373,0.3255646564842871,0.8260514813545983,0.1667266317277269,-0.5504050778017101,0.9020953796302844
bitternes,32,72,91.6919402896591,0.29262963952629967,0.8309724630900225,0.9115769101343136,3.0979829185531913,-15.223554811052566,0.3256746047577323,0.8111575987391388,0.1608631900532209,-0.5020077630177708,0.853803364476374
bitternes,32,73,91.94187988011637,0.2831125863439699,0.8417880830092581,0.9174900996791509,3.6296965702114625,-21.270431144217937,0.30950376678740044,0.8624396870175322,0.18249007880979523,-0.6477904190544514,0.8375254844873539
bitternes,32,74,92.18863740838856,0.28167200011490395,0.8433940733654963,0.9183648911873202,3.7137619378701245,-22.313963080479063,0.3071329575434737,0.8553842613663125,0.1747629734526012,-0.6068519647454828,0.7782953547919448
bitternes,32,75,92.43016080211811,0.2810291825898392,0.8441080539049293,0.9187535327305842,3.534236836721226,-20.114426069987026,0.3114143173055255,0.8622707742649759,0.14943734611285908,-0.6215156360988264,0.7384867221967988
bitternes,32,76,92.66168944532639,0.28102827191614477,0.8441090642374731,0.9187540825691464,3.550792455663531,-20.31270430967789,0.3109781594693942,0.8703622701153229,0.16413025789331034,-0.6588229354199624,0.7589315212092884
bitternes,32,77,92.88789775446259,0.2805044686999362,0.844689646926073,0.919069990221677,3.942390078076286,-25.27284895249382,0.3021052185427424,0.8628632658763532,0.1643323206085501,-0.6338828665574585,0.7645031201377469
bitternes,32,78,93.10810690781796,0.27917744501916286,0.846155669926437,0.9198672023321828,3.804398442305807,-23.465831088917437,0.3060837555126631,0.8674640692425946,0.1716535102212408,-0.6586419900408125,0.8221510887915459
bitternes,32,79,93.32620793088117,0.2786597309194166,0.8467257269289135,0.9201770084765826,3.7185124266673686,-22.373645718951277,0.30849988736086187,0.8707818108736911,0.17943796728116715,-0.6669278874518062,0.8129579612643054
bitternes,32,80,93.53820647337261,0.27858924954148484,0.8468032524165992,0.9202191328246774,3.6661091455925714,-21.7194996931712,0.30956170160735635,0.875413405860118,0.17890722409726975,-0.6826600402810936,0.8096704275941631
bitternes,32,81,93.74441891990098,0.2725130612648405,0.8534129911427323,0.9238035457513318,3.0806346051859466,-15.042363839858865,0.32467064092036296,0.8886680049059198,0.2124912496128694,-0.7548666607413755,0.8995358793957086
