target,target_index_1based,k,cum_evr_percent,train_rmse,train_r2,train_accuracy,test_rmse,test_r2,test_accuracy,cv_rmse_mean,cv_rmse_std,cv_r2_mean,cv_r2_std
acidity,31,1,14.323115634427936,0.8224862788174735,0.04239072696584956,0.2058900846710437,0.893923738600427,-0.0026844195785089564,0.08320013836636292,0.8220792275646153,0.09088669534379348,0.027104765821255317,0.02417705615936376
acidity,31,2,22.498372323314324,0.7326813780220034,0.2400914569349405,0.48999128250912866,0.8274791147928493,0.14083335495868143,0.391445361621817,0.7494259072376035,0.07221961120700028,0.1709721194562901,0.20090372122662106
acidity,31,3,28.32858601341222,0.55992375963173,0.5561984516736544,0.7457871356316454,2.9954972918479976,-10.259035501108567,0.13762621420619287,0.5636032715647025,0.09807044047384172,0.5150009589312864,0.20015758510736312
acidity,31,4,33.20609771142012,0.5448300335353933,0.579802852777064,0.7614478660926587,3.2993052373722564,-12.658667056995327,0.13476957135750883,0.5471659332886151,0.08698942565833256,0.5437848958515616,0.1863194269428842
acidity,31,5,37.27551848649523,0.5131734081732401,0.6272142459283307,0.7919685889783327,1.391435751904941,-1.4293475010206627,0.3194376258386336,0.5167869631432277,0.1030323037555871,0.5840663144436634,0.211713146294663
acidity,31,6,40.411781661541944,0.5125473536283908,0.6281232636263407,0.7925422787626797,1.1287023229367559,-0.5985350516151433,0.39268657105227184,0.5174754674574832,0.10467206970108496,0.5835164735124576,0.21075882083460454
acidity,31,7,43.3565036214753,0.511032647124142,0.6303179946465369,0.793925685846312,1.3106713231971252,-1.1555143613216075,0.33428466817052105,0.5176610803104303,0.10468771956804225,0.5830247111067423,0.20907665260719438
acidity,31,8,45.89358459636036,0.5032216480366054,0.6415326120659408,0.8009573097649717,0.7940866311929876,0.2087766506285137,0.5545739713700494,0.546537051672099,0.06780126717127727,0.5445340966277319,0.18767583389972084
acidity,31,9,48.25644333704925,0.49363265371260284,0.6550637951007081,0.8093601145971474,1.8479377891112523,-3.284873639209618,0.25279892927512104,0.5167239903536549,0.1014243562655346,0.5814523536137012,0.22498189394480614
acidity,31,10,50.33629156130735,0.49305173079433995,0.6558751816150492,0.8098612113288606,1.9032259638257902,-3.545106179710369,0.2452641208988887,0.5156050977204268,0.10477528281482112,0.5827413528210552,0.22640893601599837
acidity,31,11,52.222987299067626,0.46848232083813757,0.6893170409351215,0.8302511914686546,1.2427200802489233,-0.9378044890578621,0.3659676018201511,0.5115563059287057,0.08947521929391675,0.6042506178592606,0.160832671638597
acidity,31,12,53.816778306876955,0.46025860082317255,0.7001287392135072,0.8367369593925609,1.9327111323759816,-3.6870244853328815,0.2488129716143403,0.5059854276683351,0.08261848317032684,0.6120294575326028,0.15646400671838856
acidity,31,13,55.38234310482218,0.42296718807270794,0.7467529611833756,0.8641486915938581,2.213897641578519,-5.150046524494752,0.2283288285421813,0.46579896744690047,0.050929458752955334,0.6729255442160406,0.12082747699972375
acidity,31,14,56.81158323411232,0.42153538086393094,0.7484646173911378,0.8651384960751308,1.8597015655048303,-3.3396013862530483,0.2690029119136367,0.47241872216817693,0.04490850036306427,0.6650613801559608,0.11579498731379322
acidity,31,15,58.14572315320123,0.42100991310989866,0.7490913327632251,0.8655006255129026,1.9523300161419457,-3.782663092602787,0.2591239404371848,0.4873282825836503,0.042808984486321526,0.6456713097281771,0.10814815245114584
acidity,31,16,59.43462924548314,0.41891701060549175,0.7515797403698881,0.8669369875428601,2.1356717047478213,-4.7231129021534315,0.2413458030952356,0.48478644701232587,0.04526107772331953,0.6488909483124814,0.10960283434578633
acidity,31,17,60.65497223755052,0.4185297630671007,0.7520388082416473,0.8672017113922498,2.306616188208763,-5.675964171386254,0.22725725650337059,0.4848167131374523,0.04063170095193944,0.6490337240590162,0.10800176683409404
acidity,31,18,61.865327244686874,0.4170715558404607,0.7537636504962792,0.8681956291621604,2.2796575711487304,-5.520825199042389,0.23075487947900775,0.4838400910733881,0.047945673509896744,0.6459600723112842,0.13510108208438046
acidity,31,19,63.00285347619767,0.41698389010628334,0.7538671541823401,0.8682552356204591,2.2059878033412197,-5.1061791197972735,0.23808032794115871,0.49928728903586733,0.05301214909078488,0.6247279774693826,0.1328556842595358
acidity,31,20,64.08643630652043,0.416155952107595,0.7548435968280585,0.8688173552755825,2.108388885504333,-4.577823429613049,0.25012499650407694,0.523593237326626,0.07977362452816132,0.5875926787402818,0.15601837986433365
acidity,31,21,65.10043353414554,0.41611437242779165,0.7548925833460098,0.8688455463118918,2.1539277167958466,-4.821374987742895,0.24581502435382885,0.5334956226994083,0.08211727658983381,0.5697840036081928,0.17377815014384365
acidity,31,22,66.1023177256293,0.41181972446810267,0.7599259012132726,0.8717372891033583,2.3512085742975697,-5.936583836814394,0.22421264959035733,0.5422075502229892,0.09591068330796716,0.5551051885562387,0.18005277612817233
acidity,31,23,67.07160716333205,0.4118196954932966,0.7599259349955312,0.8717373084797572,2.3509267606584237,-5.934921111691676,0.2242344101162778,0.5431342702432171,0.09473541896890916,0.5537124845481353,0.17994737394670454
acidity,31,24,67.99311962409811,0.40952857559299405,0.7625897630270763,0.8732638564758507,2.931222954612665,-9.781049297870492,0.18703813704101768,0.5345160564985793,0.08497593517829274,0.5689467344331002,0.16678389902194246
acidity,31,25,68.88065750660239,0.4074653099718106,0.7649759527339215,0.8746290372117319,2.8406223127089056,-9.124890010124485,0.1915251861518527,0.537103034077274,0.0897466986758248,0.5589848879211449,0.19843448867802266
acidity,31,26,69.74972798205994,0.4011833631629687,0.77216688425324,0.8787302682013629,2.4534445998233827,-6.552936571279452,0.22053818189856084,0.5363064715169816,0.08460394780127826,0.5670980924566522,0.16139785428741912
